Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,17.0,0 days 00:01:33.989000,MEDIUM,17.0,Williams
ALO,8.0,0 days 00:01:36.301000,SOFT,8.0,Aston Martin
ANT,17.0,0 days 00:01:31.607000,MEDIUM,17.0,Mercedes
BEA,17.0,0 days 00:01:33.574000,MEDIUM,17.0,Haas F1 Team
BOR,17.0,0 days 00:01:33.506000,MEDIUM,23.0,Audi
BOT,17.0,0 days 00:01:35.371000,SOFT,17.0,Cadillac
COL,17.0,0 days 00:01:33.520000,MEDIUM,20.0,Alpine
GAS,17.0,0 days 00:01:33.880000,MEDIUM,20.0,Alpine
HAD,9.0,0 days 00:01:33,MEDIUM,14.0,Red Bull Racing
HAM,5.0,0 days 00:01:31.908000,MEDIUM,5.0,Ferrari
HUL,17.0,0 days 00:01:33.497000,MEDIUM,23.0,Audi
LAW,16.0,0 days 00:01:33.051000,MEDIUM,19.0,Racing Bulls
LEC,17.0,0 days 00:01:32.158000,MEDIUM,17.0,Ferrari
LIN,8.0,0 days 00:01:33.572000,MEDIUM,11.0,Racing Bulls
NOR,17.0,0 days 00:01:32.190000,MEDIUM,17.0,McLaren
OCO,9.0,0 days 00:01:34.399000,MEDIUM,9.0,Haas F1 Team
PER,16.0,0 days 00:01:34.528000,MEDIUM,16.0,Cadillac
PIA,17.0,0 days 00:01:32.223000,MEDIUM,17.0,McLaren
RUS,17.0,0 days 00:01:31.977000,MEDIUM,17.0,Mercedes
SAI,17.0,0 days 00:01:34.186000,MEDIUM,17.0,Williams
STR,16.0,0 days 00:01:35.028000,MEDIUM,7.0,Aston Martin
VER,7.0,0 days 00:01:32.393000,MEDIUM,10.0,Red Bull Racing
