season,round,event_name,session_code,driver,team,lap_number,stint,compound,tyre_life,lap_time_s,sector_1_s,sector_2_s,sector_3_s,speed_i1,speed_i2,speed_fl,speed_st,track_status,fresh_tyre,is_personal_best,is_accurate,deleted,lap_start_time,position,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,wind_direction_deg
2026,9,British Grand Prix,S,ANT,Mercedes,1.0,1.0,MEDIUM,1.0,,,38.78,25.089,310.0,265.0,254.0,317.0,1,True,False,False,False,2026-07-04 11:03:56.571,2.0,21.7,35.2,58.8,False,0.3,134.0
2026,9,British Grand Prix,S,ANT,Mercedes,2.0,1.0,MEDIUM,2.0,92.381,29.664,37.183,25.534,295.0,261.0,254.0,301.0,12,True,True,True,False,2026-07-04 11:05:33.373,2.0,22.0,31.8,58.3,False,2.1,109.0
2026,9,British Grand Prix,S,ANT,Mercedes,3.0,1.0,MEDIUM,3.0,92.33,29.633,37.217,25.48,297.0,262.0,254.0,303.0,1,True,True,True,False,2026-07-04 11:07:05.754,2.0,21.7,33.5,58.0,False,1.1,166.0
2026,9,British Grand Prix,S,ANT,Mercedes,4.0,1.0,MEDIUM,4.0,91.97,29.446,37.273,25.251,307.0,262.0,256.0,303.0,1,True,True,True,False,2026-07-04 11:08:38.084,2.0,21.4,36.5,58.5,False,2.2,288.0
2026,9,British Grand Prix,S,ANT,Mercedes,5.0,1.0,MEDIUM,5.0,91.975,29.367,37.193,25.415,312.0,265.0,250.0,308.0,1,True,False,True,False,2026-07-04 11:10:10.054,2.0,21.6,36.5,58.5,False,2.2,288.0
2026,9,British Grand Prix,S,ANT,Mercedes,6.0,1.0,MEDIUM,6.0,92.104,29.434,37.345,25.325,313.0,262.0,255.0,309.0,1,True,False,True,False,2026-07-04 11:11:42.029,2.0,21.8,36.5,58.5,False,2.2,288.0
2026,9,British Grand Prix,S,ANT,Mercedes,7.0,1.0,MEDIUM,7.0,92.45,29.386,37.522,25.542,318.0,264.0,255.0,314.0,1,True,False,True,False,2026-07-04 11:13:14.133,2.0,21.8,36.5,58.5,False,2.2,288.0
2026,9,British Grand Prix,S,ANT,Mercedes,8.0,1.0,MEDIUM,8.0,92.449,29.6,37.846,25.003,305.0,262.0,252.0,318.0,1,True,False,True,False,2026-07-04 11:14:46.583,1.0,21.9,36.5,58.5,False,2.2,288.0
2026,9,British Grand Prix,S,ANT,Mercedes,9.0,1.0,MEDIUM,9.0,92.463,29.759,37.16,25.544,294.0,262.0,255.0,296.0,1,True,False,True,False,2026-07-04 11:16:19.032,1.0,21.7,34.7,57.4,False,0.0,0.0
2026,9,British Grand Prix,S,ANT,Mercedes,10.0,1.0,MEDIUM,10.0,92.444,29.588,37.223,25.633,302.0,261.0,253.0,294.0,1,True,False,True,False,2026-07-04 11:17:51.495,1.0,22.4,34.7,57.4,False,0.0,0.0
2026,9,British Grand Prix,S,ANT,Mercedes,11.0,1.0,MEDIUM,11.0,92.083,29.612,37.121,25.35,302.0,263.0,253.0,297.0,1,True,False,True,False,2026-07-04 11:19:23.939,1.0,22.1,37.5,58.1,False,1.5,258.0
2026,9,British Grand Prix,S,ANT,Mercedes,12.0,1.0,MEDIUM,12.0,92.283,29.798000000000002,37.144,25.341,301.0,262.0,254.0,299.0,1,True,False,True,False,2026-07-04 11:20:56.022,1.0,22.2,35.2,56.0,False,1.9,132.0
2026,9,British Grand Prix,S,ANT,Mercedes,13.0,1.0,MEDIUM,13.0,92.574,29.934,37.266,25.374,299.0,262.0,253.0,302.0,1,True,False,True,False,2026-07-04 11:22:28.305,1.0,23.0,35.2,56.0,False,1.9,132.0
2026,9,British Grand Prix,S,ANT,Mercedes,14.0,1.0,MEDIUM,14.0,92.346,29.794,37.253,25.299,300.0,261.0,253.0,298.0,1,True,False,True,False,2026-07-04 11:24:00.879,1.0,21.4,35.2,56.0,False,1.9,132.0
2026,9,British Grand Prix,S,ANT,Mercedes,15.0,1.0,MEDIUM,15.0,92.068,29.699,37.135,25.234,303.0,262.0,255.0,299.0,1,True,False,True,False,2026-07-04 11:25:33.225,1.0,21.8,36.0,57.9,False,2.9,222.0
2026,9,British Grand Prix,S,ANT,Mercedes,16.0,1.0,MEDIUM,16.0,92.047,29.709,37.134,25.204,299.0,262.0,254.0,299.0,1,True,False,True,False,2026-07-04 11:27:05.293,1.0,21.9,35.5,56.9,False,3.4,212.0
2026,9,British Grand Prix,S,ANT,Mercedes,17.0,1.0,MEDIUM,17.0,91.607,29.606,37.078,24.923000000000002,294.0,266.0,255.0,312.0,1,True,True,True,False,2026-07-04 11:28:37.340,1.0,22.1,36.2,56.3,False,1.6,156.0
2026,9,British Grand Prix,S,HAM,Ferrari,1.0,1.0,MEDIUM,1.0,,,37.302,25.686,290.0,261.0,250.0,297.0,1,True,False,False,False,2026-07-04 11:03:56.571,1.0,21.7,35.2,58.8,False,0.3,134.0
2026,9,British Grand Prix,S,HAM,Ferrari,2.0,1.0,MEDIUM,2.0,92.115,29.928,36.754,25.433,286.0,260.0,250.0,298.0,12,True,True,True,False,2026-07-04 11:05:32.302,1.0,22.0,31.8,58.3,False,2.1,109.0
2026,9,British Grand Prix,S,HAM,Ferrari,3.0,1.0,MEDIUM,3.0,92.544,30.141,37.124,25.279,289.0,261.0,249.0,300.0,1,True,False,True,False,2026-07-04 11:07:04.417,1.0,21.7,33.5,58.0,False,1.1,166.0
