season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026,9,British Grand Prix,S,ALB,Williams,1.0,MEDIUM,16,94.672875,-0.2268666666666661,-0.5264705882352941,2,17
2026,9,British Grand Prix,S,ALO,Aston Martin,1.0,SOFT,16,97.4169375,-0.3419999999999997,0.39999999999999997,2,17
2026,9,British Grand Prix,S,ANT,Mercedes,1.0,MEDIUM,16,92.22337499999999,-0.05160000000000006,-0.16176470588235295,2,17
2026,9,British Grand Prix,S,BEA,Haas F1 Team,1.0,MEDIUM,16,94.7090625,-0.13553333333333342,-0.36764705882352944,2,17
2026,9,British Grand Prix,S,BOR,Audi,1.0,MEDIUM,16,94.3695,-0.18086666666666626,-0.6411764705882352,8,23
2026,9,British Grand Prix,S,BOT,Cadillac,1.0,SOFT,16,96.2794375,-0.18600000000000042,-0.29411764705882354,2,17
2026,9,British Grand Prix,S,COL,Alpine,1.0,MEDIUM,16,94.44706249999999,-0.1459333333333338,-0.5264705882352941,5,20
2026,9,British Grand Prix,S,GAS,Alpine,1.0,MEDIUM,16,94.51637500000001,-0.09260000000000067,-0.6029411764705882,5,20
2026,9,British Grand Prix,S,HAD,Red Bull Racing,1.0,MEDIUM,16,93.768125,-0.1621333333333335,-0.5911764705882353,7,22
2026,9,British Grand Prix,S,HAM,Ferrari,1.0,MEDIUM,16,92.46187499999999,-0.004599999999999227,0.13245036698368357,2,17
2026,9,British Grand Prix,S,HUL,Audi,1.0,MEDIUM,16,94.402,-0.21046666666666644,-0.5558823529411765,8,23
2026,9,British Grand Prix,S,LAW,Racing Bulls,1.0,MEDIUM,16,93.8514375,-0.1169999999999997,-0.4058823529411764,5,20
2026,9,British Grand Prix,S,LEC,Ferrari,1.0,MEDIUM,16,92.861125,-0.1478666666666669,-0.7617647058823529,2,17
2026,9,British Grand Prix,S,LIN,Racing Bulls,1.0,MEDIUM,16,94.1031875,-0.06499999999999963,-0.4794117647058824,5,20
2026,9,British Grand Prix,S,NOR,McLaren,1.0,MEDIUM,16,92.759,-0.11726666666666669,-0.3058823529411765,2,17
2026,9,British Grand Prix,S,OCO,Haas F1 Team,1.0,MEDIUM,16,94.8949375,-0.16786666666666672,-0.39999999999999997,2,17
2026,9,British Grand Prix,S,PER,Cadillac,1.0,MEDIUM,1,101.423,0.0,0.0,2,2
2026,9,British Grand Prix,S,PER,Cadillac,2.0,MEDIUM,14,99.18857142857144,-0.8399230769230767,-0.3010989010989011,3,16
2026,9,British Grand Prix,S,PIA,McLaren,1.0,MEDIUM,16,93.2055,-0.1597333333333334,-0.4823529411764706,2,17
2026,9,British Grand Prix,S,RUS,Mercedes,1.0,MEDIUM,16,92.830875,-0.17606666666666607,-0.7352941176470589,2,17
2026,9,British Grand Prix,S,SAI,Williams,1.0,MEDIUM,16,94.83725,-0.17266666666666594,-0.488235294117647,2,17
2026,9,British Grand Prix,S,STR,Aston Martin,1.0,SOFT,13,97.72084615384613,-0.11024999999999945,0.19230769230769232,2,14
2026,9,British Grand Prix,S,STR,Aston Martin,2.0,MEDIUM,2,108.904,-10.0,0.0,6,7
2026,9,British Grand Prix,S,VER,Red Bull Racing,1.0,MEDIUM,16,93.1278125,-0.08433333333333337,-0.21176470588235297,5,20
