Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,7.0,0 days 00:01:48.019000,SOFT,2.0,Williams
ALO,12.0,0 days 00:01:51.418000,SOFT,3.0,Aston Martin
ANT,7.0,0 days 00:01:45.944000,SOFT,2.0,Mercedes
BEA,7.0,0 days 00:01:47.792000,SOFT,2.0,Haas F1 Team
BOR,11.0,0 days 00:01:47.952000,SOFT,2.0,Audi
BOT,8.0,0 days 00:01:49.199000,SOFT,2.0,Cadillac
COL,10.0,0 days 00:01:47.147000,SOFT,2.0,Alpine
GAS,7.0,0 days 00:01:48.955000,MEDIUM,7.0,Alpine
HAD,7.0,0 days 00:01:46.714000,SOFT,2.0,Red Bull Racing
HAM,7.0,0 days 00:01:46.691000,SOFT,2.0,Ferrari
HUL,10.0,0 days 00:01:48.333000,SOFT,2.0,Audi
LAW,9.0,0 days 00:01:47.434000,SOFT,2.0,Racing Bulls
LEC,10.0,0 days 00:01:47.468000,SOFT,5.0,Ferrari
LIN,12.0,0 days 00:01:47.294000,SOFT,4.0,Racing Bulls
NOR,9.0,0 days 00:01:46.134000,SOFT,2.0,McLaren
OCO,10.0,0 days 00:01:47.958000,SOFT,2.0,Haas F1 Team
PER,7.0,0 days 00:01:49.596000,SOFT,2.0,Cadillac
PIA,5.0,0 days 00:01:46.926000,SOFT,2.0,McLaren
RUS,10.0,0 days 00:01:47.229000,SOFT,2.0,Mercedes
SAI,10.0,0 days 00:01:48.256000,SOFT,2.0,Williams
STR,12.0,0 days 00:01:51.131000,SOFT,4.0,Aston Martin
VER,7.0,0 days 00:01:46.416000,SOFT,2.0,Red Bull Racing
