Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:52.826000,22.6,32.3,49.2,966.5,False,308,2.0
0 days 00:01:52.827000,22.7,32.4,50.3,966.6,False,338,2.3
0 days 00:02:52.829000,22.8,32.5,46.9,966.5,False,18,0.4
0 days 00:03:52.835000,22.6,32.5,48.8,966.5,False,333,0.3
0 days 00:04:52.830000,22.7,32.8,49.0,966.5,False,106,0.3
0 days 00:05:52.831000,22.9,32.6,48.3,966.6,False,146,0.9
0 days 00:06:52.833000,22.7,32.7,49.2,966.5,False,0,0.0
0 days 00:07:52.850000,22.7,33.0,49.6,966.4,False,1,0.7
0 days 00:08:52.842000,22.7,32.8,49.0,966.5,False,32,0.6
0 days 00:09:52.836000,22.7,32.7,49.3,966.4,False,0,0.0
0 days 00:10:52.842000,22.7,32.8,49.7,966.4,False,322,0.8
0 days 00:11:52.838000,22.8,32.8,50.3,966.4,False,329,0.6
0 days 00:12:52.851000,22.8,33.0,50.5,966.5,False,0,0.0
0 days 00:13:52.850000,22.8,33.7,50.3,966.4,False,340,0.9
0 days 00:14:52.959000,22.8,33.7,50.3,966.4,False,340,0.9
0 days 00:15:52.852000,22.9,34.6,48.3,966.4,False,10,0.6
0 days 00:16:52.838000,23.0,35.2,49.1,966.4,False,314,1.3
0 days 00:17:52.846000,23.1,35.1,49.0,966.3,False,291,0.9
0 days 00:18:52.853000,23.2,35.5,47.7,966.3,False,310,0.6
0 days 00:19:52.862000,23.4,35.5,46.4,966.4,False,342,0.7
0 days 00:20:52.875000,23.6,36.2,45.3,966.3,False,333,2.9
0 days 00:21:52.860000,23.7,35.9,43.1,966.3,False,325,2.6
0 days 00:22:52.900000,23.8,35.6,43.7,966.3,False,335,3.2
0 days 00:23:52.891000,23.8,35.6,42.0,966.4,False,340,1.6
0 days 00:24:52.892000,24.0,35.3,42.7,966.3,False,332,2.3
0 days 00:25:52.893000,23.9,35.3,41.4,966.3,False,60,1.1
0 days 00:26:52.879000,24.0,35.4,42.2,966.3,False,114,2.6
0 days 00:27:52.883000,23.9,35.4,42.6,966.3,False,336,0.5
0 days 00:28:52.878000,23.9,35.6,42.0,966.3,False,274,0.9
0 days 00:29:52.912000,24.0,35.2,41.8,966.2,False,106,2.3
0 days 00:30:52.912000,24.1,35.2,41.0,966.2,False,76,2.0
0 days 00:31:52.916000,24.1,34.9,41.2,966.1,False,154,1.9
0 days 00:32:52.901000,24.1,35.1,42.1,966.2,False,332,2.7
0 days 00:33:52.916000,24.1,34.5,40.7,966.3,False,325,1.8
0 days 00:34:52.902000,24.1,34.5,40.7,966.3,False,325,1.8
0 days 00:35:52.910000,24.3,34.5,41.1,966.3,False,343,0.6
0 days 00:36:52.902000,24.3,34.0,41.5,966.1,False,38,0.8
0 days 00:37:52.916000,24.4,34.5,41.5,966.2,False,121,1.0
0 days 00:38:52.918000,24.5,34.0,41.6,966.2,False,288,1.4
0 days 00:39:52.937000,24.6,34.3,39.5,966.2,False,288,0.5
0 days 00:40:52.956000,24.6,34.5,40.2,966.2,False,126,3.3
0 days 00:41:52.920000,24.7,34.1,40.0,966.1,False,158,2.2
0 days 00:42:52.899000,24.6,33.6,40.0,966.1,False,298,0.8
0 days 00:43:52.909000,24.5,33.7,39.8,966.1,False,112,0.8
0 days 00:44:52.908000,24.5,33.8,40.5,966.1,False,37,0.6
0 days 00:45:52.921000,24.5,33.6,39.1,966.1,False,354,3.4
0 days 00:46:52.905000,24.5,32.9,39.9,966.2,False,148,2.1
0 days 00:47:52.907000,24.5,32.8,39.6,966.2,False,352,1.5
0 days 00:48:52.925000,24.5,31.8,39.3,966.2,False,106,1.2
0 days 00:49:52.910000,24.4,32.1,40.5,966.2,False,325,1.3
0 days 00:50:52.910000,24.5,31.8,40.3,966.1,False,288,1.7
0 days 00:51:52.916000,24.6,31.8,40.2,966.2,False,352,3.9
0 days 00:52:52.928000,24.7,30.7,39.6,966.2,False,287,3.2
0 days 00:53:52.916000,24.7,31.3,39.9,966.2,False,255,1.5
0 days 00:54:52.929000,24.6,31.0,40.8,966.2,False,267,1.5
0 days 00:55:52.932000,24.5,31.5,40.3,966.1,False,293,1.3
0 days 00:56:52.918000,24.6,30.3,40.2,966.2,False,302,2.0
0 days 00:57:52.932000,24.6,31.7,39.6,966.2,False,318,2.5
