season,round,event_name,session_code,driver,team,regulation_era,session_weight,lap_count,representative_lap_s,best_lap_s,long_run_lap_s,long_run_degradation_s,top_speed_kph,air_temp_c,track_temp_c,humidity_pct,rainfall_flag,wind_speed_mps,wind_direction_deg,gap_to_session_best_s,pace_rank,gap_to_teammate_s
2026,10,Belgian Grand Prix,Q,ALB,Williams,regulations_2026_reset,1.15,3,120.19633333333333,107.12,,,313.0,21.899999999999995,37.833333333333336,54.199999999999996,False,1.7666666666666666,312.6666666666667,14.603666666666655,15.0,1.8114999999999952
2026,10,Belgian Grand Prix,Q,ALO,Aston Martin,regulations_2026_reset,1.15,4,124.904,110.002,,,301.0,21.800000000000004,37.975,54.0,False,1.275,235.0,19.311333333333323,20.0,-1.0217499999999973
2026,10,Belgian Grand Prix,Q,ANT,Mercedes,regulations_2026_reset,1.15,10,108.78399999999999,104.361,116.8195,20.405,311.0,21.34,36.410000000000004,55.11,False,2.34,285.9,3.1913333333333185,5.0,1.5406666666666524
2026,10,Belgian Grand Prix,Q,BEA,Haas F1 Team,regulations_2026_reset,1.15,8,115.05899999999998,106.779,118.2035,21.227000000000004,304.0,21.35,37.4625,54.425,False,1.925,278.625,9.46633333333331,10.0,-8.838874999999987
2026,10,Belgian Grand Prix,Q,BOR,Audi,regulations_2026_reset,1.15,11,106.35050000000001,105.628,121.12675,9.438333333333333,309.0,21.209090909090907,36.563636363636355,55.09090909090909,False,2.709090909090909,315.45454545454544,0.7578333333333376,4.0,-4.027166666666659
2026,10,Belgian Grand Prix,Q,BOT,Cadillac,regulations_2026_reset,1.15,6,122.92166666666667,107.823,131.218,,310.0,21.78333333333333,38.13333333333333,54.333333333333336,False,1.7666666666666666,261.3333333333333,17.328999999999994,18.0,-0.08183333333333564
2026,10,Belgian Grand Prix,Q,COL,Alpine,regulations_2026_reset,1.15,8,120.39816666666667,106.392,,,318.0,21.5875,37.1375,54.6125,False,2.7125,319.0,14.805499999999995,16.0,0.2837499999999977
2026,10,Belgian Grand Prix,Q,GAS,Alpine,regulations_2026_reset,1.15,7,119.83066666666666,106.331,,,315.0,21.571428571428573,37.08571428571429,54.785714285714285,False,2.857142857142857,317.85714285714283,14.237999999999985,14.0,-0.28375000000001194
2026,10,Belgian Grand Prix,Q,HAD,Red Bull Racing,regulations_2026_reset,1.15,7,118.24966666666667,105.823,123.555,,303.0,21.157142857142855,37.042857142857144,55.27142857142858,False,2.2857142857142856,316.0,12.656999999999996,13.0,2.4607500000000044
2026,10,Belgian Grand Prix,Q,HAM,Ferrari,regulations_2026_reset,1.15,8,109.57133333333333,104.895,123.079,33.91,308.0,21.3125,36.55,55.2125,False,2.4,318.375,3.978666666666655,6.0,1.9893333333333345
2026,10,Belgian Grand Prix,Q,HUL,Audi,regulations_2026_reset,1.15,7,114.40483333333334,106.671,114.706,15.982,312.0,21.528571428571432,37.84285714285714,54.87142857142857,False,2.4428571428571426,319.0,8.81216666666667,9.0,4.027166666666673
2026,10,Belgian Grand Prix,Q,LAW,Racing Bulls,regulations_2026_reset,1.15,7,115.39799999999998,106.12,122.793,32.282,314.0,21.38571428571429,37.800000000000004,54.58571428571428,False,2.0000000000000004,266.7142857142857,9.805333333333309,11.0,4.759666666666661
2026,10,Belgian Grand Prix,Q,LEC,Ferrari,regulations_2026_reset,1.15,11,105.59266666666667,104.893,125.26175,12.169666666666666,308.0,21.154545454545453,36.72727272727273,55.18181818181818,False,2.418181818181818,285.6363636363636,0.0,1.0,-1.9893333333333203
2026,10,Belgian Grand Prix,Q,LIN,Racing Bulls,regulations_2026_reset,1.15,11,105.87866666666666,105.143,120.794,8.240666666666664,315.0,21.154545454545453,36.72727272727273,55.18181818181818,False,2.418181818181818,285.6363636363636,0.28599999999998715,3.0,-4.759666666666661
2026,10,Belgian Grand Prix,Q,NOR,McLaren,regulations_2026_reset,1.15,6,121.03699999999999,104.801,,,311.0,21.266666666666666,36.800000000000004,55.13333333333333,False,2.15,310.3333333333333,15.444333333333319,17.0,5.319000000000003
2026,10,Belgian Grand Prix,Q,OCO,Haas F1 Team,regulations_2026_reset,1.15,4,132.73674999999997,107.801,,,303.0,21.6,38.425,54.025000000000006,False,0.9750000000000001,240.0,27.1440833333333,22.0,8.838875000000002
2026,10,Belgian Grand Prix,Q,PER,Cadillac,regulations_2026_reset,1.15,6,123.08533333333334,107.971,132.34,,314.0,21.78333333333333,38.13333333333333,54.333333333333336,False,1.7666666666666666,261.3333333333333,17.492666666666665,19.0,0.08183333333333564
2026,10,Belgian Grand Prix,Q,PIA,McLaren,regulations_2026_reset,1.15,9,110.399,105.016,124.40933333333332,13.514999999999993,312.0,21.288888888888888,36.6,55.211111111111116,False,2.388888888888889,314.77777777777777,4.806333333333328,7.0,-5.318999999999988
2026,10,Belgian Grand Prix,Q,RUS,Mercedes,regulations_2026_reset,1.15,11,105.70266666666667,104.869,122.638,11.632666666666665,311.0,21.245454545454546,36.48181818181818,54.945454545454545,False,2.2636363636363637,287.45454545454544,0.10999999999999943,2.0,-1.5406666666666666
2026,10,Belgian Grand Prix,Q,SAI,Williams,regulations_2026_reset,1.15,8,116.57333333333334,106.777,119.61250000000001,24.418999999999997,314.0,21.325,37.575,54.7375,False,2.2875,273.625,10.980666666666664,12.0,-1.8114999999999952
2026,10,Belgian Grand Prix,Q,STR,Aston Martin,regulations_2026_reset,1.15,4,126.94749999999999,110.177,136.858,,298.0,21.875,38.3,54.775000000000006,False,2.9,322.0,21.354833333333318,21.0,1.0217499999999973
2026,10,Belgian Grand Prix,Q,VER,Red Bull Racing,regulations_2026_reset,1.15,8,113.32816666666666,104.678,,,305.0,21.25,36.025,55.325,False,2.3375,316.0,7.735499999999988,8.0,-2.4607500000000044
