season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026,10,Belgian Grand Prix,Q,ALB,Williams,1.0,SOFT,1,107.701,0.0,0.0,2,2
2026,10,Belgian Grand Prix,Q,ALB,Williams,2.0,SOFT,2,126.444,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,ALO,Aston Martin,1.0,SOFT,2,123.34,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,ALO,Aston Martin,2.0,SOFT,2,126.46799999999999,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,ANT,Mercedes,1.0,SOFT,2,122.127,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,ANT,Mercedes,2.0,SOFT,2,116.8195,10.0,0.0,5,6
2026,10,Belgian Grand Prix,Q,ANT,Mercedes,3.0,SOFT,2,140.654,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,ANT,Mercedes,4.0,SOFT,2,115.14,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,ANT,Mercedes,5.0,SOFT,2,126.57400000000001,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,BEA,Haas F1 Team,1.0,SOFT,2,120.0275,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,BEA,Haas F1 Team,2.0,SOFT,2,127.7085,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,BEA,Haas F1 Team,3.0,SOFT,2,118.2035,10.0,0.0,5,6
2026,10,Belgian Grand Prix,Q,BEA,Haas F1 Team,4.0,SOFT,2,123.467,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,BOR,Audi,1.0,SOFT,2,125.5925,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,BOR,Audi,2.0,SOFT,2,121.2975,10.0,0.0,5,6
2026,10,Belgian Grand Prix,Q,BOR,Audi,3.0,SOFT,2,121.8145,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,BOR,Audi,4.0,SOFT,2,128.021,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,BOR,Audi,5.0,SOFT,2,120.95599999999999,10.0,0.0,5,6
2026,10,Belgian Grand Prix,Q,BOR,Audi,6.0,SOFT,1,105.628,0.0,0.0,2,2
2026,10,Belgian Grand Prix,Q,BOT,Cadillac,1.0,SOFT,4,123.2575,3.3333333333333335,0.0,2,5
2026,10,Belgian Grand Prix,Q,BOT,Cadillac,2.0,SOFT,2,122.25,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,COL,Alpine,1.0,SOFT,2,128.1615,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,COL,Alpine,2.0,SOFT,2,128.2425,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,COL,Alpine,3.0,SOFT,2,127.8475,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,COL,Alpine,4.0,SOFT,2,126.0925,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,GAS,Alpine,1.0,SOFT,1,107.539,0.0,0.0,2,2
2026,10,Belgian Grand Prix,Q,GAS,Alpine,2.0,SOFT,2,128.9595,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,GAS,Alpine,3.0,SOFT,2,126.8845,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,GAS,Alpine,4.0,SOFT,2,125.4985,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,HAD,Red Bull Racing,1.0,SOFT,2,123.733,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,HAD,Red Bull Racing,2.0,SOFT,2,118.8895,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,HAD,Red Bull Racing,3.0,SOFT,2,121.05099999999999,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,HAD,Red Bull Racing,4.0,SOFT,1,123.555,0.0,0.0,5,5
2026,10,Belgian Grand Prix,Q,HAM,Ferrari,1.0,SOFT,1,106.502,0.0,0.0,2,2
2026,10,Belgian Grand Prix,Q,HAM,Ferrari,2.0,SOFT,2,123.079,10.0,0.0,5,6
2026,10,Belgian Grand Prix,Q,HAM,Ferrari,3.0,SOFT,2,123.3815,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,HAM,Ferrari,4.0,SOFT,2,117.18199999999999,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,HAM,Ferrari,5.0,SOFT,1,104.895,0.0,0.0,2,2
2026,10,Belgian Grand Prix,Q,HUL,Audi,1.0,SOFT,2,121.7265,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,HUL,Audi,2.0,SOFT,2,125.2355,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,HUL,Audi,3.0,SOFT,2,114.706,10.0,0.0,5,6
2026,10,Belgian Grand Prix,Q,HUL,Audi,4.0,SOFT,1,106.671,0.0,0.0,2,2
2026,10,Belgian Grand Prix,Q,LAW,Racing Bulls,1.0,SOFT,2,120.9485,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,LAW,Racing Bulls,2.0,SOFT,2,122.793,10.0,0.0,5,6
2026,10,Belgian Grand Prix,Q,LAW,Racing Bulls,3.0,SOFT,2,118.8595,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,LAW,Racing Bulls,4.0,SOFT,1,106.12,0.0,0.0,2,2
2026,10,Belgian Grand Prix,Q,LEC,Ferrari,1.0,SOFT,2,121.266,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,LEC,Ferrari,2.0,SOFT,2,126.28450000000001,10.0,0.0,5,6
2026,10,Belgian Grand Prix,Q,LEC,Ferrari,3.0,SOFT,2,125.02850000000001,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,LEC,Ferrari,4.0,SOFT,2,124.239,10.0,0.0,5,6
2026,10,Belgian Grand Prix,Q,LEC,Ferrari,5.0,SOFT,2,120.4735,10.0,0.0,2,3
2026,10,Belgian Grand Prix,Q,LEC,Ferrari,6.0,SOFT,1,104.921,0.0,0.0,2,2
2026,10,Belgian Grand Prix,Q,LIN,Racing Bulls,1.0,SOFT,2,123.63550000000001,10.0,0.0,2,3
