Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:54.979000,22.0,38.6,54.2,968.3,False,299,3.1
0 days 00:01:54.976000,21.9,38.3,55.1,968.2,False,307,3.2
0 days 00:02:54.955000,21.9,38.3,55.3,968.2,False,326,2.8
0 days 00:03:54.968000,21.8,36.6,53.8,968.3,False,308,1.5
0 days 00:04:54.980000,22.5,36.6,53.8,968.3,False,308,1.5
0 days 00:05:54.965000,22.5,36.6,53.8,968.3,False,308,1.5
0 days 00:06:54.982000,21.7,38.4,53.9,968.3,False,328,0.3
0 days 00:07:54.963000,21.7,38.4,53.9,968.3,False,328,0.3
0 days 00:08:54.979000,21.6,38.6,54.7,968.3,False,302,2.7
0 days 00:09:54.971000,21.6,38.6,54.7,968.3,False,302,2.7
0 days 00:10:54.964000,21.7,37.3,54.3,968.3,False,328,2.9
0 days 00:11:54.957000,22.0,37.9,54.1,968.4,False,320,2.9
0 days 00:12:54.973000,21.8,38.7,54.8,968.3,False,332,2.1
0 days 00:13:54.971000,22.0,38.4,54.6,968.3,False,340,0.6
0 days 00:14:54.988000,22.0,38.4,54.6,968.3,False,340,0.6
0 days 00:15:54.974000,21.1,39.3,54.5,968.2,False,12,0.6
0 days 00:16:54.980000,22.1,37.5,54.9,968.3,False,318,2.3
0 days 00:17:54.981000,21.9,37.6,53.8,968.3,False,292,2.7
0 days 00:18:54.995000,21.9,38.8,54.2,968.3,False,342,3.8
0 days 00:19:54.987000,21.7,37.5,53.5,968.3,False,340,3.8
0 days 00:20:55.009000,21.8,37.8,54.5,968.3,False,318,2.5
0 days 00:21:55.004000,21.8,37.8,54.5,968.3,False,318,2.5
0 days 00:22:55,21.7,37.9,55.0,968.3,False,284,1.3
0 days 00:23:55.001000,21.7,37.8,54.8,968.3,False,326,3.3
0 days 00:24:55.001000,21.6,37.8,54.8,968.3,False,326,3.3
0 days 00:25:54.999000,21.6,37.8,54.8,968.3,False,326,3.3
0 days 00:26:55.025000,21.7,38.0,54.8,968.3,False,324,3.2
0 days 00:27:54.999000,21.5,37.8,54.5,968.4,False,303,3.2
0 days 00:28:55.028000,21.4,36.8,55.0,968.4,False,304,4.6
0 days 00:29:55.029000,21.3,37.0,54.2,968.4,False,317,2.3
0 days 00:30:55.030000,21.3,37.0,54.2,968.4,False,317,2.3
0 days 00:31:55.009000,21.2,37.7,55.9,968.4,False,303,2.8
0 days 00:32:55.032000,21.2,37.7,55.9,968.4,False,303,2.8
0 days 00:33:55.032000,21.1,36.5,54.3,968.4,False,305,4.3
0 days 00:34:55.032000,21.3,36.6,54.5,968.3,False,325,1.6
0 days 00:35:55.032000,20.7,36.6,54.5,968.3,False,325,1.6
0 days 00:36:55.033000,21.1,36.8,54.7,968.3,False,295,1.8
0 days 00:37:55.037000,20.9,36.9,56.3,968.5,False,323,2.9
0 days 00:38:55.034000,20.9,36.9,56.3,968.5,False,323,2.9
0 days 00:39:55.037000,20.9,36.0,55.1,968.4,False,313,2.6
0 days 00:40:55.048000,20.9,35.1,54.6,968.4,False,312,4.0
0 days 00:41:55.049000,20.9,35.1,54.6,968.4,False,312,4.0
0 days 00:42:55.061000,20.9,35.2,55.9,968.5,False,306,3.1
0 days 00:43:55.053000,20.9,34.6,56.3,968.6,False,308,1.4
0 days 00:44:55.052000,20.7,34.5,57.3,968.5,False,271,1.3
