Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,21.0,0 days 00:01:51.894000,HARD,3.0,Williams
ALO,34.0,0 days 00:01:52.948000,HARD,3.0,Aston Martin
ANT,41.0,0 days 00:01:49.098000,SOFT,26.0,Mercedes
BEA,22.0,0 days 00:01:51.109000,HARD,2.0,Haas F1 Team
BOR,22.0,0 days 00:01:50.334000,HARD,2.0,Audi
BOT,35.0,0 days 00:01:52.011000,SOFT,3.0,Cadillac
COL,42.0,0 days 00:01:51.162000,HARD,27.0,Alpine
GAS,39.0,0 days 00:01:51.101000,HARD,25.0,Alpine
HAD,44.0,0 days 00:01:49.298000,HARD,25.0,Red Bull Racing
HAM,33.0,0 days 00:01:49.454000,HARD,13.0,Ferrari
HUL,41.0,0 days 00:01:50.503000,HARD,21.0,Audi
LAW,44.0,0 days 00:01:51.075000,HARD,29.0,Racing Bulls
LEC,23.0,0 days 00:01:49.333000,HARD,3.0,Ferrari
LIN,23.0,0 days 00:01:50.536000,HARD,7.0,Racing Bulls
NOR,44.0,0 days 00:01:48.890000,MEDIUM,14.0,McLaren
OCO,44.0,0 days 00:01:51.900000,HARD,28.0,Haas F1 Team
PER,10.0,0 days 00:01:53.520000,SOFT,9.0,Cadillac
PIA,23.0,0 days 00:01:49.562000,HARD,3.0,McLaren
SAI,24.0,0 days 00:01:51.363000,HARD,10.0,Williams
STR,21.0,0 days 00:01:53.980000,SOFT,4.0,Aston Martin
VER,23.0,0 days 00:01:49.618000,HARD,6.0,Red Bull Racing
