season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026,10,Belgian Grand Prix,R,ALB,Williams,1.0,MEDIUM,15,116.48319999999998,0.01199999999999944,0.28928571428571426,1,18
2026,10,Belgian Grand Prix,R,ALB,Williams,2.0,HARD,26,114.06515384615385,0.005840000000000032,-0.4903402362654449,1,26
2026,10,Belgian Grand Prix,R,ALO,Aston Martin,1.0,HARD,16,119.653875,-0.38039999999999924,0.02941176470588235,1,19
2026,10,Belgian Grand Prix,R,ALO,Aston Martin,2.0,SOFT,12,119.07825000000001,0.04063636363636259,0.4825174825174825,1,12
2026,10,Belgian Grand Prix,R,ALO,Aston Martin,3.0,HARD,11,117.58272727272728,-0.8685000000000003,0.11818181818181818,1,11
2026,10,Belgian Grand Prix,R,ANT,Mercedes,1.0,MEDIUM,15,112.79953333333334,-0.03649999999999969,-0.039285714285714285,1,18
2026,10,Belgian Grand Prix,R,ANT,Mercedes,2.0,SOFT,26,111.4768076923077,-0.52772,-0.2957264957264957,4,29
2026,10,Belgian Grand Prix,R,BEA,Haas F1 Team,1.0,MEDIUM,1,153.664,0.0,0.0,1,1
2026,10,Belgian Grand Prix,R,BEA,Haas F1 Team,2.0,HARD,16,115.5296875,0.7065333333333332,0.7029411764705883,4,19
2026,10,Belgian Grand Prix,R,BEA,Haas F1 Team,3.0,HARD,24,112.74416666666667,-0.4173043478260869,-0.01217656040961665,1,24
2026,10,Belgian Grand Prix,R,BOR,Audi,1.0,MEDIUM,17,116.12876470588236,-0.09843750000000018,-0.03921568627450981,1,20
2026,10,Belgian Grand Prix,R,BOR,Audi,2.0,HARD,24,111.55958333333335,-0.39486956521739164,0.18,1,24
2026,10,Belgian Grand Prix,R,BOT,Cadillac,1.0,SOFT,1,158.877,0.0,0.0,1,1
2026,10,Belgian Grand Prix,R,BOT,Cadillac,2.0,HARD,29,117.51724137931035,-0.2684285714285711,0.04236975029058949,3,31
2026,10,Belgian Grand Prix,R,BOT,Cadillac,3.0,SOFT,11,114.66518181818182,-1.072399999999999,-0.36363636363636365,1,11
2026,10,Belgian Grand Prix,R,COL,Alpine,1.0,MEDIUM,12,115.00216666666667,-0.5208181818181817,0.055944055944055944,1,15
2026,10,Belgian Grand Prix,R,COL,Alpine,2.0,HARD,29,113.68941379310343,-0.4001428571428569,-0.7423645320197043,1,29
