Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:41.267000,18.1,35.9,50.2,972.7,False,287,1.6
0 days 00:01:41.278000,18.2,37.0,49.3,972.7,False,297,2.3
0 days 00:02:41.322000,18.9,37.0,49.3,972.7,False,297,2.3
0 days 00:03:41.293000,18.4,36.5,48.8,972.8,False,344,3.1
0 days 00:04:41.292000,18.2,36.7,48.9,972.6,False,5,1.4
0 days 00:05:41.295000,18.1,36.5,49.8,972.7,False,310,1.8
0 days 00:06:41.294000,18.1,35.9,50.4,972.7,False,319,3.7
0 days 00:07:41.281000,18.3,36.1,48.2,972.8,False,349,1.5
0 days 00:08:41.296000,18.4,35.4,49.3,972.8,False,334,3.6
0 days 00:09:41.292000,18.4,35.2,50.0,972.6,False,304,1.8
0 days 00:10:41.292000,18.7,35.2,50.0,972.6,False,304,1.8
0 days 00:11:41.299000,18.6,35.1,48.4,972.7,False,347,3.3
0 days 00:12:41.298000,18.5,36.3,47.9,972.7,False,330,2.5
0 days 00:13:41.299000,18.3,36.2,49.6,972.7,False,352,1.2
0 days 00:14:41.303000,18.1,34.4,49.2,972.8,False,14,0.5
0 days 00:15:41.299000,18.2,34.4,48.2,972.7,False,80,3.2
0 days 00:16:41.303000,18.2,34.3,47.8,972.7,False,77,2.7
0 days 00:17:41.302000,18.3,33.9,48.0,972.7,False,312,2.9
0 days 00:18:41.302000,18.4,33.3,48.3,972.7,False,357,2.7
0 days 00:19:41.298000,18.5,31.9,48.3,972.8,False,278,0.3
0 days 00:20:41.313000,18.4,33.2,49.7,972.7,False,351,0.8
0 days 00:21:41.328000,18.2,31.2,49.7,972.8,False,287,2.5
0 days 00:22:41.350000,18.5,31.8,49.3,972.7,False,269,1.5
0 days 00:23:41.338000,18.5,31.8,49.0,972.8,False,278,2.8
0 days 00:24:41.335000,18.0,31.4,49.3,972.8,False,255,1.2
0 days 00:25:41.335000,18.2,31.7,49.8,972.7,False,317,3.9
0 days 00:26:41.336000,17.8,31.7,49.8,972.7,False,317,3.9
0 days 00:27:41.340000,17.9,27.1,50.0,972.8,False,300,2.8
0 days 00:28:41.337000,17.8,26.8,51.0,972.8,False,293,3.6
0 days 00:29:41.340000,17.7,27.2,51.8,972.9,False,298,2.1
0 days 00:30:41.338000,17.7,27.8,52.2,972.8,False,300,1.6
0 days 00:31:41.338000,16.7,27.8,52.2,972.8,False,300,1.6
0 days 00:32:41.334000,17.6,27.8,51.3,972.8,False,287,1.1
0 days 00:33:41.343000,17.1,27.8,51.3,972.8,False,287,1.1
0 days 00:34:41.348000,18.2,27.8,50.5,972.9,False,309,2.5
0 days 00:35:41.342000,17.2,27.8,50.5,972.9,False,309,2.5
0 days 00:36:41.347000,17.4,27.6,51.1,972.8,False,257,1.3
0 days 00:37:41.344000,17.3,27.6,50.9,972.9,False,297,1.1
0 days 00:38:41.350000,17.4,28.3,50.7,972.8,False,295,1.7
0 days 00:39:41.344000,17.4,29.5,50.5,972.8,False,326,0.9
0 days 00:40:41.357000,17.4,28.6,50.3,972.8,False,287,2.8
0 days 00:41:41.348000,17.5,26.1,48.7,972.9,False,294,2.7
0 days 00:42:41.352000,17.5,27.5,48.1,973.0,False,253,1.0
0 days 00:43:41.353000,17.5,28.0,49.6,972.9,False,277,1.0
0 days 00:44:41.345000,18.0,28.9,50.1,972.9,False,322,2.3
0 days 00:45:41.353000,17.6,28.4,50.2,972.9,False,337,2.1
0 days 00:46:41.354000,17.5,28.1,50.3,973.0,False,297,2.6
0 days 00:47:41.352000,17.4,28.1,50.9,972.9,False,309,2.6
0 days 00:48:41.361000,17.4,27.9,50.3,972.9,False,326,0.4
0 days 00:49:41.370000,17.3,28.1,51.5,972.9,False,309,1.9
0 days 00:50:41.368000,16.8,28.1,51.5,972.9,False,309,1.9
0 days 00:51:41.402000,17.2,28.6,52.8,973.0,False,314,1.9
