Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:34.033000,23.1,40.8,31.1,986.0,False,296,1.9
0 days 00:01:34.048000,23.1,39.2,30.8,986.0,False,298,3.9
0 days 00:02:34.046000,22.9,38.8,31.0,986.0,False,297,1.9
0 days 00:03:34.049000,22.8,37.8,31.3,986.0,False,296,4.6
0 days 00:04:34.047000,22.5,37.9,31.3,986.0,False,294,3.3
0 days 00:05:34.050000,22.6,39.0,31.8,986.0,False,298,3.5
0 days 00:06:34.057000,22.7,41.8,31.4,986.0,False,306,0.9
0 days 00:07:34.047000,22.8,43.3,31.3,985.9,False,330,0.9
0 days 00:08:34.047000,22.8,44.5,31.3,985.9,False,331,0.7
0 days 00:09:34.063000,22.7,45.5,30.8,985.9,False,301,1.0
0 days 00:10:34.047000,22.9,46.5,30.2,985.9,False,295,3.1
0 days 00:11:34.046000,22.9,46.0,29.6,985.9,False,288,2.3
0 days 00:12:34.048000,23.0,43.7,31.1,985.9,False,287,1.5
0 days 00:13:34.049000,22.9,42.4,31.7,986.0,False,297,2.7
0 days 00:14:34.047000,22.8,40.8,31.4,985.8,False,292,3.1
0 days 00:15:34.044000,22.9,40.9,31.7,985.8,False,297,1.7
0 days 00:16:34.062000,23.0,41.2,31.5,985.8,False,271,0.6
0 days 00:17:34.061000,23.0,40.3,31.5,985.9,False,158,1.4
0 days 00:18:34.064000,23.1,39.3,31.0,986.0,False,288,2.5
0 days 00:19:34.056000,23.0,39.2,30.6,985.9,False,294,1.6
0 days 00:20:34.048000,22.9,39.0,31.4,985.9,False,0,0.0
0 days 00:21:34.062000,22.9,40.3,31.2,985.9,False,290,1.3
0 days 00:22:34.077000,22.9,39.9,30.7,985.9,False,182,1.0
0 days 00:23:34.077000,22.9,40.0,30.6,985.9,False,296,1.2
0 days 00:24:34.076000,22.9,39.3,30.6,985.9,False,229,2.0
0 days 00:25:34.102000,22.8,40.4,31.0,985.8,False,325,0.5
0 days 00:26:34.090000,22.9,39.9,30.8,985.9,False,279,1.0
0 days 00:27:34.118000,23.0,41.8,30.9,985.8,False,154,1.0
0 days 00:28:34.116000,23.2,42.6,30.5,985.8,False,279,1.3
0 days 00:29:34.109000,23.4,43.4,30.0,985.9,False,262,1.1
0 days 00:30:34.116000,23.5,43.9,29.4,985.9,False,299,2.6
0 days 00:31:34.118000,23.5,44.5,29.2,985.8,False,277,1.4
0 days 00:32:34.112000,23.7,45.0,29.4,985.8,False,296,3.3
0 days 00:33:34.112000,23.7,45.3,28.9,985.8,False,294,2.8
0 days 00:34:34.121000,23.8,45.6,28.7,985.8,False,298,2.1
0 days 00:35:34.117000,23.7,46.7,29.0,985.9,False,317,1.4
