season,round,event_name,session_code,driver,team,lap_number,stint,compound,tyre_life,lap_time_s,sector_1_s,sector_2_s,sector_3_s,speed_i1,speed_i2,speed_fl,speed_st,track_status,fresh_tyre,is_personal_best,is_accurate,deleted,lap_start_time,position,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,wind_direction_deg
2026,11,Hungarian Grand Prix,Q,NOR,McLaren,1.0,1.0,SOFT,1.0,,,32.807,28.99,254.0,232.0,235.0,,1,True,False,False,False,2026-07-25 14:05:24.823,,26.9,48.6,22.8,False,2.0,175.0
2026,11,Hungarian Grand Prix,Q,NOR,McLaren,2.0,1.0,SOFT,2.0,93.333,33.451,31.534,28.348,108.0,231.0,272.0,299.0,1,True,True,True,False,2026-07-25 14:07:09.826,,26.9,49.7,23.3,False,1.1,134.0
2026,11,Hungarian Grand Prix,Q,NOR,McLaren,3.0,1.0,SOFT,3.0,78.277,27.467,28.045,22.765,306.0,261.0,262.0,333.0,1,True,True,True,False,2026-07-25 14:08:43.159,,26.6,49.5,23.2,False,3.7,158.0
2026,11,Hungarian Grand Prix,Q,NOR,McLaren,4.0,1.0,SOFT,4.0,104.866,36.723,35.793,32.35,202.0,198.0,,224.0,1,True,False,False,False,2026-07-25 14:10:01.436,,26.6,49.3,23.4,False,1.2,137.0
2026,11,Hungarian Grand Prix,Q,NOR,McLaren,5.0,2.0,SOFT,5.0,,,31.043,30.614,260.0,234.0,271.0,224.0,1,False,False,False,False,2026-07-25 14:11:46.302,,26.6,48.5,23.1,False,2.0,184.0
2026,11,Hungarian Grand Prix,Q,NOR,McLaren,6.0,2.0,SOFT,6.0,78.566,27.612,27.914,23.04,305.0,256.0,268.0,331.0,12,False,True,True,False,2026-07-25 14:29:28.461,,27.0,47.2,23.0,False,1.4,106.0
2026,11,Hungarian Grand Prix,Q,NOR,McLaren,7.0,2.0,SOFT,7.0,99.176,34.28,33.846,31.05,211.0,194.0,,231.0,1,False,False,False,False,2026-07-25 14:30:47.027,,27.0,47.7,22.5,False,1.4,169.0
2026,11,Hungarian Grand Prix,Q,NOR,McLaren,8.0,3.0,SOFT,1.0,,,31.801,33.697,240.0,239.0,271.0,231.0,1,True,False,False,False,2026-07-25 14:32:26.203,,27.0,47.6,22.5,False,1.6,141.0
2026,11,Hungarian Grand Prix,Q,NOR,McLaren,9.0,3.0,SOFT,2.0,77.456,27.446,27.728,22.282,304.0,258.0,265.0,331.0,1,True,True,True,False,2026-07-25 14:37:50.589,,26.7,47.0,24.0,False,2.4,121.0
2026,11,Hungarian Grand Prix,Q,NOR,McLaren,10.0,3.0,SOFT,3.0,104.165,36.543,36.479,31.143,191.0,191.0,,220.0,1,True,False,False,False,2026-07-25 14:39:08.045,,26.8,45.8,23.6,False,2.0,122.0
