Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:46.859000,26.5,50.5,22.9,984.4,False,143,1.8
0 days 00:01:46.879000,26.6,49.5,22.8,984.4,False,133,2.4
0 days 00:02:46.872000,26.8,48.7,22.9,984.5,False,207,1.3
0 days 00:03:46.881000,26.8,50.0,23.5,984.5,False,130,1.6
0 days 00:04:46.875000,26.9,47.8,23.0,984.5,False,129,2.0
0 days 00:05:46.879000,26.9,48.6,22.8,984.5,False,175,2.0
0 days 00:06:46.888000,26.9,49.5,23.4,984.4,False,104,2.8
0 days 00:07:46.886000,26.9,49.7,23.3,984.4,False,134,1.1
0 days 00:08:46.888000,26.8,47.7,22.8,984.3,False,98,1.2
0 days 00:09:46.899000,26.6,49.5,23.2,984.3,False,158,3.7
0 days 00:10:46.906000,26.6,49.3,23.4,984.3,False,137,1.2
0 days 00:11:46.894000,26.6,47.9,23.0,984.4,False,135,2.5
0 days 00:12:46.911000,26.6,48.5,23.1,984.4,False,184,2.0
0 days 00:13:46.919000,26.7,49.1,23.3,984.3,False,139,1.8
0 days 00:14:46.940000,26.8,48.9,22.8,984.4,False,176,2.0
0 days 00:15:46.938000,26.5,48.4,23.1,984.3,False,187,0.4
0 days 00:16:46.943000,26.6,49.0,23.0,984.3,False,141,1.8
0 days 00:17:46.928000,26.6,49.0,22.5,984.2,False,144,2.1
0 days 00:18:46.938000,26.7,49.2,22.3,984.3,False,147,2.5
0 days 00:19:46.934000,26.8,48.1,22.2,984.3,False,95,0.9
0 days 00:20:46.961000,26.9,48.3,22.3,984.2,False,130,2.2
0 days 00:21:46.989000,26.9,48.7,22.3,984.3,False,150,2.1
0 days 00:22:46.970000,26.9,48.5,22.7,984.3,False,110,2.9
0 days 00:23:46.971000,27.0,48.7,22.7,984.3,False,135,0.8
0 days 00:24:46.986000,27.1,48.3,22.6,984.3,False,121,1.2
0 days 00:25:47.013000,27.2,48.2,22.4,984.3,False,122,1.6
0 days 00:26:47.012000,27.2,48.0,22.5,984.3,False,124,2.0
