Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:31.078000,30.0,51.3,25.6,980.6,False,145,1.9
0 days 00:01:31.075000,30.0,51.1,25.5,980.5,False,156,2.7
0 days 00:02:31.074000,29.8,50.6,25.9,980.5,False,126,2.3
0 days 00:03:31.078000,29.7,49.7,26.2,980.5,False,79,2.1
0 days 00:04:31.091000,29.8,48.6,25.8,980.5,False,149,3.1
0 days 00:05:31.101000,29.7,50.3,26.1,980.5,False,116,1.1
0 days 00:06:31.109000,29.6,50.7,26.1,980.5,False,118,1.4
0 days 00:07:31.115000,29.7,50.4,25.6,980.5,False,110,3.2
0 days 00:08:31.122000,29.7,52.3,25.8,980.5,False,161,3.9
0 days 00:09:31.130000,29.7,50.6,26.0,980.5,False,138,2.0
0 days 00:10:31.137000,29.8,50.1,25.3,980.4,False,134,0.9
0 days 00:11:31.137000,29.8,51.4,25.7,980.5,False,162,2.0
0 days 00:12:31.162000,29.7,49.2,26.4,980.4,False,83,3.7
0 days 00:13:31.172000,29.7,51.5,26.1,980.4,False,119,2.3
0 days 00:14:31.187000,29.8,51.6,25.7,980.4,False,116,0.8
0 days 00:15:31.172000,29.9,51.9,26.1,980.4,False,104,2.1
0 days 00:16:31.201000,30.0,52.3,26.1,980.3,False,115,2.6
0 days 00:17:31.215000,30.1,53.1,26.1,980.4,False,119,1.9
0 days 00:18:31.217000,30.2,53.2,25.2,980.3,False,153,1.2
0 days 00:19:31.231000,30.2,52.6,25.8,980.3,False,134,3.3
0 days 00:20:31.231000,30.4,51.5,24.9,980.5,False,157,4.4
0 days 00:21:31.234000,30.4,51.9,25.0,980.5,False,122,2.9
0 days 00:22:31.243000,30.4,52.0,25.1,980.4,False,100,2.0
0 days 00:23:31.247000,30.4,50.5,25.2,980.4,False,102,4.3
0 days 00:24:31.247000,30.4,51.7,25.9,980.4,False,125,2.8
0 days 00:25:31.253000,30.4,52.0,25.8,980.5,False,163,2.7
0 days 00:26:31.250000,30.4,52.0,25.5,980.3,False,128,2.9
0 days 00:27:31.262000,30.4,52.4,25.6,980.3,False,144,2.8
0 days 00:28:31.261000,30.5,52.0,25.4,980.2,False,129,2.1
0 days 00:29:31.238000,30.3,52.5,25.2,980.3,False,109,3.7
0 days 00:30:31.253000,30.2,52.6,25.2,980.2,False,114,2.7
0 days 00:31:31.259000,30.2,52.0,25.0,980.2,False,107,2.8
0 days 00:32:31.259000,30.2,51.1,25.3,980.2,False,136,2.4
0 days 00:33:31.250000,30.2,44.2,25.8,980.2,False,100,2.0
0 days 00:34:31.250000,30.2,52.1,25.6,980.1,False,140,2.4
0 days 00:35:31.261000,30.2,52.1,25.6,980.2,False,143,0.5
0 days 00:36:31.267000,30.2,51.8,25.7,980.3,False,83,2.4
0 days 00:37:31.262000,30.4,52.7,26.0,980.3,False,132,3.0
