season,round,event_name,session_code,driver,team,lap_number,stint,compound,tyre_life,lap_time_s,sector_1_s,sector_2_s,sector_3_s,speed_i1,speed_i2,speed_fl,speed_st,track_status,fresh_tyre,is_personal_best,is_accurate,deleted,lap_start_time,position,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,wind_direction_deg
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,1.0,1.0,INTERMEDIATE,1.0,,,34.702,29.204,215.0,216.0,285.0,,1,True,False,False,False,2026-08-21 10:31:44.245,,18.2,25.8,73.4,False,1.4,35.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,2.0,1.0,INTERMEDIATE,2.0,95.035,29.892,31.504,33.639,276.0,260.0,,227.0,1,True,False,False,False,2026-08-21 10:33:25.395,,18.2,25.2,72.1,False,0.8,30.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,3.0,2.0,MEDIUM,1.0,,,31.719,26.008,245.0,234.0,308.0,227.0,1,True,False,False,False,2026-08-21 10:35:00.430,,18.2,24.4,71.8,False,2.0,82.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,4.0,2.0,MEDIUM,2.0,78.821,26.925,26.998,24.898,283.0,254.0,311.0,244.0,1,True,True,True,False,2026-08-21 10:42:21.368,,18.1,23.6,69.4,False,2.1,38.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,5.0,2.0,MEDIUM,3.0,75.539,26.284,26.483,22.772,286.0,278.0,303.0,297.0,1,True,True,True,False,2026-08-21 10:43:40.189,,18.1,22.7,69.9,False,3.5,22.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,6.0,2.0,MEDIUM,4.0,117.992,36.92,47.053,34.019,168.0,161.0,310.0,289.0,1,True,False,True,False,2026-08-21 10:44:55.728,,18.0,22.9,70.1,False,2.1,32.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,7.0,2.0,MEDIUM,5.0,79.533,25.87,26.22,27.443,287.0,282.0,242.0,306.0,12,True,False,True,False,2026-08-21 10:46:53.720,,18.0,23.2,69.1,False,3.0,25.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,8.0,2.0,MEDIUM,6.0,118.075,44.622,43.179,30.274,97.0,184.0,311.0,96.0,1,True,False,True,False,2026-08-21 10:48:13.253,,18.0,23.6,69.7,False,1.3,26.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,9.0,2.0,MEDIUM,7.0,74.958,25.708,26.298,22.951999999999998,287.0,280.0,306.0,309.0,1,True,True,True,False,2026-08-21 10:50:11.328,,18.2,24.6,70.3,False,1.1,62.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,10.0,2.0,MEDIUM,8.0,106.877,36.786,38.056,32.035,190.0,254.0,,226.0,1,True,False,False,False,2026-08-21 10:51:26.286,,18.3,24.9,69.8,False,1.2,35.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,11.0,3.0,MEDIUM,9.0,,,33.695,25.745,199.0,223.0,266.0,226.0,12,False,False,False,False,2026-08-21 10:53:13.163,,18.3,25.7,66.8,False,0.9,40.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,12.0,3.0,MEDIUM,10.0,81.958,28.805,27.6,25.553,234.0,271.0,312.0,265.0,1,False,False,True,False,2026-08-21 11:02:46.967,,19.1,27.6,62.5,False,2.0,62.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,13.0,3.0,MEDIUM,11.0,74.724,25.642,26.244,22.838,286.0,282.0,301.0,304.0,1,False,True,True,False,2026-08-21 11:04:08.925,,19.2,29.1,63.0,True,2.2,27.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,14.0,3.0,MEDIUM,12.0,82.663,30.431,28.822,23.41,258.0,243.0,309.0,255.0,1,False,False,True,False,2026-08-21 11:05:23.649,,19.2,29.4,63.3,False,1.9,16.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,15.0,3.0,MEDIUM,13.0,76.084,26.232,26.884,22.968,273.0,277.0,313.0,300.0,1,False,False,True,False,2026-08-21 11:06:46.312,,19.4,29.9,62.9,False,3.9,35.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,16.0,3.0,MEDIUM,14.0,75.584,25.994,26.794,22.796,275.0,279.0,313.0,304.0,1,False,False,True,False,2026-08-21 11:08:02.396,,19.4,28.0,61.0,True,2.8,26.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,17.0,3.0,MEDIUM,15.0,76.037,25.929,26.956,23.152,277.0,278.0,318.0,304.0,1,False,False,True,False,2026-08-21 11:09:17.980,,19.4,27.7,60.9,False,2.7,33.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,18.0,3.0,MEDIUM,16.0,76.016,25.968,26.968,23.08,277.0,278.0,317.0,308.0,1,False,False,True,False,2026-08-21 11:10:34.017,,19.3,28.3,62.0,True,2.1,20.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,19.0,3.0,MEDIUM,17.0,76.07,25.964,27.182,22.924,279.0,276.0,315.0,308.0,1,False,False,True,False,2026-08-21 11:11:50.033,,19.2,29.6,62.1,False,3.0,34.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,20.0,3.0,MEDIUM,18.0,76.212,25.923000000000002,26.874,23.415,277.0,279.0,311.0,307.0,12,False,False,True,False,2026-08-21 11:13:06.103,,19.2,29.4,62.5,False,2.8,41.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,21.0,3.0,MEDIUM,19.0,82.516,25.961,27.446,29.109,277.0,218.0,,303.0,1,False,False,False,False,2026-08-21 11:14:22.315,,19.3,28.6,62.5,False,2.7,53.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,22.0,4.0,SOFT,1.0,,,28.351,32.223,239.0,229.0,313.0,303.0,1,True,False,False,False,2026-08-21 11:15:44.831,,19.3,28.0,62.5,False,2.5,33.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,23.0,4.0,SOFT,2.0,83.622,26.592,31.926,25.104,230.0,235.0,307.0,296.0,1,True,False,True,False,2026-08-21 11:23:01.651,,19.1,27.6,64.0,False,3.2,24.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,24.0,4.0,SOFT,3.0,73.105,24.957,25.828,22.32,289.0,283.0,311.0,312.0,1,True,True,True,False,2026-08-21 11:24:25.273,,19.1,27.3,63.8,False,4.3,33.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,25.0,4.0,SOFT,4.0,116.513,42.751,46.422,27.34,83.0,209.0,277.0,239.0,1,True,False,True,False,2026-08-21 11:25:38.378,,19.0,27.6,63.4,False,0.9,43.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,26.0,4.0,SOFT,5.0,89.169,30.433,32.012,26.724,236.0,229.0,316.0,230.0,1,True,False,True,False,2026-08-21 11:27:34.891,,18.9,27.8,61.9,False,2.5,29.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,27.0,4.0,SOFT,6.0,73.07,25.175,25.529,22.366,289.0,281.0,306.0,310.0,1,True,True,True,False,2026-08-21 11:29:04.060,,18.9,27.6,61.5,False,2.2,39.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,28.0,4.0,SOFT,7.0,110.689,32.636,34.104,43.949,224.0,253.0,51.0,238.0,12,True,False,True,False,2026-08-21 11:30:17.130,,18.9,28.0,62.3,False,2.3,52.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,29.0,4.0,SOFT,8.0,,59.654,29.454,69.991,232.0,273.0,146.0,233.0,2,True,False,False,False,2026-08-21 11:32:07.819,,18.9,27.5,62.2,False,4.2,16.0
2026,12,Dutch Grand Prix,FP1,NOR,McLaren,30.0,4.0,SOFT,9.0,86.515,27.779,28.488,30.248,292.0,240.0,,260.0,2,True,False,False,False,2026-08-21 11:34:47.029,,18.9,29.9,62.1,False,3.6,44.0
2026,12,Dutch Grand Prix,FP1,VER,Red Bull Racing,1.0,1.0,HARD,1.0,,,33.838,26.786,231.0,228.0,322.0,,1,True,False,False,False,2026-08-21 10:42:32.929,,18.1,23.6,69.4,False,2.1,38.0
2026,12,Dutch Grand Prix,FP1,VER,Red Bull Racing,2.0,1.0,HARD,2.0,77.735,26.893,27.278,23.564,270.0,271.0,287.0,264.0,1,True,True,True,False,2026-08-21 10:44:07.433,,18.1,22.7,69.9,False,3.5,22.0
2026,12,Dutch Grand Prix,FP1,VER,Red Bull Racing,3.0,1.0,HARD,3.0,76.292,26.38,26.806,23.106,271.0,275.0,293.0,277.0,1,True,True,True,False,2026-08-21 10:45:25.168,,18.0,22.9,70.1,False,2.1,32.0
2026,12,Dutch Grand Prix,FP1,VER,Red Bull Racing,4.0,1.0,HARD,4.0,106.488,41.906,38.195,26.387,128.0,173.0,303.0,151.0,12,True,False,True,False,2026-08-21 10:46:41.460,,18.0,23.2,69.1,False,3.0,25.0
2026,12,Dutch Grand Prix,FP1,VER,Red Bull Racing,5.0,1.0,HARD,5.0,75.381,25.899,26.597,22.885,289.0,289.0,302.0,301.0,1,True,True,True,False,2026-08-21 10:48:27.948,,18.0,23.6,69.7,False,1.3,26.0
2026,12,Dutch Grand Prix,FP1,VER,Red Bull Racing,6.0,1.0,HARD,6.0,113.386,40.392,43.645,29.349,168.0,207.0,302.0,221.0,1,True,False,True,False,2026-08-21 10:49:43.329,,18.2,24.6,70.3,False,1.1,62.0
2026,12,Dutch Grand Prix,FP1,VER,Red Bull Racing,7.0,1.0,HARD,7.0,74.942,25.673000000000002,26.38,22.889,291.0,285.0,302.0,305.0,1,True,True,True,False,2026-08-21 10:51:36.715,,18.3,25.5,69.0,False,3.1,27.0
2026,12,Dutch Grand Prix,FP1,VER,Red Bull Racing,8.0,1.0,HARD,8.0,110.25,43.275,37.937,29.038,174.0,233.0,301.0,208.0,1,True,False,True,False,2026-08-21 10:52:51.657,,18.3,25.7,66.8,False,0.9,40.0
