Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:17.788000,18.0,24.9,73.1,1010.2,False,52,2.4
0 days 00:01:17.799000,18.1,25.8,72.8,1010.1,False,29,1.3
0 days 00:02:17.821000,18.2,25.8,73.4,1010.2,False,35,1.4
0 days 00:03:17.822000,18.2,25.2,72.1,1010.2,False,30,0.8
0 days 00:04:17.822000,18.2,25.2,72.4,1010.1,False,35,1.8
0 days 00:05:17.818000,18.2,24.4,71.8,1010.2,False,82,2.0
0 days 00:06:17.816000,18.2,24.5,70.4,1010.3,False,53,1.7
0 days 00:07:17.813000,18.2,24.4,70.8,1010.2,False,46,1.9
0 days 00:08:17.807000,18.3,24.4,70.5,1010.3,False,41,1.9
0 days 00:09:17.817000,18.2,24.4,71.6,1010.3,False,52,1.1
0 days 00:10:17.818000,18.2,23.9,70.7,1010.3,False,27,2.8
0 days 00:11:17.830000,18.2,23.5,70.8,1010.2,False,18,3.6
0 days 00:12:17.822000,18.1,23.6,69.4,1010.3,False,38,2.1
0 days 00:13:17.828000,18.1,23.5,70.4,1010.2,False,25,2.7
0 days 00:14:17.836000,18.1,22.7,69.9,1010.2,False,22,3.5
0 days 00:15:17.865000,18.0,22.9,70.1,1010.2,False,32,2.1
0 days 00:16:17.859000,18.0,22.8,70.3,1010.2,False,29,4.0
0 days 00:17:17.860000,18.0,23.2,69.1,1010.2,False,25,3.0
0 days 00:18:17.881000,18.0,23.6,69.7,1010.2,False,26,1.3
0 days 00:19:17.867000,18.1,23.6,69.7,1010.2,False,25,1.9
0 days 00:20:17.862000,18.2,24.6,70.3,1010.3,False,62,1.1
0 days 00:21:17.859000,18.3,24.9,69.8,1010.3,False,35,1.2
0 days 00:22:17.864000,18.3,25.5,69.0,1010.3,False,27,3.1
0 days 00:23:17.866000,18.3,25.7,66.8,1010.2,False,40,0.9
0 days 00:24:17.867000,18.4,26.8,68.6,1010.3,True,42,1.1
0 days 00:25:17.884000,18.5,26.6,68.7,1010.3,False,20,2.4
0 days 00:26:17.872000,18.5,26.7,66.6,1010.3,True,21,1.1
0 days 00:27:17.858000,18.5,26.6,66.4,1010.3,True,65,1.4
0 days 00:28:17.865000,18.6,26.3,66.0,1010.3,False,75,1.1
0 days 00:29:17.871000,18.7,26.1,67.4,1010.4,True,20,1.8
0 days 00:30:17.864000,18.9,26.6,66.1,1010.3,False,44,1.1
0 days 00:31:17.872000,18.9,27.1,64.9,1010.3,True,36,2.6
0 days 00:32:17.887000,19.0,28.0,64.4,1010.2,False,23,3.2
0 days 00:33:17.869000,19.1,27.6,62.5,1010.2,False,62,2.0
0 days 00:34:17.868000,19.2,29.1,63.0,1010.3,True,27,2.2
0 days 00:35:17.888000,19.2,29.4,63.3,1010.3,False,16,1.9
0 days 00:36:17.886000,19.3,30.7,63.2,1010.4,False,29,0.5
0 days 00:37:17.902000,19.4,29.9,62.9,1010.3,False,35,3.9
0 days 00:38:17.928000,19.4,28.0,61.0,1010.2,True,26,2.8
0 days 00:39:17.915000,19.4,27.7,60.9,1010.4,False,33,2.7
0 days 00:40:17.923000,19.3,28.3,62.0,1010.3,True,20,2.1
0 days 00:41:17.928000,19.3,28.7,62.7,1010.3,False,26,2.3
0 days 00:42:17.917000,19.2,29.6,62.1,1010.3,False,34,3.0
0 days 00:43:17.929000,19.2,29.4,62.5,1010.2,False,41,2.8
0 days 00:44:17.927000,19.3,28.6,62.5,1010.3,False,53,2.7
0 days 00:45:17.929000,19.3,28.1,62.4,1010.3,True,31,2.3
0 days 00:46:17.929000,19.3,28.0,62.5,1010.3,False,33,2.5
0 days 00:47:17.922000,19.4,27.4,62.1,1010.2,False,28,3.0
0 days 00:48:17.935000,19.3,27.9,63.3,1010.3,False,31,3.2
0 days 00:49:17.960000,19.2,27.5,63.8,1010.2,False,35,2.9
0 days 00:50:17.957000,19.3,26.8,63.9,1010.2,False,28,3.0
0 days 00:51:17.972000,19.2,27.3,63.7,1010.2,False,32,2.6
0 days 00:52:17.970000,19.1,27.8,63.3,1010.2,True,25,4.0
0 days 00:53:17.973000,19.1,27.6,64.0,1010.3,False,24,3.2
0 days 00:54:17.967000,19.1,27.3,63.8,1010.3,False,33,4.3
0 days 00:55:17.975000,19.0,27.1,62.6,1010.2,False,33,3.2
0 days 00:56:17.984000,19.0,27.6,63.4,1010.4,False,43,0.9
0 days 00:57:17.982000,19.0,27.9,63.0,1010.3,False,25,2.2
0 days 00:58:18.011000,18.9,27.8,61.9,1010.4,False,29,2.5
0 days 00:59:18.007000,18.9,27.6,61.5,1010.5,False,39,2.2
0 days 01:00:18.010000,18.9,28.0,62.3,1010.6,False,52,2.3
0 days 01:01:18.022000,18.9,28.0,62.3,1010.5,False,32,2.7
0 days 01:02:18.011000,18.9,27.5,62.2,1010.5,False,16,4.2
0 days 01:03:18.016000,18.9,28.8,61.9,1010.5,True,44,3.7
0 days 01:04:18.014000,18.9,28.6,61.2,1010.5,False,30,2.0
0 days 01:05:18.026000,18.9,29.9,62.1,1010.5,False,44,3.6
0 days 01:06:18.038000,18.9,29.5,61.0,1010.5,False,51,1.8
0 days 01:07:18.035000,19.0,29.5,61.0,1010.5,False,31,2.7
0 days 01:08:18.028000,19.1,29.5,61.9,1010.5,False,29,4.6
0 days 01:09:18.029000,19.2,29.3,60.2,1010.5,False,48,2.9
0 days 01:10:18.028000,19.2,29.0,60.7,1010.5,False,49,3.5
0 days 01:11:18.032000,19.2,29.1,59.9,1010.5,False,28,1.5
0 days 01:12:18.030000,19.1,28.6,59.8,1010.6,False,57,2.3
0 days 01:13:18.029000,19.0,28.1,61.3,1010.5,False,27,3.3
0 days 01:14:18.030000,19.0,28.9,59.7,1010.5,True,50,2.8
0 days 01:15:18.031000,19.0,28.2,60.3,1010.5,False,15,4.0
0 days 01:16:18.030000,19.0,29.1,59.1,1010.6,False,33,3.1
0 days 01:17:18.028000,18.9,28.2,59.4,1010.6,False,39,3.3
0 days 01:18:18.032000,18.9,28.4,59.6,1010.5,False,36,2.7
0 days 01:19:18.032000,19.0,27.9,59.0,1010.6,False,43,2.5
0 days 01:20:18.037000,19.0,27.3,58.7,1010.7,False,30,1.9
0 days 01:21:18.033000,19.0,27.4,58.7,1010.7,False,35,2.9
