season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026,12,Dutch Grand Prix,Q,ALB,Williams,1.0,SOFT,3,89.03933333333333,0.0,-0.5,2,4
2026,12,Dutch Grand Prix,Q,ALB,Williams,2.0,SOFT,2,82.767,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,ALB,Williams,3.0,SOFT,2,86.564,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,ALB,Williams,4.0,SOFT,2,82.37049999999999,10.0,0.0,5,6
2026,12,Dutch Grand Prix,Q,ALB,Williams,5.0,SOFT,2,87.5975,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,ALO,Aston Martin,1.0,SOFT,3,86.84733333333334,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,ALO,Aston Martin,2.0,SOFT,2,87.5965,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,ALO,Aston Martin,3.0,SOFT,2,90.22749999999999,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,ANT,Mercedes,1.0,SOFT,3,85.82133333333333,0.0,0.5,6,8
2026,12,Dutch Grand Prix,Q,ANT,Mercedes,2.0,SOFT,2,83.028,10.0,0.0,10,11
2026,12,Dutch Grand Prix,Q,ANT,Mercedes,3.0,SOFT,2,84.48599999999999,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,ANT,Mercedes,4.0,SOFT,3,83.62400000000001,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,ANT,Mercedes,5.0,SOFT,3,80.05433333333333,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,ANT,Mercedes,6.0,SOFT,3,106.63699999999999,0.0,-0.5,1,3
2026,12,Dutch Grand Prix,Q,BEA,Haas F1 Team,1.0,SOFT,2,84.14150000000001,-3.1410000000000053,0.0,2,3
2026,12,Dutch Grand Prix,Q,BEA,Haas F1 Team,2.0,SOFT,4,99.01125,-3.3333333333333335,-0.39999999999999997,1,4
2026,12,Dutch Grand Prix,Q,BEA,Haas F1 Team,3.0,SOFT,3,90.50833333333333,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,BOR,Audi,1.0,SOFT,2,87.33250000000001,-10.0,0.0,4,5
2026,12,Dutch Grand Prix,Q,BOR,Audi,2.0,SOFT,3,86.151,0.0,-0.5,2,4
2026,12,Dutch Grand Prix,Q,BOR,Audi,3.0,SOFT,2,86.303,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,BOR,Audi,4.0,SOFT,2,86.2815,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,BOR,Audi,5.0,SOFT,2,87.015,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,BOR,Audi,6.0,SOFT,2,82.05850000000001,10.0,0.0,5,6
2026,12,Dutch Grand Prix,Q,BOR,Audi,7.0,SOFT,2,86.05199999999999,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,BOT,Cadillac,1.0,SOFT,3,84.113,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,BOT,Cadillac,2.0,SOFT,2,87.13300000000001,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,BOT,Cadillac,3.0,SOFT,2,86.9915,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,COL,Alpine,1.0,SOFT,1,82.8,0.0,0.0,10,10
2026,12,Dutch Grand Prix,Q,COL,Alpine,2.0,SOFT,2,87.773,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,COL,Alpine,3.0,SOFT,2,87.85900000000001,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,COL,Alpine,4.0,SOFT,2,86.8245,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,COL,Alpine,5.0,SOFT,1,83.418,0.0,0.0,2,2
2026,12,Dutch Grand Prix,Q,GAS,Alpine,1.0,SOFT,1,84.323,0.0,0.0,7,7
2026,12,Dutch Grand Prix,Q,GAS,Alpine,2.0,SOFT,2,84.35,10.0,0.0,5,6
2026,12,Dutch Grand Prix,Q,GAS,Alpine,3.0,SOFT,2,86.559,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,GAS,Alpine,4.0,SOFT,2,86.78200000000001,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,GAS,Alpine,5.0,SOFT,2,87.6335,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,HAM,Ferrari,1.0,SOFT,5,91.45100000000001,-1.0280000000000022,0.6,6,10
2026,12,Dutch Grand Prix,Q,HAM,Ferrari,2.0,SOFT,3,87.286,0.0,0.5,10,12
2026,12,Dutch Grand Prix,Q,HAM,Ferrari,3.0,SOFT,3,85.90033333333334,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,HAM,Ferrari,4.0,SOFT,2,92.2585,9.594999999999999,0.0,6,7
2026,12,Dutch Grand Prix,Q,HAM,Ferrari,5.0,SOFT,3,81.87833333333333,0.0,-0.5,2,4
2026,12,Dutch Grand Prix,Q,HAM,Ferrari,6.0,SOFT,2,79.533,-10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,HUL,Audi,1.0,MEDIUM,2,80.04599999999999,-2.793999999999997,0.0,10,11
2026,12,Dutch Grand Prix,Q,HUL,Audi,2.0,SOFT,3,84.15333333333334,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,HUL,Audi,3.0,SOFT,2,87.0515,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,HUL,Audi,4.0,SOFT,2,82.4475,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,HUL,Audi,5.0,SOFT,3,93.40133333333334,0.0,-0.5,1,3
2026,12,Dutch Grand Prix,Q,HUL,Audi,6.0,SOFT,2,82.9005,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,LAW,Red Bull Racing,1.0,SOFT,5,92.0904,-2.864250000000002,0.49999999999999994,2,6
2026,12,Dutch Grand Prix,Q,LAW,Red Bull Racing,2.0,SOFT,3,81.44733333333333,0.9989999999999952,0.5,8,10
2026,12,Dutch Grand Prix,Q,LAW,Red Bull Racing,3.0,SOFT,3,82.706,0.29650000000000176,0.5,2,4
2026,12,Dutch Grand Prix,Q,LAW,Red Bull Racing,4.0,SOFT,3,85.325,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,LAW,Red Bull Racing,5.0,SOFT,3,78.922,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,LAW,Red Bull Racing,6.0,SOFT,2,85.28800000000001,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,LEC,Ferrari,1.0,SOFT,6,88.31883333333333,-0.28600000000000136,-0.4285714285714286,12,17
2026,12,Dutch Grand Prix,Q,LEC,Ferrari,2.0,SOFT,3,84.27533333333334,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,LEC,Ferrari,3.0,SOFT,3,85.77066666666667,0.0,0.5,6,8
2026,12,Dutch Grand Prix,Q,LEC,Ferrari,4.0,SOFT,3,80.89833333333333,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,LEC,Ferrari,5.0,SOFT,2,74.912,-6.707999999999998,0.0,2,3
2026,12,Dutch Grand Prix,Q,LIN,Racing Bulls,1.0,SOFT,2,83.868,10.0,0.0,5,6
2026,12,Dutch Grand Prix,Q,LIN,Racing Bulls,2.0,SOFT,2,80.84049999999999,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,LIN,Racing Bulls,3.0,SOFT,2,84.982,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,LIN,Racing Bulls,4.0,SOFT,2,83.804,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,LIN,Racing Bulls,5.0,SOFT,2,83.113,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,LIN,Racing Bulls,6.0,SOFT,3,80.1,-0.06200000000000472,-0.5,5,7
2026,12,Dutch Grand Prix,Q,LIN,Racing Bulls,7.0,SOFT,2,84.33449999999999,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,NOR,McLaren,1.0,SOFT,3,85.26933333333334,0.5720000000000027,0.5,6,8
2026,12,Dutch Grand Prix,Q,NOR,McLaren,2.0,SOFT,3,84.01866666666666,0.0,0.5,10,12
2026,12,Dutch Grand Prix,Q,NOR,McLaren,3.0,SOFT,3,82.26166666666667,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,NOR,McLaren,4.0,SOFT,2,82.7385,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,NOR,McLaren,5.0,SOFT,2,80.83099999999999,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,NOR,McLaren,6.0,SOFT,2,85.446,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,OCO,Haas F1 Team,1.0,SOFT,2,84.9755,-8.263000000000005,0.0,2,3
2026,12,Dutch Grand Prix,Q,OCO,Haas F1 Team,2.0,SOFT,4,94.345,-3.3333333333333335,-0.39999999999999997,1,4
2026,12,Dutch Grand Prix,Q,OCO,Haas F1 Team,3.0,SOFT,3,87.59033333333332,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,OCO,Haas F1 Team,4.0,SOFT,2,82.9725,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,OCO,Haas F1 Team,5.0,SOFT,2,87.4755,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,PER,Cadillac,1.0,SOFT,3,85.41233333333332,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,PER,Cadillac,2.0,SOFT,2,86.92599999999999,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,PER,Cadillac,3.0,SOFT,2,87.423,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,PIA,McLaren,1.0,SOFT,3,85.86066666666666,0.0,0.5,6,8
2026,12,Dutch Grand Prix,Q,PIA,McLaren,2.0,SOFT,3,84.12833333333333,0.0,0.5,10,12
2026,12,Dutch Grand Prix,Q,PIA,McLaren,3.0,SOFT,3,86.472,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,PIA,McLaren,4.0,SOFT,2,84.0685,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,PIA,McLaren,5.0,SOFT,2,79.85499999999999,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,PIA,McLaren,6.0,SOFT,2,84.325,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,RUS,Mercedes,1.0,SOFT,3,87.95666666666666,0.0,0.5,6,8
2026,12,Dutch Grand Prix,Q,RUS,Mercedes,2.0,SOFT,2,80.9495,10.0,0.0,10,11
2026,12,Dutch Grand Prix,Q,RUS,Mercedes,3.0,SOFT,2,82.666,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,RUS,Mercedes,4.0,SOFT,2,104.7575,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,RUS,Mercedes,5.0,SOFT,3,78.76033333333332,-0.33450000000000557,-0.5,2,4
2026,12,Dutch Grand Prix,Q,RUS,Mercedes,6.0,SOFT,3,107.54133333333334,0.0,-0.5,1,3
2026,12,Dutch Grand Prix,Q,SAI,Williams,1.0,SOFT,3,84.78066666666666,0.0,0.5,2,4
2026,12,Dutch Grand Prix,Q,SAI,Williams,2.0,SOFT,2,88.5265,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,SAI,Williams,3.0,SOFT,2,86.9945,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,STR,Aston Martin,1.0,SOFT,3,86.88133333333333,0.0,-0.5,2,4
2026,12,Dutch Grand Prix,Q,STR,Aston Martin,2.0,SOFT,2,84.767,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,STR,Aston Martin,3.0,SOFT,2,85.3625,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,TSU,Racing Bulls,1.0,SOFT,2,85.141,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,TSU,Racing Bulls,2.0,SOFT,2,85.88499999999999,10.0,0.0,2,3
2026,12,Dutch Grand Prix,Q,TSU,Racing Bulls,3.0,SOFT,2,86.48349999999999,10.0,0.0,2,3
