Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:22.921000,18.2,34.3,56.3,1020.6,False,77,1.9
0 days 00:01:23.132000,18.3,34.5,55.7,1020.6,False,50,1.3
0 days 00:02:23.187000,18.3,33.3,55.4,1020.6,True,63,3.1
0 days 00:03:22.929000,18.4,32.0,56.4,1020.6,False,24,2.7
0 days 00:04:23.803000,18.4,31.9,56.0,1020.7,False,76,2.5
0 days 00:05:22.929000,18.1,32.6,57.0,1020.6,False,6,2.8
0 days 00:06:22.932000,18.0,33.6,57.8,1020.6,False,59,2.0
0 days 00:07:22.966000,18.1,34.1,56.3,1020.6,False,77,3.7
0 days 00:08:23.033000,18.3,33.3,56.1,1020.6,False,49,3.9
0 days 00:09:22.930000,18.3,34.1,57.3,1020.6,False,18,4.8
0 days 00:10:22.935000,18.4,34.6,57.0,1020.6,True,29,1.2
0 days 00:11:22.925000,18.5,34.3,57.0,1020.7,False,31,1.9
0 days 00:12:23.788000,18.6,33.5,55.7,1020.7,False,57,2.4
0 days 00:13:22.922000,18.5,32.3,54.6,1020.8,False,19,2.6
0 days 00:14:22.925000,18.4,32.7,55.1,1020.7,False,22,2.9
0 days 00:15:23.039000,18.3,32.0,54.2,1020.8,False,102,2.4
0 days 00:16:23.701000,18.2,32.2,55.0,1020.8,False,37,3.4
0 days 00:17:23.773000,18.2,32.9,56.0,1020.8,False,35,1.5
0 days 00:18:22.945000,18.2,34.1,55.5,1020.9,False,65,2.0
0 days 00:19:23.938000,18.1,34.1,55.8,1020.8,False,97,1.5
0 days 00:20:22.939000,18.3,34.3,55.4,1020.8,False,8,1.7
0 days 00:21:22.936000,18.5,34.3,55.4,1020.9,False,4,2.9
0 days 00:22:23.215000,18.5,34.7,54.8,1020.8,False,73,1.9
0 days 00:23:22.936000,18.4,34.7,55.0,1020.9,False,44,1.8
0 days 00:24:22.934000,18.4,34.6,56.0,1020.8,False,4,2.3
0 days 00:25:23.056000,18.5,34.8,56.3,1020.8,True,54,1.1
0 days 00:26:22.934000,18.6,34.6,54.7,1020.7,False,48,1.8
0 days 00:27:22.938000,18.6,35.1,53.3,1020.8,False,48,1.7
0 days 00:28:22.937000,18.6,35.7,54.0,1020.7,False,66,2.0
0 days 00:29:22.940000,18.6,35.9,55.1,1020.9,False,49,2.7
0 days 00:30:22.993000,18.7,34.6,55.7,1020.7,False,41,3.4
0 days 00:31:24.027000,18.5,34.9,56.3,1020.8,True,43,1.6
0 days 00:32:23.575000,18.5,33.7,56.1,1020.8,False,36,3.0
0 days 00:33:22.949000,18.5,33.5,56.8,1020.8,False,18,2.5
0 days 00:34:23.205000,18.6,33.7,56.4,1020.9,False,54,2.7
0 days 00:35:22.948000,18.6,33.3,55.9,1020.8,False,36,2.4
0 days 00:36:22.939000,18.5,32.5,55.2,1020.8,False,43,2.2
0 days 00:37:22.939000,18.4,31.7,55.8,1020.8,False,36,3.3
0 days 00:38:22.947000,18.3,32.2,56.7,1021.0,False,33,2.9
0 days 00:39:23.037000,18.2,31.3,55.9,1020.9,False,60,2.5
0 days 00:40:23.590000,18.1,32.5,56.7,1021.0,False,46,0.9
0 days 00:41:23.675000,18.0,32.4,57.0,1021.0,False,61,2.6
0 days 00:42:23.237000,18.0,33.8,56.9,1021.0,False,43,2.5
0 days 00:43:22.950000,18.0,34.3,58.1,1020.9,False,27,2.2
0 days 00:44:22.950000,18.2,32.1,56.5,1021.0,False,19,1.8
0 days 00:45:22.960000,18.3,33.5,55.6,1020.9,False,61,2.8
0 days 00:46:23.998000,18.3,32.9,55.9,1021.0,False,49,3.2
0 days 00:47:22.956000,18.4,32.7,56.2,1021.0,False,26,2.5
0 days 00:48:23.636000,18.4,32.2,56.2,1021.1,False,107,3.1
0 days 00:49:23.210000,18.3,32.6,57.3,1021.0,False,11,1.3
0 days 00:50:22.959000,18.2,32.5,59.0,1020.9,False,51,1.4
0 days 00:51:22.958000,18.1,31.6,61.1,1021.0,True,37,3.6
0 days 00:52:23.855000,18.0,31.4,60.2,1021.1,False,48,2.8
0 days 00:53:23.917000,18.0,31.5,60.7,1021.1,False,38,2.6
0 days 00:54:22.978000,17.9,31.4,61.1,1021.1,False,34,2.5
0 days 00:55:22.968000,17.8,31.5,60.6,1021.1,False,64,2.2
0 days 00:56:22.959000,17.7,31.6,61.3,1021.2,False,38,2.5
0 days 00:57:23.154000,17.7,31.1,61.6,1021.2,False,29,2.1
0 days 00:58:22.966000,17.7,31.2,60.6,1021.1,False,13,2.6
0 days 00:59:23.259000,17.7,30.5,61.7,1021.1,False,29,3.9
0 days 01:00:22.965000,17.7,30.5,60.6,1021.2,False,45,3.5
0 days 01:01:22.957000,17.7,30.5,60.5,1021.2,False,50,2.5
0 days 01:02:22.973000,17.6,30.9,61.0,1021.2,False,91,1.5
0 days 01:03:23.042000,17.6,30.5,60.8,1021.2,False,37,1.6
0 days 01:04:23.665000,17.6,30.9,60.7,1021.2,False,43,4.0
0 days 01:05:22.959000,17.7,30.9,61.7,1021.0,False,41,3.5
0 days 01:06:22.959000,17.7,30.7,61.3,1021.2,False,31,1.7
0 days 01:07:23.855000,17.7,30.5,61.5,1021.2,False,45,3.5
0 days 01:08:22.977000,17.7,30.4,60.9,1021.1,False,32,2.2
0 days 01:09:23.007000,17.7,29.9,60.5,1021.1,False,40,2.3
0 days 01:10:23.666000,17.6,29.8,60.2,1021.1,False,20,2.6
0 days 01:11:23.019000,17.6,29.8,59.7,1021.2,False,46,2.8
0 days 01:12:23.019000,17.6,29.7,60.5,1021.1,False,52,4.1
0 days 01:13:23.293000,17.6,29.9,61.0,1021.2,False,34,2.6
0 days 01:14:23.055000,17.5,29.9,61.6,1021.2,False,43,2.5
0 days 01:15:23.024000,17.5,29.7,60.6,1021.2,False,124,0.6
0 days 01:16:23.977000,17.5,29.9,59.7,1021.2,False,69,1.8
