Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,51.0,0 days 00:01:17.147000,MEDIUM,2.0,Williams
ALO,59.0,0 days 00:01:16.946000,HARD,25.0,Aston Martin
ANT,59.0,0 days 00:01:14.571000,SOFT,6.0,Mercedes
BOR,57.0,0 days 00:01:15.515000,SOFT,7.0,Audi
BOT,60.0,0 days 00:01:17.822000,SOFT,9.0,Cadillac
COL,48.0,0 days 00:01:15.578000,SOFT,3.0,Alpine
GAS,58.0,0 days 00:01:16.220000,MEDIUM,14.0,Alpine
HAM,61.0,0 days 00:01:14.566000,SOFT,13.0,Ferrari
HUL,62.0,0 days 00:01:16.048000,HARD,14.0,Audi
LAW,61.0,0 days 00:01:15.435000,MEDIUM,14.0,Red Bull Racing
LEC,60.0,0 days 00:01:14.230000,SOFT,5.0,Ferrari
LIN,60.0,0 days 00:01:16.653000,HARD,24.0,Racing Bulls
NOR,49.0,0 days 00:01:14.321000,HARD,2.0,McLaren
OCO,48.0,0 days 00:01:17.588000,HARD,12.0,Haas F1 Team
PER,70.0,0 days 00:01:17.523000,SOFT,18.0,Cadillac
PIA,61.0,0 days 00:01:14.303000,SOFT,9.0,McLaren
RUS,46.0,0 days 00:01:15.393000,HARD,6.0,Mercedes
SAI,69.0,0 days 00:01:17.328000,SOFT,6.0,Williams
STR,37.0,0 days 00:01:17.883000,HARD,2.0,Aston Martin
TSU,49.0,0 days 00:01:16.639000,SOFT,7.0,Racing Bulls
