season,round,event_name,session_code,driver,team,regulation_era,session_weight,lap_count,representative_lap_s,best_lap_s,long_run_lap_s,long_run_degradation_s,top_speed_kph,air_temp_c,track_temp_c,humidity_pct,rainfall_flag,wind_speed_mps,wind_direction_deg,gap_to_session_best_s,pace_rank,gap_to_teammate_s
2026,12,Dutch Grand Prix,R,ALB,Williams,regulations_2026_reset,1.25,64,77.43650000000001,77.147,80.82578846153845,0.3850784313725492,344.0,18.496875000000003,33.065625,59.91250000000001,True,1.2046875,102.015625,2.9821666666666715,15.0,-0.2777499999999975
2026,12,Dutch Grand Prix,R,ALO,Aston Martin,regulations_2026_reset,1.25,69,77.06450000000001,76.946,79.69511475409833,-0.036483333333333215,335.0,18.54782608695652,33.11159420289855,59.60144927536232,True,1.2405797101449274,97.10144927536231,2.6101666666666716,14.0,-0.5362499999999955
2026,12,Dutch Grand Prix,R,ANT,Mercedes,regulations_2026_reset,1.25,70,74.72583333333334,74.571,78.57323728813559,-1.1429827586206898,344.0,18.541428571428565,33.09285714285715,59.635714285714286,True,1.1914285714285713,97.88571428571429,0.2715000000000032,4.0,-0.3535833333333329
2026,12,Dutch Grand Prix,R,BEA,Haas F1 Team,regulations_2026_reset,1.25,1,97.235,97.235,,,281.0,18.7,32.9,56.2,False,2.2,96.0,22.78066666666666,21.0,9.760083333333327
2026,12,Dutch Grand Prix,R,BOR,Audi,regulations_2026_reset,1.25,68,76.14800000000001,75.515,79.35805172413792,-0.13384210526315798,340.0,18.541176470588233,33.097058823529416,59.62205882352942,True,1.226470588235294,101.92647058823529,1.6936666666666724,9.0,0.006416666666666515
2026,12,Dutch Grand Prix,R,BOT,Cadillac,regulations_2026_reset,1.25,58,78.4965,77.822,80.3664081632653,0.2501875,332.0,18.43448275862069,32.74655172413793,60.127586206896545,True,1.2310344827586206,93.86206896551724,4.04216666666666,20.0,0.40441666666666265
2026,12,Dutch Grand Prix,R,COL,Alpine,regulations_2026_reset,1.25,68,76.49499999999999,75.578,80.427125,-0.04532727272727264,340.0,18.54558823529411,33.061764705882354,59.57794117647059,True,1.2382352941176469,96.04411764705883,2.0406666666666524,11.0,0.023250000000004434
2026,12,Dutch Grand Prix,R,GAS,Alpine,regulations_2026_reset,1.25,69,76.44849999999998,76.22,79.66234426229506,-0.1101833333333334,349.0,18.5463768115942,33.09130434782609,59.563768115942025,True,1.234782608695652,95.8840579710145,1.9941666666666436,10.0,-0.023250000000004434
2026,12,Dutch Grand Prix,R,HAM,Ferrari,regulations_2026_reset,1.25,70,74.77116666666667,74.566,79.06240625000001,-0.9314920634920637,341.0,18.547142857142852,33.087142857142865,59.639999999999986,True,1.2542857142857142,96.67142857142858,0.3168333333333351,5.0,0.15841666666666754
2026,12,Dutch Grand Prix,R,HUL,Audi,regulations_2026_reset,1.25,69,76.13516666666668,76.048,80.54916666666666,-1.159220338983051,338.0,18.547826086956523,33.07101449275363,59.60579710144928,True,1.2869565217391303,97.7536231884058,1.6808333333333394,8.0,-0.006416666666666515
2026,12,Dutch Grand Prix,R,LAW,Red Bull Racing,regulations_2026_reset,1.25,70,75.829,75.435,79.71415254237287,-0.976396551724138,337.0,18.547142857142852,33.06,59.60142857142858,True,1.2614285714285713,102.31428571428572,1.3746666666666556,7.0,0.0
2026,12,Dutch Grand Prix,R,LEC,Ferrari,regulations_2026_reset,1.25,70,74.45433333333334,74.23,78.26587500000001,-0.195909090909091,340.0,18.548571428571428,33.087142857142865,59.66714285714287,True,1.2542857142857142,94.24285714285715,0.0,1.0,-0.15841666666666754
2026,12,Dutch Grand Prix,R,LIN,Racing Bulls,regulations_2026_reset,1.25,69,76.94533333333334,76.653,80.84911864406781,-1.0142758620689654,342.0,18.547826086956523,33.084057971014495,59.562318840579714,True,1.2130434782608694,102.57971014492753,2.4909999999999997,13.0,0.10450000000000159
2026,12,Dutch Grand Prix,R,NOR,McLaren,regulations_2026_reset,1.25,70,74.53183333333332,74.321,79.00925000000001,-1.197779661016949,343.0,18.544285714285714,33.10571428571428,59.651428571428575,True,1.1871428571428573,96.05714285714286,0.07749999999998636,2.0,-0.023250000000004434
2026,12,Dutch Grand Prix,R,OCO,Haas F1 Team,regulations_2026_reset,1.25,50,77.71483333333333,77.588,79.206125,-0.190948717948718,336.0,18.272,32.18600000000001,60.468,True,1.19,95.6,3.2604999999999933,17.0,-9.760083333333341
2026,12,Dutch Grand Prix,R,PER,Cadillac,regulations_2026_reset,1.25,68,77.68766666666666,77.149,79.92266071428571,-0.04912727272727269,331.0,18.517647058823524,32.97352941176471,59.81617647058824,True,1.2558823529411764,88.94117647058823,3.23333333333332,16.0,-0.40441666666667686
2026,12,Dutch Grand Prix,R,PIA,McLaren,regulations_2026_reset,1.25,70,74.57833333333333,74.303,77.48316666666666,-0.031050847457627012,342.0,18.54857142857143,33.06142857142858,59.68571428571428,True,1.2428571428571429,98.87142857142857,0.12399999999999523,3.0,0.023250000000004434
2026,12,Dutch Grand Prix,R,RUS,Mercedes,regulations_2026_reset,1.25,70,75.433,75.393,79.06448333333334,-1.1191694915254236,333.0,18.545714285714283,33.09428571428571,59.61857142857142,True,1.24,92.8,0.978666666666669,6.0,0.3535833333333329
2026,12,Dutch Grand Prix,R,SAI,Williams,regulations_2026_reset,1.25,67,77.992,77.328,80.69791379310347,-0.03077192982456149,330.0,18.537313432835816,33.02238805970149,59.62089552238807,True,1.2731343283582086,93.71641791044776,3.5376666666666665,18.0,0.2777499999999975
2026,12,Dutch Grand Prix,R,STR,Aston Martin,regulations_2026_reset,1.25,42,78.137,77.883,79.72867741935484,0.30313333333333314,329.0,18.15714285714286,31.65952380952381,60.976190476190474,True,1.2333333333333332,87.80952380952381,3.6826666666666625,19.0,0.5362499999999955
2026,12,Dutch Grand Prix,R,TSU,Racing Bulls,regulations_2026_reset,1.25,69,76.73633333333333,76.639,79.6680847457627,-0.02629310344827596,344.0,18.549275362318834,33.10000000000001,59.55797101449275,True,1.2492753623188404,94.68115942028986,2.2819999999999965,12.0,-0.10450000000000159
