season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026,12,Dutch Grand Prix,R,ALB,Williams,1.0,SOFT,2,122.5385,10.0,0.0,1,2
2026,12,Dutch Grand Prix,R,ALB,Williams,2.0,HARD,22,79.60722727272726,-0.13461904761904753,0.07171089779785433,3,24
2026,12,Dutch Grand Prix,R,ALB,Williams,3.0,HARD,23,80.07121739130434,-0.31331818181818183,0.05138339920948617,1,23
2026,12,Dutch Grand Prix,R,ALB,Williams,4.0,MEDIUM,17,84.769,1.016375,0.08215820060481459,1,17
2026,12,Dutch Grand Prix,R,ALO,Aston Martin,1.0,SOFT,2,123.286,10.0,0.0,1,2
2026,12,Dutch Grand Prix,R,ALO,Aston Martin,2.0,SOFT,30,79.47486666666668,-0.07193103448275857,-0.21648681856065896,3,32
2026,12,Dutch Grand Prix,R,ALO,Aston Martin,3.0,HARD,37,80.35243243243244,-0.5697500000000003,-0.16524419155998102,1,37
2026,12,Dutch Grand Prix,R,ANT,Mercedes,1.0,MEDIUM,2,104.589,10.0,0.0,1,2
2026,12,Dutch Grand Prix,R,ANT,Mercedes,2.0,MEDIUM,17,81.08423529411765,-0.40268749999999986,0.5637254901960785,5,21
2026,12,Dutch Grand Prix,R,ANT,Mercedes,3.0,HARD,19,77.53094736842104,-0.35638888888888925,0.5385964912280702,1,19
2026,12,Dutch Grand Prix,R,ANT,Mercedes,4.0,HARD,16,80.199375,0.597066666666666,0.3235294117647059,1,16
2026,12,Dutch Grand Prix,R,ANT,Mercedes,5.0,SOFT,16,78.1968125,-0.575533333333333,0.5058823529411764,4,19
2026,12,Dutch Grand Prix,R,BEA,Haas F1 Team,1.0,SOFT,1,97.235,0.0,0.0,1,1
2026,12,Dutch Grand Prix,R,BOR,Audi,1.0,SOFT,1,97.716,0.0,0.0,4,4
2026,12,Dutch Grand Prix,R,BOR,Audi,2.0,SOFT,7,80.40814285714285,-0.472999999999999,-0.14285714285714288,6,12
2026,12,Dutch Grand Prix,R,BOR,Audi,3.0,MEDIUM,23,79.80521739130435,-0.2426818181818181,0.2648221343873518,1,23
2026,12,Dutch Grand Prix,R,BOR,Audi,4.0,HARD,19,79.01126315789473,-0.3239999999999996,0.13859649122807016,1,19
2026,12,Dutch Grand Prix,R,BOR,Audi,5.0,SOFT,18,81.9545,-1.4672352941176479,0.04231166150670795,4,21
2026,12,Dutch Grand Prix,R,BOT,Cadillac,1.0,HARD,1,101.015,0.0,0.0,1,1
2026,12,Dutch Grand Prix,R,BOT,Cadillac,2.0,HARD,24,80.73637500000001,-0.08373913043478208,0.39051968742270543,3,26
2026,12,Dutch Grand Prix,R,BOT,Cadillac,3.0,HARD,23,80.77882608695653,-0.12259090909090921,0.5632411067193676,3,25
2026,12,Dutch Grand Prix,R,BOT,Cadillac,4.0,SOFT,10,88.63329999999999,-0.9224444444444436,-0.6848484848484848,1,10
2026,12,Dutch Grand Prix,R,COL,Alpine,1.0,MEDIUM,2,117.31649999999999,10.0,0.0,1,2
2026,12,Dutch Grand Prix,R,COL,Alpine,2.0,MEDIUM,4,81.222,-1.0176666666666658,-0.39999999999999997,3,6
2026,12,Dutch Grand Prix,R,COL,Alpine,3.0,MEDIUM,13,81.06461538461538,-0.37600000000000006,0.4175824175824176,7,19
2026,12,Dutch Grand Prix,R,COL,Alpine,4.0,HARD,24,79.62004166666667,-0.31743478260869573,0.2982608695652174,1,24
2026,12,Dutch Grand Prix,R,COL,Alpine,5.0,SOFT,25,81.26060000000001,-0.0849583333333328,-0.17307692307692307,1,25
2026,12,Dutch Grand Prix,R,GAS,Alpine,1.0,MEDIUM,2,116.379,10.0,0.0,1,2
2026,12,Dutch Grand Prix,R,GAS,Alpine,2.0,MEDIUM,14,79.34207142857143,-0.16046153846153835,0.3010989010989011,6,19
2026,12,Dutch Grand Prix,R,GAS,Alpine,3.0,HARD,28,79.46953571428571,-0.28196296296296297,-0.46360153256704983,1,28
2026,12,Dutch Grand Prix,R,GAS,Alpine,4.0,MEDIUM,25,80.98892000000001,-0.7540833333333339,0.2892307692307692,3,27
2026,12,Dutch Grand Prix,R,HAM,Ferrari,1.0,SOFT,2,110.42500000000001,10.0,0.0,1,2
