Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:21.484000,18.7,32.9,56.2,1024.6,False,96,2.2
0 days 00:01:21.488000,18.7,32.6,56.5,1024.5,False,73,1.1
0 days 00:02:21.495000,18.7,33.2,57.5,1024.6,False,58,0.7
0 days 00:03:21.490000,18.6,32.5,58.4,1024.6,False,76,0.8
0 days 00:04:21.497000,18.5,32.0,57.8,1024.6,False,77,2.3
0 days 00:05:21.480000,18.4,31.0,57.2,1024.7,False,353,1.9
0 days 00:06:21.480000,18.2,30.4,60.3,1024.7,False,56,2.7
0 days 00:07:21.485000,18.0,28.9,63.5,1024.6,True,45,3.1
0 days 00:08:21.491000,17.9,28.8,66.4,1024.6,True,64,1.2
0 days 00:09:21.495000,17.7,27.3,68.7,1024.5,True,92,1.8
0 days 00:10:21.486000,17.5,27.3,69.5,1024.7,True,48,1.7
0 days 00:11:21.497000,17.3,26.8,70.6,1024.6,True,58,2.0
0 days 00:12:21.496000,17.1,27.0,71.8,1024.7,True,43,2.9
0 days 00:13:21.504000,16.9,26.3,71.1,1024.7,True,58,2.5
0 days 00:14:21.496000,16.8,26.9,71.9,1024.7,True,95,0.8
0 days 00:15:21.503000,16.7,26.4,72.1,1024.7,True,37,2.0
0 days 00:16:21.500000,16.7,26.3,72.4,1024.7,False,17,2.4
0 days 00:17:21.517000,16.8,26.8,72.4,1024.7,False,354,0.9
0 days 00:18:21.509000,16.8,27.0,72.9,1024.7,False,56,1.1
0 days 00:19:21.505000,16.7,27.2,72.8,1024.7,True,83,1.8
0 days 00:20:21.508000,16.8,26.6,72.6,1024.8,True,57,1.2
0 days 00:21:21.497000,16.8,26.7,71.6,1024.7,True,13,2.4
0 days 00:22:21.507000,16.8,26.5,71.3,1024.8,False,47,2.4
0 days 00:23:21.542000,16.8,26.6,69.9,1024.8,True,47,2.2
0 days 00:24:21.509000,16.8,26.8,71.3,1024.8,True,45,1.5
0 days 00:25:21.494000,16.7,26.4,71.2,1024.7,True,46,1.2
0 days 00:26:21.509000,16.7,26.0,72.2,1024.8,True,33,1.7
0 days 00:27:21.508000,16.7,26.0,72.4,1024.8,True,38,3.0
0 days 00:28:21.509000,16.7,25.8,72.7,1024.8,True,40,1.9
0 days 00:29:21.508000,16.6,25.9,72.9,1024.8,True,52,1.5
0 days 00:30:21.502000,16.6,26.4,72.3,1024.8,False,29,1.3
0 days 00:31:21.506000,16.7,26.0,73.1,1024.7,False,44,1.8
0 days 00:32:21.513000,16.6,26.1,72.4,1024.7,False,46,0.9
0 days 00:33:21.518000,16.6,26.3,73.3,1024.7,False,33,1.4
0 days 00:34:21.516000,16.7,26.5,72.9,1024.8,False,0,0.0
0 days 00:35:21.505000,16.8,26.9,72.8,1024.8,False,42,0.6
0 days 00:36:21.511000,16.8,27.0,72.6,1024.7,False,76,0.8
0 days 00:37:21.515000,16.9,27.6,71.5,1024.6,False,39,0.6
0 days 00:38:21.519000,16.9,27.9,71.5,1024.7,False,13,1.5
0 days 00:39:21.516000,17.0,27.7,70.5,1024.7,False,49,1.4
0 days 00:40:21.528000,17.1,27.5,70.2,1024.7,False,23,2.9
0 days 00:41:21.531000,17.2,27.6,68.8,1024.8,False,38,1.6
0 days 00:42:21.547000,17.2,28.1,67.4,1024.6,False,47,1.5
0 days 00:43:21.566000,17.3,28.3,68.3,1024.7,False,346,0.8
0 days 00:44:21.571000,17.4,28.8,67.9,1024.7,False,25,1.2
0 days 00:45:21.566000,17.5,29.1,67.3,1024.7,False,43,2.0
0 days 00:46:21.562000,17.5,29.3,65.9,1024.8,False,49,2.2
0 days 00:47:21.582000,17.6,29.6,64.8,1024.7,False,80,1.2
0 days 00:48:21.608000,17.7,29.7,64.9,1024.7,False,15,0.9
0 days 00:49:21.613000,17.7,30.2,64.0,1024.8,False,127,0.7
0 days 00:50:21.623000,17.8,30.3,63.7,1024.8,False,0,0.0
0 days 00:51:21.648000,17.9,30.1,62.8,1024.7,False,62,2.3
0 days 00:52:21.655000,17.9,30.3,61.1,1024.7,False,70,1.6
0 days 00:53:21.654000,17.8,30.5,62.1,1024.7,False,14,1.3
0 days 00:54:21.653000,17.9,30.4,62.5,1024.7,False,83,0.9
0 days 00:55:21.656000,17.9,30.5,61.0,1024.6,False,58,0.8
0 days 00:56:21.655000,17.9,30.9,61.9,1024.7,False,40,1.7
0 days 00:57:21.692000,18.0,30.9,61.3,1024.6,False,56,1.0
0 days 00:58:21.663000,18.0,30.6,61.1,1024.6,False,92,2.0
0 days 00:59:21.666000,18.0,30.8,60.2,1024.7,False,335,0.5
0 days 01:00:21.648000,18.1,32.5,60.5,1024.6,False,130,1.1
0 days 01:01:21.647000,18.2,32.5,60.5,1024.6,False,130,1.1
0 days 01:02:21.650000,18.2,32.6,59.2,1024.6,False,67,0.9
0 days 01:03:21.648000,18.3,32.6,59.2,1024.6,False,67,0.9
0 days 01:04:21.653000,18.4,32.7,59.3,1024.6,False,95,1.5
0 days 01:05:21.667000,18.5,32.5,59.9,1024.6,False,93,0.8
0 days 01:06:21.674000,18.7,32.1,58.3,1024.6,False,5,1.3
0 days 01:07:21.664000,18.7,33.3,58.3,1024.6,False,58,1.8
0 days 01:08:21.663000,18.8,33.3,58.3,1024.6,False,58,1.8
0 days 01:09:21.664000,18.9,33.9,57.0,1024.6,False,18,1.4
0 days 01:10:21.649000,18.8,34.8,57.3,1024.6,False,13,1.8
0 days 01:11:21.732000,18.8,35.5,57.0,1024.6,False,0,0.0
0 days 01:12:21.665000,18.9,35.3,56.4,1024.7,True,338,0.6
0 days 01:13:21.670000,19.1,35.3,56.9,1024.6,False,60,1.5
0 days 01:14:21.670000,19.0,34.4,56.5,1024.6,False,90,1.4
0 days 01:15:21.664000,19.0,34.0,55.9,1024.6,False,99,1.2
0 days 01:16:21.664000,18.9,32.0,54.8,1024.5,False,45,0.5
0 days 01:17:21.657000,18.9,32.0,54.8,1024.5,False,45,0.5
0 days 01:18:21.686000,18.8,33.0,55.5,1024.5,False,74,1.0
0 days 01:19:21.665000,18.7,32.6,56.5,1024.6,False,86,1.7
0 days 01:20:21.671000,18.8,32.3,55.9,1024.5,False,69,1.0
0 days 01:21:21.678000,18.6,32.8,57.0,1024.6,False,93,0.9
0 days 01:22:21.693000,18.5,32.0,58.0,1024.6,False,103,2.4
0 days 01:23:21.715000,18.6,31.3,57.2,1024.6,False,153,1.4
0 days 01:24:21.721000,18.5,33.2,58.0,1024.6,False,108,0.6
0 days 01:25:21.717000,18.5,33.4,59.2,1024.6,False,73,1.4
0 days 01:26:21.718000,18.4,34.3,58.6,1024.6,False,130,0.8
0 days 01:27:21.731000,18.4,35.0,58.2,1024.7,True,109,0.9
0 days 01:28:21.724000,18.4,35.0,58.2,1024.7,True,109,0.9
0 days 01:29:21.727000,18.6,35.1,57.5,1024.5,False,0,0.0
0 days 01:30:21.736000,18.7,34.5,57.3,1024.6,True,155,0.3
0 days 01:31:21.744000,18.8,34.7,57.5,1024.5,False,75,1.1
0 days 01:32:21.734000,18.8,34.8,58.0,1024.6,False,225,0.4
0 days 01:33:21.751000,18.8,35.2,58.1,1024.5,False,105,2.1
0 days 01:34:21.767000,18.8,34.7,58.2,1024.6,False,60,2.0
0 days 01:35:21.767000,18.9,35.1,58.4,1024.5,True,59,1.0
0 days 01:36:21.789000,18.9,35.5,57.9,1024.5,False,102,1.3
0 days 01:37:21.768000,18.9,35.9,57.8,1024.6,False,204,0.4
0 days 01:38:21.792000,19.0,35.4,58.1,1024.6,False,24,0.6
0 days 01:39:21.803000,19.1,35.9,58.1,1024.6,False,253,0.5
0 days 01:40:21.811000,19.2,35.0,57.6,1024.6,False,92,1.7
0 days 01:41:21.802000,19.2,35.3,57.5,1024.7,False,312,0.6
0 days 01:42:21.815000,19.3,34.7,57.1,1024.6,False,214,1.3
0 days 01:43:21.819000,19.2,35.4,58.4,1024.6,False,193,2.3
0 days 01:44:21.819000,19.1,34.9,58.5,1024.6,False,306,0.6
0 days 01:45:21.818000,19.1,33.7,59.5,1024.5,False,283,0.8
