Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,7.0,0 days 00:01:17.673000,MEDIUM,12.0,Williams
ALO,4.0,0 days 00:01:17.449000,MEDIUM,4.0,Aston Martin
ANT,4.0,0 days 00:01:14.990000,MEDIUM,8.0,Mercedes
BEA,5.0,0 days 00:01:17.137000,SOFT,5.0,Haas F1 Team
BOR,5.0,0 days 00:01:16.922000,MEDIUM,11.0,Audi
BOT,5.0,0 days 00:01:17.710000,MEDIUM,5.0,Cadillac
COL,4.0,0 days 00:01:16.718000,MEDIUM,7.0,Alpine
GAS,3.0,0 days 00:01:16.895000,MEDIUM,3.0,Alpine
HAM,5.0,0 days 00:01:15.557000,MEDIUM,12.0,Ferrari
HUL,7.0,0 days 00:01:17.706000,MEDIUM,2.0,Audi
LAW,6.0,0 days 00:01:16.909000,MEDIUM,12.0,Red Bull Racing
LEC,5.0,0 days 00:01:15.049000,SOFT,9.0,Ferrari
LIN,5.0,0 days 00:01:16.886000,MEDIUM,9.0,Racing Bulls
NOR,5.0,0 days 00:01:14.881000,MEDIUM,9.0,McLaren
OCO,4.0,0 days 00:01:17.138000,MEDIUM,10.0,Haas F1 Team
PER,3.0,0 days 00:01:17.462000,MEDIUM,3.0,Cadillac
PIA,3.0,0 days 00:01:15.324000,MEDIUM,7.0,McLaren
RUS,5.0,0 days 00:01:14.936000,MEDIUM,9.0,Mercedes
SAI,5.0,0 days 00:01:17.431000,MEDIUM,12.0,Williams
STR,8.0,0 days 00:01:17.713000,MEDIUM,8.0,Aston Martin
TSU,4.0,0 days 00:01:16.925000,MEDIUM,8.0,Racing Bulls
VER,8.0,0 days 00:01:15.443000,MEDIUM,12.0,Red Bull Racing
