season,round,event_name,session_code,driver,team,lap_number,stint,compound,tyre_life,lap_time_s,sector_1_s,sector_2_s,sector_3_s,speed_i1,speed_i2,speed_fl,speed_st,track_status,fresh_tyre,is_personal_best,is_accurate,deleted,lap_start_time,position,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,wind_direction_deg
2026,12,Dutch Grand Prix,S,RUS,Mercedes,1.0,1.0,MEDIUM,5.0,,,26.476,22.836,282.0,278.0,309.0,214.0,1,False,False,False,False,2026-08-22 10:03:10.077,1.0,18.2,24.5,60.1,False,0.6,144.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,2.0,1.0,MEDIUM,6.0,75.649,26.147,26.736,22.766,279.0,279.0,308.0,294.0,1,False,True,True,False,2026-08-22 10:04:29.772,1.0,18.2,25.1,59.4,False,2.2,56.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,3.0,1.0,MEDIUM,7.0,75.279,25.811,26.811,22.657,280.0,275.0,311.0,299.0,1,False,True,True,False,2026-08-22 10:05:45.421,1.0,18.1,24.6,59.8,False,0.7,99.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,4.0,1.0,MEDIUM,8.0,75.448,25.882,26.83,22.736,285.0,277.0,315.0,301.0,1,False,False,True,False,2026-08-22 10:07:00.700,1.0,18.0,24.9,59.3,False,1.5,32.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,5.0,1.0,MEDIUM,9.0,74.936,25.565,26.739,22.632,290.0,275.0,319.0,305.0,1,False,True,True,False,2026-08-22 10:08:16.148,1.0,17.9,24.4,59.3,False,2.3,52.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,6.0,1.0,MEDIUM,10.0,75.116,25.566,26.916,22.634,281.0,278.0,320.0,306.0,1,False,False,True,False,2026-08-22 10:09:31.084,1.0,17.9,25.3,60.0,False,0.4,84.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,7.0,1.0,MEDIUM,11.0,75.658,25.805,27.071,22.782,280.0,278.0,320.0,307.0,1,False,False,True,False,2026-08-22 10:10:46.200,1.0,17.8,27.1,61.7,False,3.1,39.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,8.0,1.0,MEDIUM,12.0,75.297,25.729,26.921,22.647,282.0,276.0,321.0,305.0,1,False,False,True,False,2026-08-22 10:12:01.858,1.0,17.9,26.2,62.0,False,4.5,95.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,9.0,1.0,MEDIUM,13.0,75.653,25.697,27.202,22.754,281.0,276.0,321.0,309.0,1,False,False,True,False,2026-08-22 10:13:17.155,1.0,18.0,25.3,62.2,False,2.1,115.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,10.0,1.0,MEDIUM,14.0,75.711,25.824,27.172,22.715,283.0,275.0,319.0,311.0,1,False,False,True,False,2026-08-22 10:14:32.808,1.0,18.0,24.6,63.5,False,4.7,47.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,11.0,1.0,MEDIUM,15.0,76.099,25.807,27.356,22.936,281.0,276.0,318.0,308.0,1,False,False,True,False,2026-08-22 10:15:48.519,1.0,17.8,23.7,63.3,False,3.6,62.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,12.0,1.0,MEDIUM,16.0,76.028,25.812,27.185,23.031,281.0,277.0,316.0,311.0,1,False,False,True,False,2026-08-22 10:17:04.618,1.0,17.7,23.8,64.5,True,3.1,77.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,13.0,1.0,MEDIUM,17.0,75.877,25.905,27.208,22.764,287.0,277.0,316.0,301.0,1,False,False,True,False,2026-08-22 10:18:20.646,1.0,17.6,23.4,64.3,False,4.3,7.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,14.0,1.0,MEDIUM,18.0,75.927,25.822,27.202,22.903,288.0,277.0,318.0,299.0,1,False,False,True,False,2026-08-22 10:19:36.523,1.0,17.5,23.6,64.6,False,3.5,22.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,15.0,1.0,MEDIUM,19.0,76.324,26.084,27.311,22.929,285.0,277.0,317.0,299.0,1,False,False,True,False,2026-08-22 10:20:52.450,1.0,17.4,23.5,64.1,False,2.8,43.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,16.0,1.0,MEDIUM,20.0,76.181,25.981,27.264,22.936,282.0,279.0,320.0,305.0,1,False,False,True,False,2026-08-22 10:22:08.774,1.0,17.3,23.2,63.8,False,1.4,60.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,17.0,1.0,MEDIUM,21.0,76.373,25.863,27.528,22.982,282.0,277.0,319.0,313.0,1,False,False,True,False,2026-08-22 10:23:24.955,1.0,17.3,23.4,63.9,False,2.5,19.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,18.0,1.0,MEDIUM,22.0,76.261,25.968,27.348,22.945,283.0,278.0,320.0,308.0,1,False,False,True,False,2026-08-22 10:24:41.328,1.0,17.4,23.6,63.0,False,2.2,64.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,19.0,1.0,MEDIUM,23.0,76.032,25.774,27.412,22.846,284.0,277.0,320.0,316.0,1,False,False,True,False,2026-08-22 10:25:57.589,1.0,17.5,23.4,62.4,False,2.8,41.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,20.0,1.0,MEDIUM,24.0,76.264,25.89,27.486,22.888,280.0,277.0,320.0,313.0,1,False,False,True,False,2026-08-22 10:27:13.621,1.0,17.6,22.9,62.4,False,3.1,36.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,21.0,1.0,MEDIUM,25.0,76.258,25.885,27.487,22.886,281.0,279.0,321.0,312.0,1,False,False,True,False,2026-08-22 10:28:29.885,1.0,17.6,23.1,61.1,False,2.2,25.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,22.0,1.0,MEDIUM,26.0,76.253,25.799,27.547,22.907,284.0,276.0,321.0,313.0,1,False,False,True,False,2026-08-22 10:29:46.143,1.0,17.6,23.4,60.8,False,2.8,49.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,23.0,1.0,MEDIUM,27.0,76.443,25.97,27.558,22.915,282.0,278.0,321.0,313.0,1,False,False,True,False,2026-08-22 10:31:02.396,1.0,17.5,23.4,60.2,False,2.1,33.0
2026,12,Dutch Grand Prix,S,RUS,Mercedes,24.0,1.0,MEDIUM,28.0,76.842,25.966,27.764,23.112,294.0,286.0,308.0,310.0,1,False,False,True,False,2026-08-22 10:32:18.839,1.0,17.5,23.6,61.0,False,2.6,65.0
2026,12,Dutch Grand Prix,S,LEC,Ferrari,1.0,1.0,SOFT,5.0,,,27.486,22.753,298.0,292.0,331.0,219.0,1,False,False,False,False,2026-08-22 10:03:10.077,3.0,18.2,24.5,60.1,False,0.6,144.0
2026,12,Dutch Grand Prix,S,LEC,Ferrari,2.0,1.0,SOFT,6.0,75.845,26.36,26.929,22.556,276.0,278.0,326.0,288.0,1,False,True,True,False,2026-08-22 10:04:31.494,3.0,18.2,25.1,59.4,False,2.2,56.0
2026,12,Dutch Grand Prix,S,LEC,Ferrari,3.0,1.0,SOFT,7.0,75.297,25.898,26.786,22.613,282.0,278.0,326.0,293.0,1,False,True,True,False,2026-08-22 10:05:47.339,3.0,18.1,24.6,59.8,False,0.7,99.0
2026,12,Dutch Grand Prix,S,LEC,Ferrari,4.0,1.0,SOFT,8.0,75.119,25.82,26.712,22.587,287.0,282.0,328.0,301.0,1,False,True,True,False,2026-08-22 10:07:02.636,3.0,18.0,24.9,59.3,False,1.5,32.0
2026,12,Dutch Grand Prix,S,LEC,Ferrari,5.0,1.0,SOFT,9.0,75.049,25.766,26.772,22.511,289.0,280.0,329.0,306.0,1,False,True,True,False,2026-08-22 10:08:17.755,3.0,17.9,24.4,59.3,False,2.3,52.0
