Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:53.884000,18.2,24.5,60.1,1018.7,False,144,0.6
0 days 00:01:53.887000,18.2,25.1,59.4,1018.6,False,56,2.2
0 days 00:02:53.921000,18.2,24.4,60.3,1018.5,False,16,4.0
0 days 00:03:53.905000,18.1,24.6,59.8,1018.7,False,99,0.7
0 days 00:04:53.917000,18.0,24.9,59.3,1018.7,False,32,1.5
0 days 00:05:53.915000,17.9,24.4,59.3,1018.7,False,52,2.3
0 days 00:06:53.938000,17.9,25.3,60.0,1018.7,False,84,0.4
0 days 00:07:53.936000,17.9,26.4,61.1,1018.7,False,82,1.3
0 days 00:08:53.931000,17.8,27.1,61.7,1018.7,False,39,3.1
0 days 00:09:53.931000,17.9,26.2,62.0,1018.8,False,95,4.5
0 days 00:10:53.945000,18.0,25.3,62.2,1018.5,False,115,2.1
0 days 00:11:53.976000,18.0,24.6,63.5,1018.8,False,47,4.7
0 days 00:12:53.986000,18.0,24.2,63.6,1018.8,False,34,3.4
0 days 00:13:53.982000,17.8,23.7,63.3,1018.9,False,62,3.6
0 days 00:14:53.991000,17.7,23.8,64.5,1018.7,True,77,3.1
0 days 00:15:53.976000,17.6,23.4,64.3,1018.8,False,7,4.3
0 days 00:16:53.992000,17.5,23.6,64.6,1018.9,False,22,3.5
0 days 00:17:53.991000,17.5,23.2,64.6,1018.8,True,31,2.2
0 days 00:18:53.993000,17.4,23.5,64.1,1018.9,False,43,2.8
0 days 00:19:53.994000,17.3,23.2,63.8,1018.8,False,60,1.4
0 days 00:20:54.002000,17.3,23.4,63.9,1018.9,False,19,2.5
0 days 00:21:53.986000,17.4,23.5,64.0,1018.9,False,44,2.2
0 days 00:22:54.005000,17.4,23.6,63.0,1019.0,False,64,2.2
0 days 00:23:53.995000,17.5,23.4,62.4,1018.8,False,41,2.8
0 days 00:24:53.991000,17.6,22.9,62.4,1018.9,False,36,3.1
0 days 00:25:54.012000,17.6,23.1,61.1,1018.9,False,25,2.2
0 days 00:26:54.032000,17.6,23.0,60.9,1018.9,False,35,2.5
0 days 00:27:54.023000,17.6,23.4,60.8,1019.0,False,49,2.8
0 days 00:28:54.026000,17.5,23.4,60.2,1019.0,False,33,2.1
0 days 00:29:54.033000,17.5,23.6,61.0,1019.0,False,65,2.6
0 days 00:30:54.029000,17.6,23.9,61.9,1018.9,False,54,2.1
0 days 00:31:54.039000,17.6,24.3,62.7,1019.0,False,43,3.2
0 days 00:32:54.040000,17.7,24.1,63.8,1018.9,False,62,2.2
0 days 00:33:54.056000,17.7,23.9,64.8,1019.0,False,18,1.3
0 days 00:34:54.038000,17.7,24.2,63.9,1019.0,False,37,2.1
0 days 00:35:54.050000,17.7,24.6,62.9,1018.9,False,43,1.8
0 days 00:36:54.058000,17.6,25.3,63.5,1019.0,False,38,4.1
0 days 00:37:54.067000,17.7,25.0,63.1,1019.0,False,28,3.6
0 days 00:38:54.082000,17.8,24.8,62.5,1019.0,False,52,2.7
0 days 00:39:54.089000,17.8,24.3,60.2,1019.1,True,2,3.1
0 days 00:40:54.088000,17.8,24.6,59.4,1019.1,False,44,3.1
0 days 00:41:54.083000,17.8,24.8,59.9,1019.0,False,35,2.9
0 days 00:42:54.099000,17.8,25.2,62.1,1019.1,False,79,3.0
0 days 00:43:54.090000,17.9,26.8,61.9,1019.2,False,46,2.1
0 days 00:44:54.094000,18.0,26.3,61.4,1019.1,False,32,2.2
0 days 00:45:54.112000,18.0,26.3,61.7,1019.1,False,45,2.5
0 days 00:46:54.116000,18.2,26.0,62.7,1019.1,False,26,1.3
0 days 00:47:54.116000,18.1,25.5,62.8,1019.1,False,32,0.5
0 days 00:48:54.120000,18.1,26.4,62.0,1019.0,False,44,3.4
0 days 00:49:54.118000,18.2,26.1,62.1,1018.9,False,42,3.8
0 days 00:50:54.133000,18.2,27.0,61.7,1019.1,False,24,2.2
0 days 00:51:54.135000,18.1,27.8,61.4,1019.2,False,44,3.9
0 days 00:52:54.135000,18.1,28.3,61.5,1019.1,False,46,2.4
0 days 00:53:54.157000,18.2,27.3,62.2,1019.1,False,40,1.9
0 days 00:54:54.177000,18.2,26.9,61.8,1019.2,False,51,3.0
0 days 00:55:54.170000,18.2,26.6,61.3,1019.1,False,68,2.8
0 days 00:56:54.175000,18.2,25.3,62.8,1019.1,False,14,2.8
0 days 00:57:54.179000,18.0,25.1,64.1,1019.2,False,71,2.8
0 days 00:58:54.174000,17.9,24.2,64.3,1019.3,False,61,4.2
0 days 00:59:54.187000,17.7,25.5,63.5,1019.2,False,28,2.5
0 days 01:00:54.180000,17.7,26.7,64.2,1019.2,False,57,2.1
0 days 01:01:54.166000,17.7,25.4,62.9,1019.0,False,25,1.6
0 days 01:02:54.173000,17.8,26.2,63.1,1019.3,False,32,2.5
0 days 01:03:54.188000,17.8,26.8,63.5,1019.3,False,31,2.9
0 days 01:04:54.173000,17.8,27.4,62.3,1019.3,False,37,2.9
0 days 01:05:54.173000,17.9,28.4,62.3,1019.3,False,32,2.2
0 days 01:06:54.175000,18.0,30.0,63.0,1019.3,False,78,3.0
0 days 01:07:54.190000,18.2,29.7,63.9,1019.4,False,71,1.9
0 days 01:08:54.198000,18.4,29.0,63.1,1019.2,False,55,4.6
0 days 01:09:54.190000,18.4,29.1,62.9,1019.2,False,60,2.8
0 days 01:10:54.212000,18.2,28.7,63.3,1019.3,False,43,2.7
0 days 01:11:54.226000,18.2,27.7,64.9,1019.3,False,50,2.7
0 days 01:12:54.233000,18.1,27.4,65.0,1019.3,False,45,3.1
0 days 01:13:54.243000,18.0,26.6,65.7,1019.4,False,30,1.7
0 days 01:14:54.271000,17.9,27.1,65.4,1019.4,False,32,3.2
0 days 01:15:54.284000,17.7,26.4,66.8,1019.3,False,38,3.7
0 days 01:16:54.288000,17.7,25.0,66.2,1019.3,True,34,3.8
