Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,9.0,0 days 00:01:14.294000,MEDIUM,9.0,Williams
ALO,4.0,0 days 00:01:16.014000,MEDIUM,4.0,Aston Martin
ANT,14.0,0 days 00:01:11.794000,SOFT,3.0,Mercedes
BEA,5.0,0 days 00:01:14.728000,MEDIUM,5.0,Haas F1 Team
BOR,11.0,0 days 00:01:12.583000,SOFT,2.0,Audi
BOT,6.0,0 days 00:01:15.472000,MEDIUM,6.0,Cadillac
COL,8.0,0 days 00:01:13.439000,MEDIUM,2.0,Alpine
GAS,11.0,0 days 00:01:12.578000,SOFT,2.0,Alpine
HAM,14.0,0 days 00:01:12.191000,SOFT,3.0,Ferrari
HUL,12.0,0 days 00:01:13.616000,MEDIUM,2.0,Audi
LAW,12.0,0 days 00:01:13.136000,MEDIUM,5.0,Red Bull Racing
LEC,15.0,0 days 00:01:11.622000,SOFT,3.0,Ferrari
LIN,14.0,0 days 00:01:12.737000,SOFT,3.0,Racing Bulls
NOR,14.0,0 days 00:01:11.608000,SOFT,3.0,McLaren
OCO,8.0,0 days 00:01:13.893000,MEDIUM,2.0,Haas F1 Team
PER,6.0,0 days 00:01:15.545000,MEDIUM,6.0,Cadillac
PIA,14.0,0 days 00:01:11.666000,SOFT,3.0,McLaren
RUS,16.0,0 days 00:01:11.567000,SOFT,3.0,Mercedes
SAI,6.0,0 days 00:01:14.738000,MEDIUM,6.0,Williams
STR,2.0,0 days 00:01:15.391000,MEDIUM,2.0,Aston Martin
TSU,10.0,0 days 00:01:13.145000,MEDIUM,3.0,Racing Bulls
VER,14.0,0 days 00:01:12.094000,SOFT,3.0,Red Bull Racing
