Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:30.151000,19.7,33.0,55.5,1011.1,False,38,3.4
0 days 00:01:30.134000,19.7,32.0,55.5,1011.1,False,36,1.4
0 days 00:02:30.128000,19.6,31.9,56.3,1011.0,False,40,2.6
0 days 00:03:30.134000,19.5,32.7,56.6,1011.1,False,53,3.1
0 days 00:04:30.150000,19.4,33.1,57.0,1011.0,False,25,1.4
0 days 00:05:30.151000,19.5,33.9,57.5,1011.2,True,29,2.5
0 days 00:06:30.165000,19.5,34.1,57.3,1011.1,False,32,2.3
0 days 00:07:30.162000,19.6,33.6,57.1,1011.1,False,35,2.2
0 days 00:08:30.172000,19.5,32.8,56.6,1011.2,False,51,2.8
0 days 00:09:30.193000,19.5,32.8,56.6,1011.2,False,48,3.2
0 days 00:10:30.182000,19.4,33.6,55.7,1011.2,False,27,2.0
0 days 00:11:30.193000,19.4,34.3,55.4,1011.2,True,54,2.3
0 days 00:12:30.213000,19.5,34.3,55.1,1011.2,False,38,3.1
0 days 00:13:30.224000,19.4,34.0,54.3,1011.2,False,25,2.1
0 days 00:14:30.226000,19.5,35.0,55.1,1011.2,False,85,1.2
0 days 00:15:30.225000,19.6,35.1,54.5,1011.1,False,38,2.2
0 days 00:16:30.239000,19.7,35.6,55.4,1011.1,False,32,1.4
0 days 00:17:30.240000,19.8,35.9,55.2,1011.2,False,69,2.0
0 days 00:18:30.254000,19.9,35.9,54.0,1011.2,False,58,2.1
0 days 00:19:30.264000,19.9,35.7,54.5,1011.1,False,51,2.8
0 days 00:20:30.266000,19.8,35.8,55.0,1011.2,False,49,1.8
0 days 00:21:30.279000,19.7,35.8,53.8,1011.2,False,82,2.6
0 days 00:22:30.281000,19.9,36.5,53.7,1011.3,True,29,1.6
0 days 00:23:30.280000,20.0,35.5,53.8,1011.2,False,51,2.6
0 days 00:24:30.299000,20.0,35.3,53.7,1011.3,False,6,0.9
0 days 00:25:30.296000,20.0,35.8,53.7,1011.2,False,54,2.2
0 days 00:26:30.321000,19.9,35.5,54.5,1011.2,False,7,1.4
0 days 00:27:30.316000,19.9,35.9,54.8,1011.3,False,42,0.8
0 days 00:28:30.313000,19.9,35.2,54.5,1011.3,False,28,2.5
0 days 00:29:30.313000,19.9,34.2,55.4,1011.3,False,33,1.9
0 days 00:30:30.318000,19.9,34.3,56.8,1011.3,False,36,3.3
0 days 00:31:30.323000,19.7,33.5,56.7,1011.3,False,24,1.7
0 days 00:32:30.320000,19.7,32.8,55.7,1011.3,False,31,3.2
0 days 00:33:30.322000,19.6,32.5,56.5,1011.3,False,32,2.4
0 days 00:34:30.319000,19.5,32.4,56.9,1011.4,False,32,1.9
0 days 00:35:30.321000,19.4,32.6,57.3,1011.4,False,32,3.4
0 days 00:36:30.323000,19.3,32.8,57.2,1011.3,False,35,3.7
0 days 00:37:30.324000,19.3,33.0,56.2,1011.4,False,29,3.4
0 days 00:38:30.318000,19.3,32.6,56.6,1011.3,False,24,2.7
0 days 00:39:30.340000,19.3,32.4,56.7,1011.3,False,64,3.2
0 days 00:40:30.336000,19.3,32.3,56.6,1011.3,False,46,2.6
0 days 00:41:30.365000,19.3,32.1,57.3,1011.3,False,46,4.7
0 days 00:42:30.371000,19.3,31.4,56.0,1011.4,False,55,2.3
0 days 00:43:30.366000,19.2,31.6,55.7,1011.3,False,35,1.9
0 days 00:44:30.372000,19.2,31.6,56.3,1011.3,False,82,1.1
0 days 00:45:30.377000,19.1,31.1,57.6,1011.3,False,27,1.6
0 days 00:46:30.361000,19.1,31.1,57.5,1011.3,False,41,3.1
0 days 00:47:30.364000,19.1,30.8,58.0,1011.3,False,40,3.0
0 days 00:48:30.373000,19.1,31.2,57.7,1011.3,False,43,2.6
0 days 00:49:30.373000,19.1,31.1,59.1,1011.4,False,40,1.6
0 days 00:50:30.373000,19.0,31.3,58.9,1011.4,False,21,1.7
0 days 00:51:30.377000,19.0,31.4,59.2,1011.4,False,42,3.0
0 days 00:52:30.369000,19.1,31.5,59.7,1011.3,False,32,1.2
0 days 00:53:30.392000,19.1,30.6,59.3,1011.4,False,44,3.7
0 days 00:54:30.410000,19.0,30.6,59.0,1011.3,False,64,2.0
0 days 00:55:30.432000,19.0,30.3,59.2,1011.4,False,40,2.5
0 days 00:56:30.447000,19.0,30.5,58.8,1011.3,False,43,2.8
0 days 00:57:30.571000,19.0,30.4,58.7,1011.3,False,48,3.5
0 days 00:58:30.464000,19.0,30.2,57.6,1011.4,False,41,2.9
0 days 00:59:30.460000,18.9,30.0,57.5,1011.3,False,27,3.4
0 days 01:00:30.459000,18.9,30.3,59.1,1011.3,False,46,2.5
0 days 01:01:30.466000,18.9,30.1,59.6,1011.4,False,31,2.2
