Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALO,19.0,0 days 00:01:26.072000,MEDIUM,7.0,Aston Martin
ANT,9.0,0 days 00:01:23.644000,SOFT,3.0,Mercedes
ARO,21.0,0 days 00:01:24.177000,SOFT,9.0,Alpine
BEA,18.0,0 days 00:01:24.646000,SOFT,6.0,Haas F1 Team
BOR,13.0,0 days 00:01:24.006000,SOFT,2.0,Audi
BOT,16.0,0 days 00:01:25.984000,MEDIUM,6.0,Cadillac
BRO,19.0,0 days 00:01:24.740000,SOFT,6.0,Williams
COL,8.0,0 days 00:01:24.028000,MEDIUM,8.0,Alpine
HAM,18.0,0 days 00:01:23.181000,MEDIUM,9.0,Ferrari
HER,4.0,0 days 00:01:29.922000,HARD,4.0,Cadillac
HUL,16.0,0 days 00:01:24.626000,SOFT,6.0,Audi
IWA,17.0,0 days 00:01:24.873000,SOFT,2.0,Red Bull Racing
LAW,19.0,0 days 00:01:23.433000,SOFT,11.0,Red Bull Racing
LEC,12.0,0 days 00:01:23.008000,MEDIUM,2.0,Ferrari
LIN,12.0,0 days 00:01:23.802000,MEDIUM,2.0,Racing Bulls
NOR,8.0,0 days 00:01:23.719000,MEDIUM,8.0,McLaren
OCO,11.0,0 days 00:01:25.852000,HARD,11.0,Haas F1 Team
PIA,15.0,0 days 00:01:24.184000,SOFT,6.0,McLaren
RUS,10.0,0 days 00:01:23.312000,SOFT,2.0,Mercedes
SAI,16.0,0 days 00:01:24.827000,MEDIUM,6.0,Williams
STR,15.0,0 days 00:01:26.066000,MEDIUM,6.0,Aston Martin
TSU,11.0,0 days 00:01:24.571000,MEDIUM,2.0,Racing Bulls
