Time,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindDirection,WindSpeed
0 days 00:00:10.859000,30.2,48.7,41.8,998.5,False,183,1.0
0 days 00:01:10.870000,30.4,48.0,41.7,998.4,False,140,1.2
0 days 00:02:10.860000,30.4,47.1,41.3,998.3,False,302,0.8
0 days 00:03:10.860000,30.3,49.0,41.8,998.4,False,172,0.9
0 days 00:04:10.860000,30.4,49.3,41.7,998.3,False,190,0.5
0 days 00:05:10.854000,30.5,48.3,41.2,998.4,False,216,1.3
0 days 00:06:10.866000,30.5,49.5,41.6,998.4,False,181,1.2
0 days 00:07:10.859000,30.5,49.1,41.4,998.3,False,134,0.9
0 days 00:08:10.856000,30.6,49.6,41.2,998.3,False,186,0.6
0 days 00:09:10.871000,30.5,49.5,41.2,998.4,False,120,0.9
0 days 00:10:10.870000,30.4,49.5,40.5,998.5,False,172,1.1
0 days 00:11:10.871000,30.4,49.9,39.9,998.4,False,130,0.7
0 days 00:12:10.910000,30.3,50.3,39.5,998.4,False,185,0.9
0 days 00:13:10.914000,30.4,49.6,39.1,998.3,False,129,0.8
0 days 00:14:10.920000,30.4,50.2,39.6,998.3,False,152,0.6
0 days 00:15:10.923000,30.4,49.5,39.1,998.3,False,149,1.0
0 days 00:16:10.939000,30.4,50.4,39.4,998.3,False,0,0.0
0 days 00:17:10.953000,30.4,50.2,40.0,998.3,False,152,1.9
0 days 00:18:10.978000,30.5,50.3,39.5,998.3,False,190,1.5
0 days 00:19:10.975000,30.5,50.3,39.5,998.3,False,171,0.6
0 days 00:20:10.990000,30.6,50.4,39.4,998.2,False,188,1.2
0 days 00:21:10.976000,30.6,50.7,38.9,998.2,False,194,2.2
0 days 00:22:11.004000,30.6,50.5,38.8,998.2,False,171,1.8
0 days 00:23:11.014000,30.6,50.6,38.8,998.2,False,193,2.3
0 days 00:24:11.010000,30.7,50.3,38.9,998.3,False,191,1.4
0 days 00:25:11.015000,30.7,50.1,39.4,998.1,False,173,1.3
0 days 00:26:11.001000,30.7,50.3,39.6,998.2,False,206,2.0
0 days 00:27:10.998000,30.7,50.1,39.6,998.1,False,171,1.5
0 days 00:28:11.005000,30.7,50.4,40.0,998.2,False,120,0.5
0 days 00:29:11.009000,30.8,50.5,39.8,998.1,False,149,0.6
0 days 00:30:11.003000,30.9,50.8,39.3,998.2,False,165,1.9
0 days 00:31:11.012000,30.9,51.0,37.6,998.1,False,175,0.6
0 days 00:32:11.011000,30.9,51.3,37.0,998.2,False,185,1.1
0 days 00:33:11.010000,30.9,51.4,38.4,998.1,False,189,1.0
0 days 00:34:11.009000,30.9,51.7,39.2,998.1,False,158,0.9
0 days 00:35:11.025000,30.9,50.8,39.0,998.1,False,0,0.0
0 days 00:36:11.040000,31.0,52.1,39.4,998.1,False,178,0.6
0 days 00:37:11.054000,31.0,52.0,38.5,998.0,False,167,0.7
0 days 00:38:11.062000,31.0,51.8,38.0,998.1,False,179,1.0
0 days 00:39:11.058000,30.9,51.5,37.5,998.1,False,209,0.6
0 days 00:40:11.066000,30.8,51.5,38.5,998.0,False,213,0.6
0 days 00:41:11.068000,30.7,52.3,38.7,998.1,False,134,0.8
0 days 00:42:11.079000,30.8,51.6,38.3,998.1,False,197,2.1
0 days 00:43:11.092000,30.9,51.7,37.5,998.0,False,200,2.0
0 days 00:44:11.109000,31.1,51.9,36.7,998.1,False,198,3.0
0 days 00:45:11.131000,31.2,51.9,36.3,998.1,False,190,1.6
0 days 00:46:11.135000,31.2,51.5,36.1,998.0,False,205,2.0
0 days 00:47:11.121000,31.4,52.0,35.5,998.1,False,203,1.4
0 days 00:48:11.139000,31.4,52.3,35.3,997.9,False,187,1.1
0 days 00:49:11.134000,31.4,52.0,35.6,998.0,False,211,1.3
0 days 00:50:11.134000,31.3,52.1,35.7,997.9,False,184,1.0
0 days 00:51:11.153000,31.3,52.0,36.3,997.9,False,196,1.5
0 days 00:52:11.154000,31.2,51.8,37.1,998.0,False,216,2.0
0 days 00:53:11.159000,31.5,52.3,37.6,998.0,False,206,0.6
0 days 00:54:11.153000,31.6,51.7,37.6,997.9,False,348,1.6
0 days 00:55:11.156000,31.5,52.3,36.7,998.0,False,3,1.0
0 days 00:56:11.161000,31.3,51.6,37.3,998.0,False,342,1.6
0 days 00:57:11.157000,31.1,52.3,37.4,998.0,False,6,1.4
0 days 00:58:11.153000,31.1,52.5,37.8,997.9,False,0,0.0
0 days 00:59:11.218000,31.1,52.1,37.6,997.9,False,240,1.1
0 days 01:00:11.228000,31.3,52.5,37.7,997.9,False,214,0.6
0 days 01:01:11.218000,31.5,52.8,37.3,997.9,False,89,0.7
0 days 01:02:11.225000,31.6,52.7,36.9,997.9,False,134,1.1
0 days 01:03:11.273000,31.5,53.1,37.0,997.9,False,158,0.7
0 days 01:04:11.255000,31.5,52.6,37.9,997.9,False,202,2.7
0 days 01:05:11.258000,31.5,52.6,37.4,997.9,False,186,2.0
0 days 01:06:11.252000,31.5,52.0,37.1,997.9,False,256,1.3
0 days 01:07:11.258000,31.6,53.4,37.7,997.9,False,164,0.6
0 days 01:08:11.258000,31.8,53.2,36.9,997.8,False,155,0.8
0 days 01:09:11.258000,31.8,53.1,35.6,997.8,False,171,0.8
0 days 01:10:11.253000,31.9,53.1,36.4,997.7,False,174,1.0
0 days 01:11:11.271000,31.7,53.5,36.9,997.8,False,197,1.8
0 days 01:12:11.293000,31.8,53.3,36.2,997.7,False,57,0.3
0 days 01:13:11.292000,31.8,53.7,35.6,997.8,False,154,2.3
0 days 01:14:11.293000,31.7,53.5,36.1,997.8,False,193,0.4
0 days 01:15:11.289000,31.6,53.8,36.5,997.8,False,187,1.4
0 days 01:16:11.301000,31.7,53.7,36.3,997.8,False,231,0.5
0 days 01:17:11.312000,31.8,52.5,36.2,997.8,False,288,1.2
0 days 01:18:11.299000,31.8,53.1,35.5,997.9,False,271,1.2
0 days 01:19:11.286000,31.8,53.1,36.8,997.8,False,269,1.0
