season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026,13,Italian Grand Prix,FP2,ALB,Williams,1.0,MEDIUM,10,106.54190000000001,-1.1111111111111112,-0.006060606060606061,2,11
2026,13,Italian Grand Prix,FP2,ALB,Williams,2.0,SOFT,2,100.5095,10.0,0.0,2,3
2026,13,Italian Grand Prix,FP2,ALB,Williams,3.0,MEDIUM,11,88.14209090909091,0.4244,-0.18181818181818182,13,23
2026,13,Italian Grand Prix,FP2,ALB,Williams,4.0,SOFT,4,112.30425000000001,0.43933333333333263,0.7999999999999999,4,8
2026,13,Italian Grand Prix,FP2,ALO,Aston Martin,1.0,SOFT,6,100.84033333333332,2.0,-0.08571428571428573,2,7
2026,13,Italian Grand Prix,FP2,ALO,Aston Martin,2.0,SOFT,5,106.84380000000002,4.438500000000001,-0.09999999999999999,2,6
2026,13,Italian Grand Prix,FP2,ALO,Aston Martin,3.0,SOFT,4,104.78324999999998,-3.3333333333333335,0.0,8,11
2026,13,Italian Grand Prix,FP2,ANT,Mercedes,1.0,HARD,3,104.79133333333334,0.0,0.5,2,4
2026,13,Italian Grand Prix,FP2,ANT,Mercedes,2.0,SOFT,1,91.894,0.0,0.0,2,2
2026,13,Italian Grand Prix,FP2,ANT,Mercedes,3.0,SOFT,2,90.0025,10.0,0.0,4,5
2026,13,Italian Grand Prix,FP2,ANT,Mercedes,4.0,HARD,18,86.39616666666667,0.2389411764705881,0.281733746130031,6,23
2026,13,Italian Grand Prix,FP2,ANT,Mercedes,5.0,SOFT,3,134.43833333333333,6.208999999999996,1.0,6,9
2026,13,Italian Grand Prix,FP2,BEA,Haas F1 Team,1.0,MEDIUM,1,85.238,0.0,0.0,2,2
2026,13,Italian Grand Prix,FP2,BEA,Haas F1 Team,2.0,MEDIUM,1,84.961,0.0,0.0,5,5
2026,13,Italian Grand Prix,FP2,BEA,Haas F1 Team,3.0,MEDIUM,3,108.996,0.0,0.5,8,10
2026,13,Italian Grand Prix,FP2,BEA,Haas F1 Team,4.0,SOFT,2,111.7495,10.0,0.0,2,3
2026,13,Italian Grand Prix,FP2,BEA,Haas F1 Team,5.0,SOFT,3,103.89133333333332,0.0,-0.5,5,7
2026,13,Italian Grand Prix,FP2,BEA,Haas F1 Team,6.0,MEDIUM,10,95.49940000000001,1.8492222222222239,0.32121212121212117,12,22
2026,13,Italian Grand Prix,FP2,BOR,Audi,1.0,HARD,4,113.75999999999999,3.3333333333333335,0.0,2,5
2026,13,Italian Grand Prix,FP2,BOR,Audi,2.0,HARD,3,120.026,0.0,-0.5,6,8
2026,13,Italian Grand Prix,FP2,BOR,Audi,3.0,HARD,3,104.77433333333333,0.0,-0.5,9,11
2026,13,Italian Grand Prix,FP2,BOR,Audi,4.0,SOFT,3,116.06366666666668,0.0,0.5,2,4
2026,13,Italian Grand Prix,FP2,BOR,Audi,5.0,SOFT,2,113.182,-10.0,0.0,5,6
2026,13,Italian Grand Prix,FP2,BOR,Audi,6.0,HARD,4,92.15575,3.5636666666666676,0.7999999999999999,13,16
