season,round,event_name,session_code,driver,team,lap_number,stint,compound,tyre_life,lap_time_s,sector_1_s,sector_2_s,sector_3_s,speed_i1,speed_i2,speed_fl,speed_st,track_status,fresh_tyre,is_personal_best,is_accurate,deleted,lap_start_time,position,air_temp_c,track_temp_c,humidity_pct,rainfall,wind_speed_mps,wind_direction_deg
2026,13,Italian Grand Prix,FP3,NOR,McLaren,1.0,1.0,MEDIUM,1.0,,,49.832,32.03,248.0,233.0,288.0,191.0,12,True,False,False,False,2026-09-05 10:51:17.674,,31.0,50.3,41.7,False,1.3,253.0
2026,13,Italian Grand Prix,FP3,NOR,McLaren,2.0,1.0,MEDIUM,2.0,83.652,27.544,27.956,28.152,295.0,312.0,282.0,321.0,1,True,True,True,False,2026-09-05 10:53:38.099,,31.0,51.5,40.0,False,1.3,29.0
2026,13,Italian Grand Prix,FP3,NOR,McLaren,3.0,1.0,MEDIUM,3.0,125.651,41.517,40.707,43.427,229.0,208.0,,114.0,1,True,False,False,False,2026-09-05 10:55:01.751,,31.2,51.9,41.0,False,1.3,188.0
2026,13,Italian Grand Prix,FP3,NOR,McLaren,4.0,2.0,MEDIUM,4.0,130.611,62.899,37.385,30.327,276.0,278.0,287.0,168.0,1,False,False,False,False,2026-09-05 10:57:07.402,,31.0,51.3,41.1,False,2.9,201.0
2026,13,Italian Grand Prix,FP3,NOR,McLaren,5.0,2.0,MEDIUM,5.0,101.571,28.224,40.944,32.403,250.0,139.0,287.0,320.0,1,False,False,True,False,2026-09-05 10:59:18.013,,31.4,50.8,39.9,False,1.2,218.0
2026,13,Italian Grand Prix,FP3,NOR,McLaren,6.0,2.0,MEDIUM,6.0,83.959,27.583,28.082,28.294,290.0,310.0,280.0,320.0,1,False,False,True,False,2026-09-05 11:00:59.584,,31.4,51.7,40.1,False,1.6,187.0
2026,13,Italian Grand Prix,FP3,NOR,McLaren,7.0,2.0,MEDIUM,7.0,121.519,42.357,45.88,33.282,188.0,197.0,287.0,143.0,12,False,False,True,False,2026-09-05 11:02:23.543,,31.4,51.0,40.1,False,2.6,217.0
2026,13,Italian Grand Prix,FP3,NOR,McLaren,8.0,2.0,MEDIUM,8.0,83.431,27.452,27.872,28.107,292.0,314.0,280.0,321.0,1,False,True,True,False,2026-09-05 11:04:25.062,,31.3,51.5,40.1,False,2.0,205.0
2026,13,Italian Grand Prix,FP3,NOR,McLaren,9.0,2.0,MEDIUM,9.0,110.86,33.516,37.474,39.87,239.0,259.0,,231.0,1,False,False,False,False,2026-09-05 11:05:48.493,,31.4,52.0,40.7,False,0.7,184.0
2026,13,Italian Grand Prix,FP3,NOR,McLaren,10.0,3.0,SOFT,1.0,,,31.371,33.794,263.0,245.0,294.0,191.0,1,True,False,False,False,2026-09-05 11:07:39.353,,31.5,50.0,40.8,False,2.7,244.0
2026,13,Italian Grand Prix,FP3,NOR,McLaren,11.0,3.0,SOFT,2.0,82.774,27.164,27.808,27.802,302.0,315.0,283.0,329.0,12,True,True,True,False,2026-09-05 11:20:15.817,,31.7,52.3,39.8,False,2.0,210.0
