Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,52.0,0 days 00:01:25.341000,SOFT,6.0,Williams
ALO,8.0,0 days 00:01:27.961000,SOFT,5.0,Aston Martin
ANT,53.0,0 days 00:01:23.504000,MEDIUM,25.0,Mercedes
BEA,31.0,0 days 00:01:26.356000,HARD,28.0,Haas F1 Team
BOR,31.0,0 days 00:01:26.188000,MEDIUM,28.0,Audi
BOT,51.0,0 days 00:01:27.325000,SOFT,24.0,Cadillac
COL,53.0,0 days 00:01:24.933000,HARD,50.0,Alpine
GAS,53.0,0 days 00:01:24.927000,HARD,50.0,Alpine
HAM,23.0,0 days 00:01:25.300000,MEDIUM,20.0,Ferrari
HUL,53.0,0 days 00:01:24.364000,MEDIUM,29.0,Audi
LAW,53.0,0 days 00:01:25.578000,MEDIUM,44.0,Red Bull Racing
LIN,47.0,0 days 00:01:26.028000,HARD,44.0,Racing Bulls
NOR,48.0,0 days 00:01:24.864000,HARD,45.0,McLaren
OCO,52.0,0 days 00:01:25.711000,MEDIUM,25.0,Haas F1 Team
PER,51.0,0 days 00:01:26.914000,MEDIUM,24.0,Cadillac
PIA,45.0,0 days 00:01:25.125000,HARD,42.0,McLaren
RUS,51.0,0 days 00:01:24.390000,HARD,48.0,Mercedes
SAI,46.0,0 days 00:01:25.683000,MEDIUM,19.0,Williams
STR,11.0,0 days 00:01:28.415000,HARD,8.0,Aston Martin
TSU,42.0,0 days 00:01:26.320000,MEDIUM,39.0,Racing Bulls
VER,37.0,0 days 00:01:24.242000,HARD,9.0,Red Bull Racing
