date,session_key,meeting_key,driver_number,stop_duration,lane_duration,lap_number,pit_duration
2026-03-06T05:00:02.044000+00:00,11228,1279,27,,,1,
2026-03-06T05:00:05.531000+00:00,11228,1279,44,,,1,
2026-03-06T05:00:12.151000+00:00,11228,1279,1,,,1,
2026-03-06T05:00:12.265000+00:00,11228,1279,10,,,1,
2026-03-06T05:00:19.471000+00:00,11228,1279,43,,,1,
2026-03-06T05:00:46.615000+00:00,11228,1279,31,,,1,
2026-03-06T05:00:54.996000+00:00,11228,1279,87,,,1,
2026-03-06T05:01:02.443000+00:00,11228,1279,23,,,1,
2026-03-06T05:01:11.930000+00:00,11228,1279,12,,,1,
2026-03-06T05:01:12.634000+00:00,11228,1279,5,,,1,
2026-03-06T05:01:19.683000+00:00,11228,1279,41,,,1,
2026-03-06T05:01:24.399000+00:00,11228,1279,81,,,1,
2026-03-06T05:01:27.256000+00:00,11228,1279,16,,,1,
2026-03-06T05:01:49.364000+00:00,11228,1279,6,,,1,
2026-03-06T05:02:16.309000+00:00,11228,1279,30,,,1,
2026-03-06T05:02:22.948000+00:00,11228,1279,63,,,1,
2026-03-06T05:02:28.156000+00:00,11228,1279,55,,,1,
2026-03-06T05:03:29.372000+00:00,11228,1279,18,,,1,
2026-03-06T05:06:18.862000+00:00,11228,1279,77,,,1,
2026-03-06T05:07:46.351000+00:00,11228,1279,55,,26.3,4,26.3
2026-03-06T05:08:14.372000+00:00,11228,1279,41,,15.2,5,15.2
2026-03-06T05:10:37.746000+00:00,11228,1279,41,,13.7,6,13.7
2026-03-06T05:10:45.551000+00:00,11228,1279,5,,27.5,6,27.5
2026-03-06T05:12:56.282000+00:00,11228,1279,41,,13.6,7,13.6
2026-03-06T05:14:15.883000+00:00,11228,1279,14,,,1,
2026-03-06T05:14:40.165000+00:00,11228,1279,1,,429.7,5,429.7
2026-03-06T05:15:21.144000+00:00,11228,1279,63,,292.5,6,292.5
2026-03-06T05:16:56.418000+00:00,11228,1279,12,,249.6,8,249.6
2026-03-06T05:19:28.236000+00:00,11228,1279,18,,739.3,3,739.3
2026-03-06T05:20:58.217000+00:00,11228,1279,41,,346.9,8,346.9
2026-03-06T05:22:06.355000+00:00,11228,1279,30,,357.1,9,357.1
2026-03-06T05:22:13.283000+00:00,11228,1279,12,,22.7,11,22.7
2026-03-06T05:22:34.196000+00:00,11228,1279,27,,383.2,11,383.2
2026-03-06T05:22:58.346000+00:00,11228,1279,63,,14.0,10,14.0
2026-03-06T05:23:24.574000+00:00,11228,1279,31,,347.1,11,347.1
2026-03-06T05:23:31.818000+00:00,11228,1279,87,,327.7,11,327.7
2026-03-06T05:23:34.753000+00:00,11228,1279,16,,332.4,11,332.4
2026-03-06T05:23:37.760000+00:00,11228,1279,5,,477.9,9,477.9
2026-03-06T05:23:46.117000+00:00,11228,1279,1,,22.1,11,22.1
2026-03-06T05:23:53.441000+00:00,11228,1279,23,,274.4,12,274.4
2026-03-06T05:24:08.619000+00:00,11228,1279,77,,338.4,8,338.4
2026-03-06T05:25:54.065000+00:00,11228,1279,3,,,1,
2026-03-06T05:26:33.604000+00:00,11228,1279,6,,466.6,10,466.6
2026-03-06T05:26:50.302000+00:00,11228,1279,44,,289.8,14,289.8
2026-03-06T05:28:34.171000+00:00,11228,1279,31,,14.0,14,14.0
2026-03-06T05:28:39.747000+00:00,11228,1279,43,,567.9,11,567.9
2026-03-06T05:29:38.988000+00:00,11228,1279,14,,701.4,3,701.4
2026-03-06T05:32:18.966000+00:00,11228,1279,16,,15.5,16,15.5
2026-03-06T05:32:35.434000+00:00,11228,1279,81,,857.0,11,857.0
2026-03-06T05:33:13.794000+00:00,11228,1279,12,,368.1,14,368.1
2026-03-06T05:33:38.091000+00:00,11228,1279,10,,871.7,12,871.7
2026-03-06T05:34:05.353000+00:00,11228,1279,44,,24.1,18,24.1
2026-03-06T05:34:14.078000+00:00,11228,1279,3,,19.9,6,19.9
2026-03-06T05:36:02.962000+00:00,11228,1279,63,,422.9,13,422.9
2026-03-06T05:38:12.985000+00:00,11228,1279,87,,361.4,16,361.4
2026-03-06T05:39:38.606000+00:00,11228,1279,1,,676.1,14,676.1
2026-03-06T05:40:28.336000+00:00,11228,1279,41,,358.6,16,358.6
2026-03-06T05:41:01.415000+00:00,11228,1279,30,,534.2,15,534.2
2026-03-06T05:41:06.584000+00:00,11228,1279,87,,43.3,17,43.3
2026-03-06T05:41:12.887000+00:00,11228,1279,77,,413.0,14,413.0
2026-03-06T05:41:48.495000+00:00,11228,1279,27,,299.1,20,299.1
2026-03-06T05:41:53.464000+00:00,11228,1279,31,,489.7,17,489.7
2026-03-06T05:42:27.356000+00:00,11228,1279,5,,394.5,16,394.5
2026-03-06T05:42:55.542000+00:00,11228,1279,30,,18.9,16,18.9
2026-03-06T05:43:04.295000+00:00,11228,1279,18,,500.7,11,500.7
2026-03-06T05:43:27.044000+00:00,11228,1279,23,,344.4,20,344.4
2026-03-06T05:43:57.565000+00:00,11228,1279,6,,390.2,16,390.2
2026-03-06T05:44:21.930000+00:00,11228,1279,31,,15.2,18,15.2
2026-03-06T05:44:59.680000+00:00,11228,1279,81,,459.6,14,459.6
2026-03-06T05:45:09.235000+00:00,11228,1279,5,,51.5,17,51.5
2026-03-06T05:45:12.417000+00:00,11228,1279,3,,391.1,9,391.1
2026-03-06T05:46:00.931000+00:00,11228,1279,43,,380.6,17,380.6
2026-03-06T05:47:47.502000+00:00,11228,1279,16,,405.9,21,405.9
2026-03-06T05:48:27.200000+00:00,11228,1279,14,,438.8,10,438.8
2026-03-06T05:48:53.216000+00:00,11228,1279,44,,368.4,23,368.4
2026-03-06T05:50:11.995000+00:00,11228,1279,23,,25.7,24,25.7
2026-03-06T05:50:19.084000+00:00,11228,1279,11,,,1,
2026-03-06T05:54:00.751000+00:00,11228,1279,14,,12.7,13,12.7
2026-03-06T05:56:02.551000+00:00,11228,1279,31,,28.7,25,28.7
2026-03-06T05:56:03.924000+00:00,11228,1279,16,,19.0,26,19.0
2026-03-06T05:56:51.774000+00:00,11228,1279,27,,18.9,30,18.9
2026-03-06T05:58:31.690000+00:00,11228,1279,81,,19.8,23,19.8
2026-03-06T05:58:31.777000+00:00,11228,1279,12,,202.6,29,202.6
2026-03-06T05:58:39.687000+00:00,11228,1279,63,,230.4,26,230.4
2026-03-06T05:59:02.686000+00:00,11228,1279,5,,20.4,26,20.4
2026-03-06T05:59:42.971000+00:00,11228,1279,23,,23.1,30,23.1
