date,session_key,rainfall,track_temperature,wind_direction,wind_speed,air_temperature,meeting_key,humidity,pressure
2026-03-06T04:48:04.314000+00:00,11228,0,31.6,11,0.4,22.5,1279,59.5,1012.0
2026-03-06T04:49:04.313000+00:00,11228,0,31.5,103,2.1,22.5,1279,60.4,1012.0
2026-03-06T04:50:04.314000+00:00,11228,0,31.6,153,0.3,22.4,1279,60.5,1012.0
2026-03-06T04:51:04.316000+00:00,11228,0,31.7,97,2.1,22.4,1279,61.3,1012.0
2026-03-06T04:52:04.332000+00:00,11228,0,31.3,14,1.3,22.4,1279,60.7,1012.0
2026-03-06T04:53:04.336000+00:00,11228,0,31.5,148,1.6,22.5,1279,60.7,1011.9
2026-03-06T04:54:04.364000+00:00,11228,0,31.7,49,0.9,22.6,1279,60.3,1011.9
2026-03-06T04:55:04.364000+00:00,11228,0,31.5,122,0.8,22.5,1279,60.1,1012.0
2026-03-06T04:56:04.359000+00:00,11228,0,31.6,34,0.8,22.4,1279,60.3,1011.9
2026-03-06T04:57:04.357000+00:00,11228,0,31.4,133,0.8,22.4,1279,61.2,1011.9
2026-03-06T04:58:04.374000+00:00,11228,0,31.4,125,1.8,22.4,1279,60.2,1011.8
2026-03-06T04:59:04.368000+00:00,11228,0,31.3,92,1.6,22.4,1279,61.1,1011.9
2026-03-06T05:00:04.386000+00:00,11228,0,31.2,12,0.8,22.4,1279,61.0,1011.8
2026-03-06T05:01:04.391000+00:00,11228,0,31.3,129,2.7,22.4,1279,61.1,1011.9
2026-03-06T05:02:04.401000+00:00,11228,0,31.7,74,1.9,22.4,1279,61.5,1011.8
2026-03-06T05:03:04.391000+00:00,11228,0,31.7,106,1.4,22.4,1279,62.0,1011.9
2026-03-06T05:04:04.393000+00:00,11228,0,32.0,68,1.0,22.5,1279,61.5,1011.8
2026-03-06T05:05:04.404000+00:00,11228,0,31.6,91,1.0,22.5,1279,61.4,1011.8
2026-03-06T05:06:04.420000+00:00,11228,0,32.1,73,1.1,22.5,1279,60.0,1011.8
2026-03-06T05:07:04.434000+00:00,11228,0,31.8,102,2.0,22.4,1279,60.4,1011.8
2026-03-06T05:08:04.436000+00:00,11228,0,31.6,117,2.1,22.5,1279,61.1,1011.8
2026-03-06T05:09:04.424000+00:00,11228,0,31.6,100,2.8,22.5,1279,62.3,1011.8
2026-03-06T05:10:04.439000+00:00,11228,0,31.5,97,1.5,22.6,1279,62.5,1011.8
2026-03-06T05:11:04.444000+00:00,11228,0,31.9,114,2.1,22.6,1279,63.5,1011.7
2026-03-06T05:12:04.457000+00:00,11228,0,32.2,95,2.3,22.7,1279,62.9,1011.8
2026-03-06T05:13:04.440000+00:00,11228,0,32.5,103,1.9,22.7,1279,62.2,1011.7
2026-03-06T05:14:04.447000+00:00,11228,0,32.2,121,2.1,22.9,1279,60.7,1011.8
2026-03-06T05:15:04.444000+00:00,11228,0,32.1,111,1.7,22.9,1279,60.7,1011.8
2026-03-06T05:16:04.463000+00:00,11228,0,32.1,102,2.8,22.8,1279,61.7,1011.7
2026-03-06T05:17:04.459000+00:00,11228,0,31.8,107,3.5,22.6,1279,62.5,1011.7
2026-03-06T05:18:04.462000+00:00,11228,0,31.9,103,3.4,22.5,1279,62.4,1011.8
2026-03-06T05:19:04.461000+00:00,11228,0,31.9,99,3.1,22.6,1279,63.0,1011.7
2026-03-06T05:20:04.462000+00:00,11228,0,31.8,107,3.7,22.6,1279,63.0,1011.7
2026-03-06T05:21:04.479000+00:00,11228,0,31.8,118,3.8,22.6,1279,63.5,1011.8
2026-03-06T05:22:04.467000+00:00,11228,0,32.5,134,1.5,22.6,1279,64.3,1011.7
2026-03-06T05:23:04.482000+00:00,11228,0,32.4,129,2.1,21.9,1279,64.8,1011.7
2026-03-06T05:24:04.507000+00:00,11228,0,33.0,115,1.7,22.7,1279,65.1,1011.7
2026-03-06T05:25:04.513000+00:00,11228,0,33.4,90,2.3,22.6,1279,64.6,1011.7
2026-03-06T05:26:04.536000+00:00,11228,0,33.2,113,2.4,22.6,1279,63.6,1011.8
2026-03-06T05:27:04.534000+00:00,11228,0,33.1,119,3.2,22.6,1279,63.8,1011.8
2026-03-06T05:28:04.543000+00:00,11228,0,33.0,113,2.0,22.5,1279,64.9,1011.7
2026-03-06T05:29:04.544000+00:00,11228,0,33.4,106,3.2,22.5,1279,64.6,1011.6
2026-03-06T05:30:04.532000+00:00,11228,0,33.7,129,1.0,22.5,1279,64.7,1011.6
2026-03-06T05:31:04.531000+00:00,11228,0,33.6,135,0.9,22.6,1279,64.8,1011.7
2026-03-06T05:32:04.546000+00:00,11228,0,33.7,94,2.8,22.5,1279,63.7,1011.6
2026-03-06T05:33:04.549000+00:00,11228,0,33.7,93,2.3,22.5,1279,64.6,1011.6
2026-03-06T05:34:04.584000+00:00,11228,0,33.7,93,2.3,22.0,1279,64.6,1011.6
2026-03-06T05:35:04.580000+00:00,11228,0,33.7,93,2.3,22.3,1279,64.6,1011.6
2026-03-06T05:36:04.599000+00:00,11228,0,33.7,101,3.4,22.6,1279,64.2,1011.5
2026-03-06T05:37:04.611000+00:00,11228,0,33.8,103,2.7,22.5,1279,64.6,1011.6
2026-03-06T05:38:04.647000+00:00,11228,0,33.8,103,2.7,22.1,1279,64.6,1011.6
2026-03-06T05:39:04.678000+00:00,11228,0,34.4,114,2.3,22.4,1279,66.5,1011.5
2026-03-06T05:40:04.666000+00:00,11228,0,34.2,103,2.3,22.4,1279,66.2,1011.7
2026-03-06T05:41:04.678000+00:00,11228,0,34.5,106,3.0,22.4,1279,66.2,1011.5
2026-03-06T05:42:04.680000+00:00,11228,0,34.5,107,3.4,22.4,1279,66.1,1011.6
2026-03-06T05:43:04.682000+00:00,11228,0,34.5,107,3.4,21.9,1279,66.1,1011.6
2026-03-06T05:44:04.699000+00:00,11228,0,34.7,120,2.3,22.3,1279,65.2,1011.6
2026-03-06T05:45:04.731000+00:00,11228,0,34.3,104,1.4,22.3,1279,66.2,1011.6
2026-03-06T05:46:04.713000+00:00,11228,0,34.2,104,3.5,22.4,1279,65.8,1011.5
2026-03-06T05:47:04.728000+00:00,11228,0,34.7,95,2.7,22.4,1279,66.3,1011.5
2026-03-06T05:48:04.765000+00:00,11228,0,34.7,104,2.4,22.3,1279,66.6,1011.6
2026-03-06T05:49:04.764000+00:00,11228,0,34.9,106,2.7,22.3,1279,67.1,1011.5
2026-03-06T05:50:04.768000+00:00,11228,0,34.8,95,3.0,22.4,1279,66.5,1011.5
2026-03-06T05:51:04.765000+00:00,11228,0,35.3,123,1.9,22.5,1279,67.2,1011.5
2026-03-06T05:52:04.767000+00:00,11228,0,35.0,102,3.2,22.4,1279,67.1,1011.5
2026-03-06T05:53:04.783000+00:00,11228,0,35.1,108,1.8,22.5,1279,65.1,1011.4
2026-03-06T05:54:04.783000+00:00,11228,0,34.9,84,2.5,22.5,1279,66.4,1011.5
2026-03-06T05:55:04.800000+00:00,11228,0,34.9,84,2.5,21.9,1279,66.4,1011.5
2026-03-06T05:56:04.793000+00:00,11228,0,36.0,83,2.3,22.4,1279,66.7,1011.5
2026-03-06T05:57:04.816000+00:00,11228,0,35.6,106,4.2,22.5,1279,65.6,1011.5
2026-03-06T05:58:04.848000+00:00,11228,0,35.6,138,2.2,22.3,1279,64.9,1011.5
2026-03-06T05:59:04.847000+00:00,11228,0,36.0,130,2.6,22.5,1279,66.2,1011.5
