date,session_key,meeting_key,pit_duration,stop_duration,lane_duration,driver_number,lap_number
2026-03-07T01:50:05.215000+00:00,11229,1279,,,,43,1
2026-03-07T01:50:23.885000+00:00,11229,1279,,,,11,1
2026-03-07T01:50:30.806000+00:00,11229,1279,,,,44,1
2026-03-07T01:51:00.469000+00:00,11229,1279,,,,10,1
2026-03-07T01:51:12.516000+00:00,11229,1279,,,,14,1
2026-03-07T01:52:38.407000+00:00,11229,1279,,,,27,1
2026-03-07T01:52:40.458000+00:00,11229,1279,,,,5,1
2026-03-07T01:54:50.513000+00:00,11229,1279,,,,1,1
2026-03-07T01:55:12.795000+00:00,11229,1279,,,,31,1
2026-03-07T01:55:18.435000+00:00,11229,1279,,,,87,1
2026-03-07T01:56:32.333000+00:00,11229,1279,,,,55,1
2026-03-07T01:57:31.403000+00:00,11229,1279,,,,12,1
2026-03-07T01:57:33.653000+00:00,11229,1279,,,,16,1
2026-03-07T01:58:16.875000+00:00,11229,1279,,,,63,1
2026-03-07T02:03:06.403000+00:00,11229,1279,239.5,,239.5,14,6
2026-03-07T02:11:03.440000+00:00,11229,1279,,,,1,6
2026-03-07T02:11:07.279000+00:00,11229,1279,,,,81,1
2026-03-07T02:11:12.011000+00:00,11229,1279,,,,63,4
2026-03-07T02:11:21.739000+00:00,11229,1279,,,,3,1
2026-03-07T02:11:29.255000+00:00,11229,1279,,,,16,5
2026-03-07T02:11:33.056000+00:00,11229,1279,,,,6,1
2026-03-07T02:11:38.894000+00:00,11229,1279,,,,12,5
2026-03-07T02:11:56.346000+00:00,11229,1279,,,,41,1
2026-03-07T02:12:01.413000+00:00,11229,1279,,,,77,1
2026-03-07T02:12:09.408000+00:00,11229,1279,,,,30,1
2026-03-07T02:12:21.080000+00:00,11229,1279,,,,23,1
2026-03-07T02:12:24.236000+00:00,11229,1279,794.5,,794.5,11,6
2026-03-07T02:12:28.466000+00:00,11229,1279,,,,43,9
2026-03-07T02:12:32.352000+00:00,11229,1279,,,,5,7
2026-03-07T02:12:34.059000+00:00,11229,1279,,,,31,6
2026-03-07T02:12:36.364000+00:00,11229,1279,739.8,,739.8,87,4
2026-03-07T02:12:46.471000+00:00,11229,1279,819.5,,819.5,14,7
2026-03-07T02:12:52.386000+00:00,11229,1279,,,,44,9
2026-03-07T02:13:12.364000+00:00,11229,1279,,,,10,9
2026-03-07T02:13:49.793000+00:00,11229,1279,,,,27,8
2026-03-07T02:16:23.587000+00:00,11229,1279,42.7,,42.7,43,11
2026-03-07T02:16:42.181000+00:00,11229,1279,22.6,,22.6,3,4
2026-03-07T02:17:03.384000+00:00,11229,1279,24.2,,24.2,12,8
2026-03-07T02:17:58.275000+00:00,11229,1279,21.3,,21.3,63,8
2026-03-07T02:20:18.188000+00:00,11229,1279,28.6,,28.6,16,10
2026-03-07T02:20:29.188000+00:00,11229,1279,23.7,,23.7,27,12
2026-03-07T02:20:53.582000+00:00,11229,1279,24.6,,24.6,77,6
2026-03-07T02:24:46.371000+00:00,11229,1279,233.6,,233.6,14,12
2026-03-07T02:25:12.768000+00:00,11229,1279,14.7,,14.7,41,9
2026-03-07T02:25:42.149000+00:00,11229,1279,30.3,,30.3,87,11
2026-03-07T02:27:14.662000+00:00,11229,1279,17.3,,17.3,30,10
2026-03-07T02:29:45.524000+00:00,11229,1279,14.9,,14.9,87,13
2026-03-07T02:30:09.774000+00:00,11229,1279,21.0,,21.0,10,20
2026-03-07T02:30:27.258000+00:00,11229,1279,17.3,,17.3,81,13
2026-03-07T02:31:18.719000+00:00,11229,1279,354.4,,354.4,27,15
2026-03-07T02:34:52.318000+00:00,11229,1279,244.0,,244.0,63,17
2026-03-07T02:35:05.632000+00:00,11229,1279,311.7,,311.7,12,17
2026-03-07T02:35:13.170000+00:00,11229,1279,481.8,,481.8,41,10
2026-03-07T02:35:21.557000+00:00,11229,1279,683.0,,683.0,31,13
2026-03-07T02:35:28.696000+00:00,11229,1279,783.2,,783.2,5,13
2026-03-07T02:35:42.908000+00:00,11229,1279,446.9,,446.9,43,18
2026-03-07T02:35:50.048000+00:00,11229,1279,386.5,,386.5,30,11
2026-03-07T02:35:57.642000+00:00,11229,1279,263.1,,263.1,87,14
2026-03-07T02:36:47.391000+00:00,11229,1279,306.3,,306.3,10,21
2026-03-07T02:46:03.801000+00:00,11229,1279,926.1,,926.1,1,18
2026-03-07T02:46:08.348000+00:00,11229,1279,920.0,,920.0,63,19
2026-03-07T02:46:11.410000+00:00,11229,1279,965.8,,965.8,16,16
2026-03-07T02:46:13.739000+00:00,11229,1279,832.5,,832.5,23,13
2026-03-07T02:46:18.926000+00:00,11229,1279,1340.1,,1340.1,31,15
2026-03-07T02:46:27.804000+00:00,11229,1279,886.3,,886.3,10,22
2026-03-07T02:46:33.589000+00:00,11229,1279,853.8,,853.8,81,14
2026-03-07T02:46:37.823000+00:00,11229,1279,1452.4,,1452.4,5,15
