date,session_key,lap_number,meeting_key,pit_duration,lane_duration,stop_duration,driver_number
2026-03-13T03:30:05.431000+00:00,11235,1,1280,,,,31
2026-03-13T03:30:08.494000+00:00,11235,1,1280,,,,87
2026-03-13T03:30:10.056000+00:00,11235,1,1280,,,,63
2026-03-13T03:30:13.166000+00:00,11235,1,1280,,,,10
2026-03-13T03:30:16.556000+00:00,11235,1,1280,,,,27
2026-03-13T03:30:19.791000+00:00,11235,1,1280,,,,12
2026-03-13T03:30:30.452000+00:00,11235,1,1280,,,,43
2026-03-13T03:30:37.106000+00:00,11235,1,1280,,,,14
2026-03-13T03:30:46.036000+00:00,11235,1,1280,,,,44
2026-03-13T03:30:53.291000+00:00,11235,1,1280,,,,1
2026-03-13T03:30:58.378000+00:00,11235,1,1280,,,,81
2026-03-13T03:31:04.054000+00:00,11235,1,1280,,,,23
2026-03-13T03:31:10.019000+00:00,11235,1,1280,,,,3
2026-03-13T03:31:19.466000+00:00,11235,1,1280,,,,6
2026-03-13T03:31:22.791000+00:00,11235,1,1280,,,,18
2026-03-13T03:31:24.593000+00:00,11235,1,1280,,,,55
2026-03-13T03:31:26.380000+00:00,11235,1,1280,,,,16
2026-03-13T03:31:28.040000+00:00,11235,1,1280,,,,77
2026-03-13T03:31:31.465000+00:00,11235,1,1280,,,,30
2026-03-13T03:31:36.091000+00:00,11235,1,1280,,,,41
2026-03-13T03:31:39.434000+00:00,11235,1,1280,,,,5
2026-03-13T03:31:53.504000+00:00,11235,1,1280,,,,11
2026-03-13T03:38:55.413000+00:00,11235,5,1280,28.4,28.4,,1
2026-03-13T03:43:24.245000+00:00,11235,5,1280,339.4,339.4,,31
2026-03-13T03:48:02.428000+00:00,11235,3,1280,806.5,806.5,,14
2026-03-13T03:48:06.319000+00:00,11235,6,1280,143.4,143.4,,31
2026-03-13T03:48:09.428000+00:00,11235,7,1280,389.1,389.1,,27
2026-03-13T03:49:06.736000+00:00,11235,5,1280,579.7,579.7,,18
2026-03-13T03:51:35.920000+00:00,11235,6,1280,628.1,628.1,,81
2026-03-13T03:52:29.032000+00:00,11235,9,1280,430.6,430.6,,63
2026-03-13T03:53:03.368000+00:00,11235,9,1280,408.6,408.6,,12
2026-03-13T03:54:21.073000+00:00,11235,9,1280,487.7,487.7,,87
2026-03-13T03:54:29.307000+00:00,11235,8,1280,540.6,540.6,,44
2026-03-13T03:55:10.795000+00:00,11235,13,1280,46.6,46.6,,23
2026-03-13T03:55:29.217000+00:00,11235,13,1280,38.3,38.3,,16
2026-03-13T03:56:22.142000+00:00,11235,8,1280,648.4,648.4,,6
2026-03-13T03:57:39.964000+00:00,11235,9,1280,352.0,352.0,,27
2026-03-13T03:57:55.448000+00:00,11235,14,1280,43.6,43.6,,23
2026-03-13T03:58:33.985000+00:00,11235,12,1280,334.7,334.7,,30
2026-03-13T03:59:27.617000+00:00,11235,10,1280,24.6,24.6,,81
2026-03-13T03:59:44.117000+00:00,11235,10,1280,601.5,601.5,,5
2026-03-13T04:00:25.008000+00:00,11235,11,1280,197.3,197.3,,31
2026-03-13T04:00:35.023000+00:00,11235,12,1280,524.3,524.3,,10
2026-03-13T04:00:53.617000+00:00,11235,8,1280,986.3,986.3,,3
2026-03-13T04:01:31.805000+00:00,11235,12,1280,546.5,546.5,,43
2026-03-13T04:01:43.133000+00:00,11235,9,1280,825.7,825.7,,11
2026-03-13T04:02:09.356000+00:00,11235,9,1280,863.8,863.8,,77
2026-03-13T04:03:19.121000+00:00,11235,12,1280,28.3,28.3,,27
2026-03-13T04:03:46.775000+00:00,11235,14,1280,448.0,448.0,,1
2026-03-13T04:05:53.194000+00:00,11235,10,1280,416.8,416.8,,18
2026-03-13T04:06:39.576000+00:00,11235,2,1280,1994.4,1994.4,,55
2026-03-13T04:09:22.782000+00:00,11235,9,1280,630.9,630.9,,14
2026-03-13T04:09:34.139000+00:00,11235,15,1280,46.3,46.3,,44
2026-03-13T04:11:55.418000+00:00,11235,19,1280,47.4,47.4,,87
2026-03-13T04:14:37.308000+00:00,11235,20,1280,250.4,250.4,,63
2026-03-13T04:15:01.219000+00:00,11235,20,1280,249.0,249.0,,12
