date,session_key,pit_duration,meeting_key,stop_duration,lap_number,driver_number,lane_duration
2026-03-14T07:00:02.678000+00:00,11241,,1280,,1,77,
2026-03-14T07:00:04.115000+00:00,11241,,1280,,1,43,
2026-03-14T07:00:10.709000+00:00,11241,,1280,,1,23,
2026-03-14T07:00:15.351000+00:00,11241,,1280,,1,55,
2026-03-14T07:00:26.683000+00:00,11241,,1280,,1,27,
2026-03-14T07:00:34.149000+00:00,11241,,1280,,1,5,
2026-03-14T07:00:41.785000+00:00,11241,,1280,,1,41,
2026-03-14T07:00:44.614000+00:00,11241,,1280,,1,18,
2026-03-14T07:00:58.178000+00:00,11241,,1280,,1,14,
2026-03-14T07:01:06.411000+00:00,11241,,1280,,1,30,
2026-03-14T07:01:17.588000+00:00,11241,,1280,,1,6,
2026-03-14T07:01:24.902000+00:00,11241,,1280,,1,3,
2026-03-14T07:01:30.572000+00:00,11241,,1280,,1,16,
2026-03-14T07:01:40.934000+00:00,11241,,1280,,1,44,
2026-03-14T07:01:46.622000+00:00,11241,,1280,,1,10,
2026-03-14T07:01:52.528000+00:00,11241,,1280,,1,31,
2026-03-14T07:01:56.793000+00:00,11241,,1280,,1,87,
2026-03-14T07:02:10.543000+00:00,11241,,1280,,1,1,
2026-03-14T07:02:23.106000+00:00,11241,,1280,,1,81,
2026-03-14T07:02:45.139000+00:00,11241,25.8,1280,,2,27,25.8
2026-03-14T07:02:58.618000+00:00,11241,27.9,1280,,2,5,27.9
2026-03-14T07:04:18.640000+00:00,11241,,1280,,1,11,
2026-03-14T07:05:58.914000+00:00,11241,30.2,1280,,4,43,30.2
2026-03-14T07:06:20.855000+00:00,11241,,1280,,1,12,
2026-03-14T07:06:37.630000+00:00,11241,,1280,,1,63,
2026-03-14T07:06:45.014000+00:00,11241,23.8,1280,,4,18,23.8
2026-03-14T07:06:57.946000+00:00,11241,31.3,1280,,4,14,31.3
2026-03-14T07:07:55.772000+00:00,11241,30.8,1280,,5,23,30.8
2026-03-14T07:07:59.553000+00:00,11241,53.6,1280,,4,44,53.6
2026-03-14T07:08:08.522000+00:00,11241,29.8,1280,,5,55,29.8
2026-03-14T07:08:11.537000+00:00,11241,168.9,1280,,4,77,168.9
2026-03-14T07:08:53.016000+00:00,11241,141.3,1280,,4,30,141.3
2026-03-14T07:09:10.874000+00:00,11241,114.9,1280,,4,10,114.9
2026-03-14T07:09:33.845000+00:00,11241,111.8,1280,,4,1,111.8
2026-03-14T07:09:42.202000+00:00,11241,62.1,1280,,5,16,62.1
2026-03-14T07:10:03.185000+00:00,11241,126.5,1280,,4,81,126.5
2026-03-14T07:10:41.773000+00:00,11241,202.7,1280,,4,31,202.7
2026-03-14T07:10:45.039000+00:00,11241,205.3,1280,,4,87,205.3
2026-03-14T07:13:52.679000+00:00,11241,41.5,1280,,8,23,41.5
2026-03-14T07:14:10.492000+00:00,11241,229.5,1280,,6,6,229.5
2026-03-14T07:14:14.152000+00:00,11241,223.6,1280,,6,3,223.6
2026-03-14T07:14:18.787000+00:00,11241,37.0,1280,,8,55,37.0
2026-03-14T07:14:22.706000+00:00,11241,164.0,1280,,7,41,164.0
2026-03-14T07:14:27.258000+00:00,11241,129.6,1280,,7,18,129.6
2026-03-14T07:14:44.540000+00:00,11241,142.5,1280,,7,14,142.5
2026-03-14T07:14:50.355000+00:00,11241,217.6,1280,,7,43,217.6
2026-03-14T07:14:59.605000+00:00,11241,166.2,1280,,7,5,166.2
2026-03-14T07:15:06.769000+00:00,11241,330.7,1280,,4,11,330.7
2026-03-14T07:15:34.597000+00:00,11241,107.4,1280,,7,77,107.4
2026-03-14T07:25:03.799000+00:00,11241,798.0,1280,,4,12,798.0
2026-03-14T07:25:09.789000+00:00,11241,780.4,1280,,4,63,780.4
2026-03-14T07:25:15.808000+00:00,11241,613.3,1280,,8,16,613.3
2026-03-14T07:25:26.288000+00:00,11241,706.8,1280,,7,44,706.8
2026-03-14T07:25:44.272000+00:00,11241,359.3,1280,,9,6,359.3
2026-03-14T07:25:49.826000+00:00,11241,656.0,1280,,7,1,656.0
2026-03-14T07:25:54.631000+00:00,11241,621.0,1280,,7,81,621.0
2026-03-14T07:26:02.969000+00:00,11241,376.4,1280,,9,3,376.4
2026-03-14T07:26:30.706000+00:00,11241,884.0,1280,,7,27,884.0
2026-03-14T07:26:33.685000+00:00,11241,400.6,1280,,9,31,400.6
