date,session_key,lap_number,driver_number,lane_duration,stop_duration,pit_duration,meeting_key
2026-03-27T02:30:02.353000+00:00,11246,1,27,,,,1281
2026-03-27T02:30:05.496000+00:00,11246,1,5,,,,1281
2026-03-27T02:30:09.410000+00:00,11246,1,44,,,,1281
2026-03-27T02:30:10.714000+00:00,11246,1,63,,,,1281
2026-03-27T02:30:14.706000+00:00,11246,1,12,,,,1281
2026-03-27T02:30:16.959000+00:00,11246,1,34,,,,1281
2026-03-27T02:30:20.159000+00:00,11246,1,16,,,,1281
2026-03-27T02:30:22.138000+00:00,11246,1,87,,,,1281
2026-03-27T02:30:27.409000+00:00,11246,1,31,,,,1281
2026-03-27T02:30:30.421000+00:00,11246,1,1,,,,1281
2026-03-27T02:30:31.959000+00:00,11246,1,11,,,,1281
2026-03-27T02:30:36.503000+00:00,11246,1,43,,,,1281
2026-03-27T02:30:38.104000+00:00,11246,1,77,,,,1281
2026-03-27T02:30:40.055000+00:00,11246,1,18,,,,1281
2026-03-27T02:30:42.145000+00:00,11246,1,41,,,,1281
2026-03-27T02:31:12.403000+00:00,11246,1,81,,,,1281
2026-03-27T02:31:13.202000+00:00,11246,1,10,,,,1281
2026-03-27T02:31:21.187000+00:00,11246,1,55,,,,1281
2026-03-27T02:31:22.871000+00:00,11246,1,23,,,,1281
2026-03-27T02:31:24.240000+00:00,11246,1,30,,,,1281
2026-03-27T02:31:46.581000+00:00,11246,1,6,,,,1281
2026-03-27T02:31:57.583000+00:00,11246,1,3,,,,1281
2026-03-27T02:32:29.225000+00:00,11246,2,63,20.6,,20.6,1281
2026-03-27T02:34:01.457000+00:00,11246,2,5,79.2,,79.2,1281
2026-03-27T02:35:06.870000+00:00,11246,3,34,44.4,,44.4,1281
2026-03-27T02:35:57.941000+00:00,11246,2,27,237.9,,237.9,1281
2026-03-27T02:40:23.099000+00:00,11246,6,11,32.3,,32.3,1281
2026-03-27T02:41:05.416000+00:00,11246,6,10,28.5,,28.5,1281
2026-03-27T02:41:07.428000+00:00,11246,6,81,25.6,,25.6,1281
2026-03-27T02:41:37.113000+00:00,11246,6,3,42.7,,42.7,1281
2026-03-27T02:42:00.210000+00:00,11246,7,41,31.9,,31.9,1281
2026-03-27T02:42:18.548000+00:00,11246,2,31,536.4,,536.4,1281
2026-03-27T02:42:38.805000+00:00,11246,7,30,32.0,,32.0,1281
2026-03-27T02:42:48.556000+00:00,11246,2,23,565.3,,565.3,1281
