position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,18,False,False,False,89.362,0.0,1281,11248
2,63,18,False,False,False,89.616,0.254,1281,11248
3,16,20,False,False,False,90.229,0.867,1281,11248
4,81,19,False,False,False,90.364,1.002,1281,11248
5,44,23,False,False,False,90.383,1.021,1281,11248
6,1,13,False,False,False,90.6,1.238,1281,11248
7,27,21,False,False,False,90.658,1.296,1281,11248
8,3,22,False,False,False,90.91,1.548,1281,11248
9,5,21,False,False,False,91.0,1.638,1281,11248
10,10,20,False,False,False,91.082,1.72,1281,11248
11,6,21,False,False,False,91.094,1.732,1281,11248
12,30,21,False,False,False,91.097,1.735,1281,11248
13,41,17,False,False,False,91.288,1.926,1281,11248
14,31,22,False,False,False,91.326,1.964,1281,11248
15,87,18,False,False,False,91.558,2.196,1281,11248
16,23,20,False,False,False,91.733,2.371,1281,11248
17,43,25,False,False,False,91.759,2.397,1281,11248
18,55,26,False,False,False,91.829,2.467,1281,11248
19,77,20,False,False,False,92.503,3.141,1281,11248
20,11,18,False,False,False,92.54,3.178,1281,11248
21,18,19,False,False,False,93.485,4.123,1281,11248
22,14,14,False,False,False,93.529,4.167,1281,11248
