date,session_key,meeting_key,air_temperature,pressure,humidity,track_temperature,wind_direction,wind_speed,rainfall
2026-03-28T02:16:58.380000+00:00,11248,1281,15.7,1010.7,57.3,34.8,132,1.5,0
2026-03-28T02:17:58.399000+00:00,11248,1281,15.8,1010.7,56.3,34.9,129,2.6,0
2026-03-28T02:18:58.418000+00:00,11248,1281,15.8,1010.6,56.1,34.5,128,3.4,0
2026-03-28T02:19:58.421000+00:00,11248,1281,15.9,1010.7,55.5,34.5,134,2.1,0
2026-03-28T02:20:58.422000+00:00,11248,1281,15.8,1010.7,57.6,34.4,122,3.1,0
2026-03-28T02:21:58.432000+00:00,11248,1281,15.9,1010.6,57.2,34.1,113,3.0,0
2026-03-28T02:22:58.432000+00:00,11248,1281,15.9,1010.6,57.6,35.0,121,1.9,0
2026-03-28T02:23:58.433000+00:00,11248,1281,15.7,1010.6,57.6,34.8,131,2.7,0
2026-03-28T02:24:58.438000+00:00,11248,1281,15.8,1010.6,54.5,34.7,110,2.0,0
2026-03-28T02:25:58.452000+00:00,11248,1281,15.7,1010.6,55.8,35.0,130,2.8,0
2026-03-28T02:26:58.467000+00:00,11248,1281,15.8,1010.5,53.2,35.1,118,1.2,0
2026-03-28T02:27:58.468000+00:00,11248,1281,15.7,1010.5,54.5,35.0,120,3.4,0
2026-03-28T02:28:58.467000+00:00,11248,1281,15.7,1010.5,55.8,35.2,117,2.5,0
2026-03-28T02:29:58.488000+00:00,11248,1281,15.6,1010.5,56.1,35.3,124,1.1,0
2026-03-28T02:30:58.483000+00:00,11248,1281,15.7,1010.4,56.9,35.5,122,2.7,0
2026-03-28T02:31:58.485000+00:00,11248,1281,15.8,1010.5,56.4,35.7,124,1.2,0
2026-03-28T02:32:58.486000+00:00,11248,1281,15.8,1010.5,56.3,35.8,131,2.1,0
2026-03-28T02:33:58.511000+00:00,11248,1281,15.8,1010.5,56.6,35.3,115,2.2,0
2026-03-28T02:34:58.519000+00:00,11248,1281,15.8,1010.5,55.3,35.7,128,2.1,0
2026-03-28T02:35:58.521000+00:00,11248,1281,15.9,1010.5,57.3,35.9,125,3.4,0
2026-03-28T02:36:58.520000+00:00,11248,1281,15.9,1010.5,54.2,36.2,149,2.3,0
2026-03-28T02:37:58.525000+00:00,11248,1281,16.0,1010.5,52.3,35.3,94,1.6,0
2026-03-28T02:38:58.520000+00:00,11248,1281,16.0,1010.5,54.5,35.9,119,2.0,0
2026-03-28T02:39:59.385000+00:00,11248,1281,15.9,1010.4,54.5,36.4,102,1.0,0
2026-03-28T02:40:58.543000+00:00,11248,1281,15.9,1010.5,55.3,35.4,106,1.4,0
2026-03-28T02:41:58.540000+00:00,11248,1281,15.9,1010.4,55.0,36.0,118,2.3,0
2026-03-28T02:42:58.557000+00:00,11248,1281,15.8,1010.5,54.0,36.5,133,1.2,0
2026-03-28T02:43:58.573000+00:00,11248,1281,15.8,1010.4,55.5,36.7,119,1.4,0
2026-03-28T02:44:58.572000+00:00,11248,1281,15.8,1010.5,54.6,36.6,129,1.7,0
2026-03-28T02:45:58.593000+00:00,11248,1281,15.9,1010.4,53.3,36.6,117,1.3,0
2026-03-28T02:46:58.604000+00:00,11248,1281,15.9,1010.3,52.2,35.7,119,2.6,0
2026-03-28T02:47:58.606000+00:00,11248,1281,15.9,1010.3,52.5,36.4,105,1.3,0
2026-03-28T02:48:58.608000+00:00,11248,1281,16.0,1010.4,54.8,36.3,104,0.9,0
2026-03-28T02:49:58.608000+00:00,11248,1281,16.0,1010.4,53.7,36.7,135,1.6,0
2026-03-28T02:50:58.609000+00:00,11248,1281,16.0,1010.3,54.9,37.0,111,1.6,0
2026-03-28T02:51:58.613000+00:00,11248,1281,16.1,1010.4,54.5,36.8,136,2.3,0
2026-03-28T02:52:58.613000+00:00,11248,1281,16.1,1010.4,54.6,37.2,125,1.5,0
2026-03-28T02:53:58.625000+00:00,11248,1281,15.9,1010.3,55.7,36.6,107,2.4,0
2026-03-28T02:54:58.628000+00:00,11248,1281,16.0,1010.3,56.0,37.2,101,1.1,0
2026-03-28T02:55:58.653000+00:00,11248,1281,16.2,1010.3,54.5,36.5,99,1.0,0
