date,session_key,driver_number,meeting_key,pit_duration,lap_number,stop_duration,lane_duration
2026-03-28T06:00:03.531000+00:00,11249,30,1281,,1,,
2026-03-28T06:00:09.476000+00:00,11249,41,1281,,1,,
2026-03-28T06:00:16.794000+00:00,11249,18,1281,,1,,
2026-03-28T06:00:24.476000+00:00,11249,14,1281,,1,,
2026-03-28T06:00:31.463000+00:00,11249,31,1281,,1,,
2026-03-28T06:00:37.744000+00:00,11249,87,1281,,1,,
2026-03-28T06:00:43.914000+00:00,11249,77,1281,,1,,
2026-03-28T06:00:48.343000+00:00,11249,55,1281,,1,,
2026-03-28T06:00:58.777000+00:00,11249,23,1281,,1,,
2026-03-28T06:01:10.043000+00:00,11249,11,1281,,1,,
2026-03-28T06:03:10.084000+00:00,11249,81,1281,,1,,
2026-03-28T06:03:14.854000+00:00,11249,1,1281,,1,,
2026-03-28T06:03:18.141000+00:00,11249,27,1281,,1,,
2026-03-28T06:03:29.273000+00:00,11249,44,1281,,1,,
2026-03-28T06:03:36.465000+00:00,11249,5,1281,,1,,
2026-03-28T06:03:46.997000+00:00,11249,16,1281,,1,,
2026-03-28T06:04:17.296000+00:00,11249,3,1281,,1,,
2026-03-28T06:04:24.966000+00:00,11249,6,1281,,1,,
2026-03-28T06:04:34.926000+00:00,11249,10,1281,,1,,
2026-03-28T06:04:42.334000+00:00,11249,43,1281,,1,,
2026-03-28T06:05:43.850000+00:00,11249,12,1281,,1,,
2026-03-28T06:05:59.866000+00:00,11249,63,1281,,1,,
2026-03-28T06:06:43.860000+00:00,11249,55,1281,36.6,4,,36.6
2026-03-28T06:07:04.010000+00:00,11249,23,1281,42.3,4,,42.3
2026-03-28T06:07:15.138000+00:00,11249,14,1281,98.6,4,,98.6
2026-03-28T06:07:17.282000+00:00,11249,18,1281,102.4,4,,102.4
2026-03-28T06:08:01.230000+00:00,11249,77,1281,117.0,4,,117.0
2026-03-28T06:12:53.602000+00:00,11249,3,1281,211.5,4,,211.5
2026-03-28T06:13:00.917000+00:00,11249,6,1281,207.5,4,,207.5
2026-03-28T06:13:07.888000+00:00,11249,63,1281,114.6,4,,114.6
2026-03-28T06:14:10.805000+00:00,11249,31,1281,173.6,7,,173.6
2026-03-28T06:14:12.995000+00:00,11249,87,1281,159.8,7,,159.8
2026-03-28T06:14:18.085000+00:00,11249,11,1281,480.3,4,,480.3
2026-03-28T06:14:22.290000+00:00,11249,55,1281,141.0,7,,141.0
2026-03-28T06:14:24.106000+00:00,11249,41,1281,208.2,7,,208.2
2026-03-28T06:14:28.756000+00:00,11249,23,1281,139.1,7,,139.1
2026-03-28T06:14:34.774000+00:00,11249,30,1281,215.0,7,,215.0
2026-03-28T06:14:42.669000+00:00,11249,18,1281,118.2,7,,118.2
2026-03-28T06:15:00.559000+00:00,11249,14,1281,154.4,7,,154.4
2026-03-28T06:15:17.148000+00:00,11249,27,1281,193.9,6,,193.9
2026-03-28T06:15:22.851000+00:00,11249,5,1281,174.1,6,,174.1
2026-03-28T06:15:31.982000+00:00,11249,1,1281,213.0,6,,213.0
2026-03-28T06:15:37.478000+00:00,11249,10,1281,346.3,4,,346.3
2026-03-28T06:15:46.353000+00:00,11249,43,1281,352.9,4,,352.9
2026-03-28T06:15:49.018000+00:00,11249,77,1281,157.8,7,,157.8
2026-03-28T06:15:53.629000+00:00,11249,81,1281,241.1,6,,241.1
2026-03-28T06:25:03.907000+00:00,11249,12,1281,856.3,4,,856.3
2026-03-28T06:25:09.240000+00:00,11249,63,1281,408.5,7,,408.5
2026-03-28T06:25:21.273000+00:00,11249,44,1281,666.5,7,,666.5
2026-03-28T06:25:25.349000+00:00,11249,16,1281,657.8,7,,657.8
2026-03-28T06:25:41.724000+00:00,11249,3,1281,468.4,7,,468.4
2026-03-28T06:25:49.924000+00:00,11249,6,1281,466.1,7,,466.1
2026-03-28T06:26:22.109000+00:00,11249,41,1281,390.4,10,,390.4
2026-03-28T06:26:27.876000+00:00,11249,27,1281,355.7,9,,355.7
2026-03-28T06:26:30.386000+00:00,11249,30,1281,380.5,10,,380.5
2026-03-28T06:26:35.661000+00:00,11249,5,1281,349.6,9,,349.6
2026-03-28T06:26:39.241000+00:00,11249,55,1281,412.6,10,,412.6
2026-03-28T06:26:51.071000+00:00,11249,43,1281,350.9,7,,350.9
2026-03-28T06:27:08.623000+00:00,11249,10,1281,370.1,7,,370.1
2026-03-28T06:27:18.658000+00:00,11249,31,1281,474.7,10,,474.7
2026-03-28T06:27:31.332000+00:00,11249,81,1281,380.4,9,,380.4
2026-03-28T06:27:51.161000+00:00,11249,1,1281,424.3,9,,424.3
2026-03-28T06:31:59.238000+00:00,11249,63,1281,107.2,10,,107.2
2026-03-28T06:33:35.706000+00:00,11249,44,1281,191.9,10,,191.9
2026-03-28T06:33:41.341000+00:00,11249,16,1281,188.8,10,,188.8
2026-03-28T06:35:24.134000+00:00,11249,3,1281,283.8,10,,283.8
2026-03-28T06:35:30.302000+00:00,11249,6,1281,275.1,10,,275.1
2026-03-28T06:35:35.341000+00:00,11249,1,1281,161.9,12,,161.9
2026-03-28T06:35:39.127000+00:00,11249,81,1281,176.1,12,,176.1
2026-03-28T06:35:42.243000+00:00,11249,31,1281,185.1,13,,185.1
2026-03-28T06:35:58.469000+00:00,11249,10,1281,203.1,10,,203.1
2026-03-28T06:36:09.822000+00:00,11249,27,1281,276.9,12,,276.9
2026-03-28T06:36:16.463000+00:00,11249,43,1281,244.7,10,,244.7
2026-03-28T06:36:22.009000+00:00,11249,5,1281,260.2,12,,260.2
2026-03-28T06:36:30.625000+00:00,11249,41,1281,305.3,13,,305.3
2026-03-28T06:36:37.742000+00:00,11249,55,1281,274.5,13,,274.5
2026-03-28T06:36:46.132000+00:00,11249,30,1281,298.9,13,,298.9
2026-03-28T06:36:55.284000+00:00,11249,12,1281,416.0,7,,416.0
2026-03-28T06:47:23.111000+00:00,11249,12,1281,308.0,10,,308.0
2026-03-28T06:47:29.430000+00:00,11249,63,1281,301.7,16,,301.7
2026-03-28T06:47:34.622000+00:00,11249,5,1281,353.1,15,,353.1
