date,session_key,pit_duration,meeting_key,driver_number,stop_duration,lane_duration,lap_number
2026-05-01T16:00:08.652000+00:00,11270,,1284,55,,,1
2026-05-01T16:00:17.292000+00:00,11270,,1284,16,,,1
2026-05-01T16:00:21.136000+00:00,11270,,1284,44,,,1
2026-05-01T16:00:39.292000+00:00,11270,,1284,30,,,1
2026-05-01T16:00:52.311000+00:00,11270,,1284,31,,,1
2026-05-01T16:00:56.873000+00:00,11270,,1284,87,,,1
2026-05-01T16:01:07.186000+00:00,11270,,1284,41,,,1
2026-05-01T16:01:18.295000+00:00,11270,,1284,1,,,1
2026-05-01T16:01:23.495000+00:00,11270,,1284,23,,,1
2026-05-01T16:01:28.158000+00:00,11270,,1284,3,,,1
2026-05-01T16:01:33.891000+00:00,11270,,1284,5,,,1
2026-05-01T16:01:39.422000+00:00,11270,,1284,6,,,1
2026-05-01T16:02:10.758000+00:00,11270,,1284,27,,,1
2026-05-01T16:03:42.485000+00:00,11270,,1284,81,,,1
2026-05-01T16:03:53.349000+00:00,11270,,1284,77,,,1
2026-05-01T16:04:17.058000+00:00,11270,,1284,11,,,1
2026-05-01T16:05:43.280000+00:00,11270,,1284,63,,,1
2026-05-01T16:06:10.514000+00:00,11270,,1284,12,,,1
2026-05-01T16:08:03.052000+00:00,11270,,1284,43,,,1
2026-05-01T16:08:27.395000+00:00,11270,,1284,10,,,1
2026-05-01T16:11:57.874000+00:00,11270,28.3,1284,63,,28.3,4
2026-05-01T16:12:24.819000+00:00,11270,43.4,1284,6,,43.4,6
2026-05-01T16:12:36.885000+00:00,11270,26.9,1284,12,,26.9,4
2026-05-01T16:17:17.177000+00:00,11270,26.6,1284,77,,26.6,8
2026-05-01T16:17:34.557000+00:00,11270,30.5,1284,55,,30.5,10
2026-05-01T16:18:57.414000+00:00,11270,25.8,1284,23,,25.8,10
2026-05-01T16:19:18.441000+00:00,11270,44.5,1284,31,,44.5,10
2026-05-01T16:19:35.089000+00:00,11270,53.3,1284,12,,53.3,7
2026-05-01T16:20:06.791000+00:00,11270,62.4,1284,87,,62.4,10
2026-05-01T16:20:32.173000+00:00,11270,38.4,1284,16,,38.4,11
2026-05-01T16:22:07.439000+00:00,11270,458.7,1284,3,,458.7,8
2026-05-01T16:22:13.092000+00:00,11270,35.1,1284,30,,35.1,12
2026-05-01T16:22:16.457000+00:00,11270,,1284,18,,,1
2026-05-01T16:22:26.391000+00:00,11270,,1284,14,,,1
2026-05-01T16:22:44.274000+00:00,11270,395.7,1284,63,,395.7,6
2026-05-01T16:24:58.605000+00:00,11270,44.1,1284,14,,44.1,2
2026-05-01T16:25:03.402000+00:00,11270,45.9,1284,18,,45.9,2
2026-05-01T16:25:33.774000+00:00,11270,460.2,1284,6,,460.2,9
2026-05-01T16:27:49.610000+00:00,11270,27.1,1284,3,,27.1,11
2026-05-01T16:29:31.675000+00:00,11270,630.8,1284,1,,630.8,10
2026-05-01T16:30:38.431000+00:00,11270,48.2,1284,43,,48.2,12
2026-05-01T16:30:45.258000+00:00,11270,665.7,1284,27,,665.7,10
2026-05-01T16:30:52.874000+00:00,11270,504.9,1284,23,,504.9,12
2026-05-01T16:31:36.158000+00:00,11270,641.8,1284,44,,641.8,11
2026-05-01T16:32:32.242000+00:00,11270,675.8,1284,81,,675.8,10
2026-05-01T16:33:49.913000+00:00,11270,547.7,1284,12,,547.7,10
2026-05-01T16:34:24.861000+00:00,11270,483.3,1284,16,,483.3,14
2026-05-01T16:34:47.693000+00:00,11270,816.8,1284,55,,816.8,12
2026-05-01T16:35:49.950000+00:00,11270,491.2,1284,30,,491.2,15
2026-05-01T16:35:54.393000+00:00,11270,596.7,1284,87,,596.7,13
2026-05-01T16:36:55.449000+00:00,11270,412.0,1284,41,,412.0,16
2026-05-01T16:39:18.459000+00:00,11270,642.1,1284,10,,642.1,11
2026-05-01T16:39:47.988000+00:00,11270,19.5,1284,44,,19.5,15
2026-05-01T16:40:33.354000+00:00,11270,393.7,1284,63,,393.7,12
2026-05-01T16:40:37.539000+00:00,11270,1067.4,1284,77,,1067.4,11
2026-05-01T16:41:01.203000+00:00,11270,961.2,1284,31,,961.2,13
2026-05-01T16:41:05.140000+00:00,11270,488.7,1284,3,,488.7,14
2026-05-01T16:42:47.630000+00:00,11270,368.1,1284,6,,368.1,15
2026-05-01T16:44:42.409000+00:00,11270,36.8,1284,55,,36.8,17
2026-05-01T16:46:30.302000+00:00,11270,537.7,1284,14,,537.7,9
2026-05-01T16:46:37.686000+00:00,11270,431.1,1284,18,,431.1,10
2026-05-01T16:47:52.570000+00:00,11270,26.1,1284,23,,26.1,21
2026-05-01T16:50:23.209000+00:00,11270,1085.8,1284,43,,1085.8,13
2026-05-01T16:51:24.599000+00:00,11270,2008.1,1284,11,,2008.1,8
2026-05-01T16:52:06.747000+00:00,11270,599.6,1284,27,,599.6,16
2026-05-01T16:52:14.013000+00:00,11270,409.9,1284,16,,409.9,20
2026-05-01T16:52:16.518000+00:00,11270,385.9,1284,44,,385.9,18
2026-05-01T16:53:16.850000+00:00,11270,688.0,1284,81,,688.0,15
