position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,12,17,False,False,False,"[88.653, 88.289, 87.798]","[0.0, 0.173, 0.0]",1284,11276
2.0,3,15,False,False,False,"[89.099, 88.116, 87.964]","[0.446, 0.0, 0.166]",1284,11276
3.0,16,21,False,False,False,"[88.938, 88.315, 88.143]","[0.285, 0.199, 0.345]",1284,11276
4.0,1,20,False,False,False,"[89.183, 88.92, 88.183]","[0.53, 0.804, 0.385]",1284,11276
5.0,63,18,False,False,False,"[89.492, 88.477, 88.197]","[0.839, 0.361, 0.399]",1284,11276
6.0,44,21,False,False,False,"[89.483, 88.477, 88.319]","[0.83, 0.361, 0.521]",1284,11276
7.0,81,20,False,False,False,"[89.92, 88.332, 88.5]","[1.267, 0.216, 0.702]",1284,11276
8.0,43,19,False,False,False,"[89.584, 88.975, 88.762]","[0.931, 0.859, 0.964]",1284,11276
9.0,10,20,False,False,False,"[89.914, 89.07, 88.81]","[1.261, 0.954, 1.012]",1284,11276
10.0,27,14,False,False,False,"[89.645, 89.439, None]","[0.992, 1.323, None]",1284,11276
11.0,30,14,False,False,False,"[89.595, 89.499, None]","[0.942, 1.383, None]",1284,11276
12.0,87,12,False,False,False,"[89.34, 89.567, None]","[0.687, 1.451, None]",1284,11276
13.0,55,15,False,False,False,"[89.54, 89.568, None]","[0.887, 1.452, None]",1284,11276
14.0,31,15,False,False,False,"[89.838, 89.772, None]","[1.185, 1.656, None]",1284,11276
15.0,23,15,False,False,False,"[89.72, 89.946, None]","[1.067, 1.83, None]",1284,11276
16.0,41,9,False,False,False,"[90.133, None, None]","[1.48, None, None]",1284,11276
17.0,14,8,False,False,False,"[91.098, None, None]","[2.445, None, None]",1284,11276
18.0,18,9,False,False,False,"[91.164, None, None]","[2.511, None, None]",1284,11276
19.0,77,9,False,False,False,"[91.629, None, None]","[2.976, None, None]",1284,11276
20.0,11,9,False,False,False,"[91.967, None, None]","[3.314, None, None]",1284,11276
21.0,5,3,False,False,False,"[93.737, None, None]","[5.084, None, None]",1284,11276
,6,0,False,False,False,"[None, 88.941, 88.789]","[None, 0.825, 0.991]",1284,11276
