date,session_key,lap_number,driver_number,stop_duration,lane_duration,pit_duration,meeting_key
2026-05-03T17:06:24.855000+00:00,11280,1,27,12.7,33.71,33.71,1284
2026-05-03T17:14:40.156000+00:00,11280,6,3,2.4,22.547,22.547,1284
2026-05-03T17:15:01.436000+00:00,11280,6,77,3.0,23.529,23.529,1284
2026-05-03T17:40:30.702000+00:00,11280,20,63,,22.0,22.0,1284
2026-05-03T17:42:03.129000+00:00,11280,21,16,3.7,23.386,23.386,1284
2026-05-03T17:42:42.184000+00:00,11280,21,77,3.3,23.827,23.827,1284
2026-05-03T17:42:43.220000+00:00,11280,21,18,2.8,22.63,22.63,1284
2026-05-03T17:49:41.487000+00:00,11280,26,12,2.2,22.128,22.128,1284
2026-05-03T17:50:16.658000+00:00,11280,26,87,4.6,23.474,23.474,1284
2026-05-03T17:51:13.396000+00:00,11280,27,1,2.8,22.565,22.565,1284
2026-05-03T17:51:33.718000+00:00,11280,27,44,3.8,23.779,23.779,1284
2026-05-03T17:51:49.624000+00:00,11280,27,23,3.3,23.016,23.016,1284
2026-05-03T17:53:01.295000+00:00,11280,28,81,3.4,23.024,23.024,1284
2026-05-03T17:53:22.109000+00:00,11280,28,55,4.2,23.595,23.595,1284
2026-05-03T17:53:42.425000+00:00,11280,28,41,2.5,22.731,22.731,1284
2026-05-03T17:55:29.195000+00:00,11280,29,11,,23.2,23.2,1284
2026-05-03T17:57:25.955000+00:00,11280,30,77,,17.1,17.1,1284
2026-05-03T17:57:54.710000+00:00,11280,31,43,2.9,23.093,23.093,1284
2026-05-03T17:58:16.484000+00:00,11280,31,31,3.9,24.027,24.027,1284
2026-05-03T17:59:55.617000+00:00,11280,32,5,3.1,23.986,23.986,1284
2026-05-03T18:08:38.349000+00:00,11280,37,18,2.8,22.09,22.09,1284
2026-05-03T18:14:48.371000+00:00,11280,41,14,3.1,23.16,23.16,1284
