date,session_key,lap_number,driver_number,lane_duration,meeting_key,pit_duration,stop_duration
2026-05-22T16:30:03.126000+00:00,11281,1,27,,1285,,
2026-05-22T16:30:07.101000+00:00,11281,1,41,,1285,,
2026-05-22T16:30:09.825000+00:00,11281,1,5,,1285,,
2026-05-22T16:30:15.739000+00:00,11281,1,14,,1285,,
2026-05-22T16:30:19.188000+00:00,11281,1,11,,1285,,
2026-05-22T16:30:22.124000+00:00,11281,1,87,,1285,,
2026-05-22T16:30:26.112000+00:00,11281,1,31,,1285,,
2026-05-22T16:30:32.706000+00:00,11281,1,81,,1285,,
2026-05-22T16:30:33.277000+00:00,11281,1,55,,1285,,
2026-05-22T16:30:35.779000+00:00,11281,1,23,,1285,,
2026-05-22T16:30:39.681000+00:00,11281,1,18,,1285,,
2026-05-22T16:31:00.735000+00:00,11281,1,44,,1285,,
2026-05-22T16:31:08.765000+00:00,11281,1,30,,1285,,
2026-05-22T16:31:12.992000+00:00,11281,1,43,,1285,,
2026-05-22T16:31:15.143000+00:00,11281,1,10,,1285,,
2026-05-22T16:31:20.632000+00:00,11281,1,12,,1285,,
2026-05-22T16:31:23.860000+00:00,11281,1,16,,1285,,
2026-05-22T16:31:28.883000+00:00,11281,1,3,,1285,,
2026-05-22T16:31:32.753000+00:00,11281,1,6,,1285,,
2026-05-22T16:31:47.032000+00:00,11281,1,1,,1285,,
2026-05-22T16:31:48.928000+00:00,11281,1,77,,1285,,
2026-05-22T16:31:51.734000+00:00,11281,1,63,,1285,,
2026-05-22T16:32:21.989000+00:00,11281,2,14,39.5,1285,39.5,
2026-05-22T16:33:31.707000+00:00,11281,2,18,63.9,1285,63.9,
2026-05-22T16:39:26.876000+00:00,11281,6,3,41.0,1285,41.0,
2026-05-22T16:40:18.915000+00:00,11281,7,55,27.1,1285,27.1,
2026-05-22T16:41:00.676000+00:00,11281,6,1,36.7,1285,36.7,
2026-05-22T16:46:04.159000+00:00,11281,6,81,470.4,1285,470.4,
2026-05-22T16:46:05.528000+00:00,11281,7,5,347.9,1285,347.9,
2026-05-22T16:46:07.740000+00:00,11281,8,23,,1285,,
2026-05-22T16:46:12.998000+00:00,11281,7,63,,1285,,
2026-05-22T16:46:25.330000+00:00,11281,8,55,393.5,1285,393.5,
2026-05-22T16:46:42.615000+00:00,11281,6,27,506.3,1285,506.3,
2026-05-22T16:48:29.149000+00:00,11281,7,12,,1285,,
2026-05-22T16:48:55.702000+00:00,11281,8,16,,1285,,
2026-05-22T16:49:09.400000+00:00,11281,7,44,517.0,1285,517.0,
2026-05-22T16:49:30.582000+00:00,11281,4,31,835.2,1285,835.2,
2026-05-22T16:49:53.626000+00:00,11281,8,14,1091.1,1285,1091.1,
2026-05-22T16:49:58.277000+00:00,11281,7,1,574.4,1285,574.4,
2026-05-22T16:51:02.581000+00:00,11281,4,87,935.5,1285,935.5,
2026-05-22T16:51:10.358000+00:00,11281,5,31,18.3,1285,18.3,
2026-05-22T16:52:11.987000+00:00,11281,8,18,1184.1,1285,1184.1,
2026-05-22T16:52:35.626000+00:00,11281,8,11,,1285,,
2026-05-22T16:52:56.978000+00:00,11281,8,41,,1285,,
2026-05-22T16:54:26.475000+00:00,11281,7,77,,1285,,
2026-05-22T16:55:58.165000+00:00,11281,8,3,1032.0,1285,1032.0,
