meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1285,11287,2026-05-23T20:00:00.077000+00:00,,,SessionStatus,,,,,SESSION STARTED
1285,11287,2026-05-23T20:00:00+00:00,,,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1285,11287,2026-05-23T20:01:50+00:00,,,Other,,,,,INCIDENT INVOLVING CAR 14 (ALO) NOTED - UNSAFE RELEASE (15:59:18)
1285,11287,2026-05-23T20:03:02+00:00,,,Other,,,,,INCIDENT INVOLVING CAR 18 (STR) NOTED - UNSAFE CONDITION
1285,11287,2026-05-23T20:03:33+00:00,,,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 14 (ALO) WILL BE INVESTIGATED AFTER THE SESSION - UNSAFE RELEASE (15:59:18)
1285,11287,2026-05-23T20:05:59+00:00,,,Other,,,,,TURN 13 INCIDENT INVOLVING CARS 11 (PER) AND 14 (ALO) NOTED (16:03:41)
1285,11287,2026-05-23T20:06:55+00:00,,,Other,,,,,FIA STEWARDS: INCIDENT INVOLVING CAR 18 (STR) WILL BE INVESTIGATED AFTER THE SESSION - UNSAFE CONDITION
1285,11287,2026-05-23T20:07:24+00:00,,,Other,,,,,CAR 16 (LEC) TIME 1:16.346 DELETED - TRACK LIMITS AT TURN 14 LAP 4 16:06:29
1285,11287,2026-05-23T20:07:57+00:00,,,Other,,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 13
1285,11287,2026-05-23T20:09:03+00:00,,,Other,,,,,CAR 27 (HUL) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 6 16:07:37 (PIT)
1285,11287,2026-05-23T20:09:40+00:00,,,Other,,,,,CAR 5 (BOR) TIME 1:19.122 DELETED - TRACK LIMITS AT TURN 4 LAP 6 16:08:01
1285,11287,2026-05-23T20:11:16+00:00,,,Other,,,,,UPDATE: TURN 13 INCIDENT INVOLVING CAR 11 (PER) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (16:03:41)
1285,11287,2026-05-23T20:11:36+00:00,,,Other,,,,,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CAR 11 (PER) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS (16:03:41)
1285,11287,2026-05-23T20:13:09+00:00,,,Flag,CLEAR,Sector,13.0,,CLEAR IN TRACK SECTOR 13
1285,11287,2026-05-23T20:14:13+00:00,,,Other,,,,,TURN 8 INCIDENT INVOLVING CARS 44 (HAM) AND 10 (GAS) NOTED - IMPEDING (16:04:24)
1285,11287,2026-05-23T20:15:26+00:00,,,Other,,,,,CAR 44 (HAM) TIME 1:30.923 DELETED - TRACK LIMITS AT TURN 1 LAP 10 16:13:55
1285,11287,2026-05-23T20:16:26+00:00,,,Other,,,,,CAR 77 (BOT) TIME 1:42.934 DELETED - TRACK LIMITS AT TURN 1 LAP 10 16:14:45
1285,11287,2026-05-23T20:17:30+00:00,,,Other,,,,,CAR 41 (LIN) TIME 1:14.785 DELETED - TRACK LIMITS AT TURN 14 LAP 12 16:16:36
1285,11287,2026-05-23T20:18:00.074000+00:00,,,SessionStatus,,,,,SESSION FINISHED
1285,11287,2026-05-23T20:18:00+00:00,,,Flag,CHEQUERED,Track,,,CHEQUERED FLAG
1285,11287,2026-05-23T20:18:13+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 81 (PIA)
1285,11287,2026-05-23T20:18:18+00:00,,,Other,,,,,CAR 41 (LIN) LAP DELETED - TRACK LIMITS AT TURN 14 (NEXT LAP PIT)
1285,11287,2026-05-23T20:18:34+00:00,,,Other,,,,,CAR 81 (PIA) TIME 1:16.976 DELETED - TRACK LIMITS AT TURN 14 LAP 11 16:17:57
