meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1285,11287,1,41,1,4,SOFT,6
1285,11287,1,23,1,6,SOFT,0
1285,11287,1,1,1,4,SOFT,5
1285,11287,1,10,1,5,SOFT,0
1285,11287,1,43,1,4,SOFT,0
1285,11287,1,30,1,6,SOFT,0
1285,11287,1,87,1,6,SOFT,0
1285,11287,1,81,1,5,SOFT,5
1285,11287,1,31,1,6,SOFT,0
1285,11287,1,55,1,6,SOFT,0
1285,11287,1,14,1,5,SOFT,0
1285,11287,1,18,1,5,SOFT,0
1285,11287,1,27,1,5,SOFT,0
1285,11287,1,77,1,6,SOFT,0
1285,11287,1,5,1,6,SOFT,0
1285,11287,1,11,1,6,SOFT,0
1285,11287,2,77,7,10,SOFT,0
1285,11287,2,18,6,10,SOFT,0
1285,11287,2,11,7,11,SOFT,0
1285,11287,2,23,7,13,SOFT,0
1285,11287,2,31,7,12,SOFT,0
1285,11287,2,14,6,11,SOFT,0
1285,11287,2,10,6,10,SOFT,0
1285,11287,2,43,5,10,SOFT,0
1285,11287,2,81,6,11,SOFT,10
1285,11287,2,1,5,10,SOFT,0
1285,11287,2,30,7,12,SOFT,0
1285,11287,2,55,7,12,SOFT,0
1285,11287,2,87,7,12,SOFT,0
1285,11287,1,44,1,11,SOFT,5
1285,11287,1,16,1,11,SOFT,5
1285,11287,1,3,1,5,SOFT,4
1285,11287,1,6,1,5,SOFT,5
1285,11287,2,5,7,12,SOFT,0
1285,11287,1,63,1,6,SOFT,6
1285,11287,1,12,1,6,SOFT,5
1285,11287,2,27,6,11,SOFT,0
1285,11287,3,55,13,13,SOFT,6
1285,11287,2,41,5,12,SOFT,0
1285,11287,3,30,13,16,SOFT,0
1285,11287,3,27,12,15,SOFT,0
1285,11287,3,5,13,16,SOFT,0
1285,11287,3,43,11,14,SOFT,0
1285,11287,3,10,11,14,SOFT,0
1285,11287,2,63,7,10,SOFT,0
1285,11287,2,12,7,10,SOFT,0
1285,11287,3,87,13,17,SOFT,0
1285,11287,3,81,12,16,SOFT,0
1285,11287,2,44,12,16,SOFT,0
1285,11287,2,3,6,10,SOFT,0
1285,11287,2,6,6,10,SOFT,0
1285,11287,3,1,11,16,SOFT,0
1285,11287,4,55,14,17,SOFT,0
1285,11287,3,41,13,16,SOFT,0
1285,11287,2,16,12,17,SOFT,0
1285,11287,4,30,17,22,SOFT,0
1285,11287,4,27,16,21,SOFT,0
1285,11287,4,87,18,22,SOFT,0
1285,11287,5,55,18,21,SOFT,0
1285,11287,4,5,17,22,SOFT,0
1285,11287,4,10,15,20,SOFT,0
1285,11287,3,3,11,14,SOFT,0
1285,11287,3,6,11,14,SOFT,0
1285,11287,4,81,17,21,UNKNOWN,0
1285,11287,4,1,17,20,SOFT,0
1285,11287,3,44,17,20,SOFT,0
1285,11287,3,16,18,21,SOFT,0
1285,11287,4,41,17,20,SOFT,0
1285,11287,3,63,11,15,SOFT,0
1285,11287,3,12,11,16,SOFT,0
1285,11287,4,43,15,19,SOFT,0
1285,11287,4,63,16,18,SOFT,0
1285,11287,4,3,15,18,SOFT,0
1285,11287,5,41,21,24,SOFT,4
1285,11287,4,12,17,20,SOFT,0
1285,11287,4,16,22,25,SOFT,0
1285,11287,4,44,21,24,SOFT,0
1285,11287,5,1,21,24,SOFT,0
1285,11287,5,81,22,25,SOFT,0
1285,11287,4,6,15,18,SOFT,0
1285,11287,5,43,20,23,SOFT,0
1285,11287,5,44,25,27,SOFT,0
1285,11287,6,41,25,28,SOFT,0
1285,11287,5,12,21,24,SOFT,0
1285,11287,5,16,26,29,SOFT,0
1285,11287,6,1,25,28,SOFT,0
1285,11287,6,81,26,29,SOFT,0
1285,11287,5,6,19,22,SOFT,0
1285,11287,6,43,24,27,SOFT,0
1285,11287,5,63,19,24,SOFT,0
1285,11287,5,3,19,23,SOFT,0
