meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1285,11291,41,1,2026-05-24T20:09:47.754000+00:00,,,,,,False,,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 0, 0]",
1285,11291,1,1,2026-05-24T20:09:47.754000+00:00,28.629,26.091,32.008,240.0,274.0,False,86.728,"[2049, 2051, 2049, 2051, 2051, 2051]","[2051, 2049, 2049, 2051, 2051, 2049]","[2051, 2049, 2049, 2049, 2049, 2051, 2051, 2051]",298.0
1285,11291,12,1,2026-05-24T20:09:47.754000+00:00,29.596,26.222,31.942,236.0,283.0,False,87.76,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",310.0
1285,11291,63,1,2026-05-24T20:09:47.754000+00:00,30.362,26.419,31.635,234.0,285.0,False,88.416,"[2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]",315.0
1285,11291,44,1,2026-05-24T20:09:47.754000+00:00,30.638,26.605,31.751,227.0,294.0,False,88.994,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",319.0
1285,11291,3,1,2026-05-24T20:09:47.754000+00:00,31.22,26.974,32.019,232.0,280.0,False,90.213,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 0]",321.0
1285,11291,16,1,2026-05-24T20:09:47.754000+00:00,31.759,26.992,32.102,213.0,292.0,False,90.853,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051]",317.0
1285,11291,6,1,2026-05-24T20:09:47.754000+00:00,32.409,27.319,32.188,226.0,281.0,False,91.916,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",318.0
1285,11291,43,1,2026-05-24T20:09:47.754000+00:00,32.679,27.483,32.879,226.0,283.0,False,93.041,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",314.0
1285,11291,30,1,2026-05-24T20:09:47.754000+00:00,33.007,27.456,33.078,215.0,283.0,False,93.541,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 0]",314.0
