date,session_key,meeting_key,lane_duration,lap_number,driver_number,stop_duration,pit_duration
2026-05-24T20:11:35.201000+00:00,11291,1285,24.1,1,81,,24.1
2026-05-24T20:12:53.655000+00:00,11291,1285,23.4,2,1,,23.4
2026-05-24T20:13:06.553000+00:00,11291,1285,24.9,2,27,,24.9
2026-05-24T20:13:10.208000+00:00,11291,1285,24.7,2,55,,24.7
2026-05-24T20:13:12.614000+00:00,11291,1285,28.1,2,5,,28.1
2026-05-24T20:13:13.091000+00:00,11291,1285,25.7,2,11,,25.7
2026-05-24T20:14:43.855000+00:00,11291,1285,28.2,3,77,,28.2
2026-05-24T20:23:13.509000+00:00,11291,1285,24.8,9,77,,24.8
2026-05-24T20:26:37.176000+00:00,11291,1285,36.6,12,81,,36.6
2026-05-24T20:29:29.471000+00:00,11291,1285,24.2,14,18,,24.2
2026-05-24T20:30:15.392000+00:00,11291,1285,28.8,15,1,,28.8
2026-05-24T20:30:47.863000+00:00,11291,1285,25.1,15,11,,25.1
2026-05-24T20:31:52.896000+00:00,11291,1285,24.8,16,31,,24.8
2026-05-24T20:34:34.135000+00:00,11291,1285,24.7,18,5,,24.7
2026-05-24T20:37:09.895000+00:00,11291,1285,31.0,20,27,,31.0
2026-05-24T20:37:15.069000+00:00,11291,1285,24.7,20,14,,24.7
2026-05-24T20:49:34.153000+00:00,11291,1285,25.6,30,43,,25.6
2026-05-24T20:49:46.801000+00:00,11291,1285,24.9,29,11,,24.9
2026-05-24T20:49:47.971000+00:00,11291,1285,24.1,30,30,,24.1
2026-05-24T20:49:55.410000+00:00,11291,1285,25.6,30,10,,25.6
2026-05-24T20:50:09.459000+00:00,11291,1285,25.6,30,55,,25.6
2026-05-24T20:50:16.912000+00:00,11291,1285,25.1,31,12,,25.1
2026-05-24T20:50:19.553000+00:00,11291,1285,44.9,30,87,,44.9
2026-05-24T20:50:23.022000+00:00,11291,1285,25.1,31,3,,25.1
2026-05-24T20:50:34.865000+00:00,11291,1285,25.9,31,44,,25.9
2026-05-24T20:50:38.006000+00:00,11291,1285,24.9,31,6,,24.9
2026-05-24T20:50:40.850000+00:00,11291,1285,30.1,31,16,,30.1
2026-05-24T20:51:02.188000+00:00,11291,1285,24.4,29,77,,24.4
2026-05-24T20:51:29.219000+00:00,11291,1285,35.3,30,31,,35.3
2026-05-24T21:17:51.300000+00:00,11291,1285,24.1,49,18,,24.1
2026-05-24T21:18:25.134000+00:00,11291,1285,34.7,52,6,,34.7
2026-05-24T21:18:48.229000+00:00,11291,1285,31.1,49,77,,31.1
2026-05-24T21:18:50.366000+00:00,11291,1285,36.1,51,81,,36.1
2026-05-24T21:31:49.681000+00:00,11291,1285,34.8,62,6,,34.8
