meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1285,11291,2026-05-24T19:08:32+00:00,,1,Other,,,,,LIGHT BLUE HEAD PADDING MATERIAL MUST BE USED
1285,11291,2026-05-24T19:08:38+00:00,,1,Other,,,,,AWNINGS MAY BE USED
1285,11291,2026-05-24T19:20:01+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1285,11291,2026-05-24T19:29:48+00:00,,1,Other,,,,,AWNINGS TO BE REMOVED
1285,11291,2026-05-24T19:30:01+00:00,,1,Other,,,,,PIT EXIT CLOSED
1285,11291,2026-05-24T19:32:11+00:00,,1,Other,,,,,"FIA STEWARDS: INCIDENT INVOLVING CARS 5 (BOR), 77 (BOT) AND 10 (GAS) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME"
1285,11291,2026-05-24T19:32:16+00:00,,1,Other,,,,,"FIA STEWARDS: INCIDENT INVOLVING CARS 5 (BOR), 77 (BOT) AND 10 (GAS) WILL BE INVESTIGATED AFTER THE RACE - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME"
1285,11291,2026-05-24T19:45:07+00:00,,1,Other,,,,,RISK OF RAIN FOR THE F1 RACE IS 50%
1285,11291,2026-05-24T19:57:04+00:00,,1,Other,,,,,OVERTAKE DISABLED
1285,11291,2026-05-24T20:03:19+00:00,,1,Other,,,,,EXTRA FORMATION LAP
1285,11291,2026-05-24T20:04:39+00:00,,1,Flag,YELLOW,Sector,15.0,,YELLOW IN TRACK SECTOR 15
1285,11291,2026-05-24T20:05:50+00:00,,1,Flag,DOUBLE YELLOW,Sector,15.0,,DOUBLE YELLOW IN TRACK SECTOR 15
1285,11291,2026-05-24T20:06:36+00:00,,1,Other,,,,,EXTRA FORMATION LAP
1285,11291,2026-05-24T20:06:37+00:00,,1,Flag,CLEAR,Sector,15.0,,CLEAR IN TRACK SECTOR 15
1285,11291,2026-05-24T20:09:47.754000+00:00,,1,SessionStatus,,,,,SESSION STARTED
1285,11291,2026-05-24T20:09:48+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1285,11291,2026-05-24T20:11:04+00:00,,1,Other,,,,,OVERTAKE ENABLED
1285,11291,2026-05-24T20:12:54+00:00,,3,Other,,,,,INCIDENT INVOLVING CARS 77 (BOT) AND 18 (STR) NOTED - STARTING PROCEDURE INFRINGEMENT - OUT OF POSITION AT SAFETY CAR LINE
1285,11291,2026-05-24T20:13:25+00:00,,3,Other,,,,,INCIDENT INVOLVING CARS 30 (LAW) AND 27 (HUL) NOTED - STARTING PROCEDURE INFRINGEMENT - OUT OF POSITION AT SAFETY CAR LINE
1285,11291,2026-05-24T20:14:01+00:00,,4,Other,,,,,CAR 23 (ALB) TIME 1:25.514 DELETED - TRACK LIMITS AT TURN 14 LAP 2 16:12:46
1285,11291,2026-05-24T20:15:46+00:00,,5,Other,,,,,CAR 1 (NOR) TIME 1:21.170 DELETED - TRACK LIMITS AT TURN 4 LAP 4 16:14:33
