meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1285,11291,1,41,1,1,MEDIUM,0
1285,11291,1,81,1,0,INTERMEDIATE,0
1285,11291,1,1,1,1,INTERMEDIATE,0
1285,11291,1,27,1,1,INTERMEDIATE,0
1285,11291,1,5,1,1,INTERMEDIATE,0
1285,11291,1,11,1,1,INTERMEDIATE,0
1285,11291,1,55,1,1,INTERMEDIATE,0
1285,11291,1,77,1,2,INTERMEDIATE,0
1285,11291,2,77,3,8,SOFT,0
1285,11291,1,23,1,11,SOFT,0
1285,11291,2,81,1,11,MEDIUM,0
1285,11291,1,18,1,13,SOFT,0
1285,11291,2,1,2,14,MEDIUM,0
1285,11291,2,11,2,14,SOFT,0
1285,11291,1,31,1,15,SOFT,0
1285,11291,2,5,2,17,SOFT,0
1285,11291,2,27,2,19,SOFT,4
1285,11291,1,14,1,19,SOFT,0
1285,11291,2,14,20,23,SOFT,0
1285,11291,1,63,1,29,SOFT,3
1285,11291,1,43,1,29,MEDIUM,0
1285,11291,1,30,1,29,MEDIUM,0
1285,11291,3,11,15,28,MEDIUM,0
1285,11291,1,10,1,29,MEDIUM,0
1285,11291,2,55,2,29,MEDIUM,8
1285,11291,1,12,1,30,SOFT,4
1285,11291,1,87,1,29,SOFT,5
1285,11291,1,3,1,30,SOFT,5
1285,11291,1,44,1,30,SOFT,3
1285,11291,1,6,1,30,SOFT,4
1285,11291,1,16,1,30,SOFT,4
1285,11291,3,77,9,28,MEDIUM,0
1285,11291,2,31,16,29,MEDIUM,0
1285,11291,3,1,15,38,MEDIUM,3
1285,11291,4,11,29,39,SOFT,0
1285,11291,2,18,14,48,SOFT,0
1285,11291,2,6,31,51,MEDIUM,0
1285,11291,4,77,29,48,SOFT,0
1285,11291,3,81,12,50,MEDIUM,0
1285,11291,3,6,52,61,SOFT,4
1285,11291,2,12,31,68,MEDIUM,0
1285,11291,4,6,62,67,SOFT,14
1285,11291,2,44,31,68,MEDIUM,0
1285,11291,2,3,31,68,MEDIUM,0
1285,11291,4,81,51,66,SOFT,4
1285,11291,3,27,20,66,MEDIUM,0
1285,11291,3,5,18,66,MEDIUM,0
1285,11291,3,18,49,64,MEDIUM,0
1285,11291,2,43,30,67,HARD,0
1285,11291,2,30,30,67,SOFT,0
1285,11291,2,10,30,67,HARD,0
1285,11291,2,16,31,68,MEDIUM,0
1285,11291,5,77,49,64,MEDIUM,0
1285,11291,3,55,30,67,MEDIUM,0
1285,11291,2,87,30,67,MEDIUM,0
1285,11291,3,31,30,66,SOFT,0
