date,session_key,lap_number,stop_duration,pit_duration,meeting_key,lane_duration,driver_number
2026-06-05T15:00:03.259000+00:00,11293,1,,,1286,,63
2026-06-05T15:00:08.377000+00:00,11293,1,,,1286,,3
2026-06-05T15:00:13.815000+00:00,11293,1,,,1286,,10
2026-06-05T15:00:20.044000+00:00,11293,1,,,1286,,27
2026-06-05T15:00:25.393000+00:00,11293,1,,,1286,,41
2026-06-05T15:00:30.169000+00:00,11293,1,,,1286,,5
2026-06-05T15:00:34.748000+00:00,11293,1,,,1286,,30
2026-06-05T15:00:45.878000+00:00,11293,1,,,1286,,44
2026-06-05T15:00:52.482000+00:00,11293,1,,,1286,,43
2026-06-05T15:01:00.298000+00:00,11293,1,,,1286,,1
2026-06-05T15:01:06.784000+00:00,11293,1,,,1286,,16
2026-06-05T15:01:12.657000+00:00,11293,1,,,1286,,87
2026-06-05T15:01:20.164000+00:00,11293,1,,,1286,,12
2026-06-05T15:01:23.695000+00:00,11293,1,,,1286,,11
2026-06-05T15:01:26.320000+00:00,11293,1,,,1286,,77
2026-06-05T15:01:31.607000+00:00,11293,1,,,1286,,23
2026-06-05T15:01:35.656000+00:00,11293,1,,,1286,,31
2026-06-05T15:01:38.844000+00:00,11293,1,,,1286,,18
2026-06-05T15:01:48.414000+00:00,11293,1,,,1286,,14
2026-06-05T15:01:51.698000+00:00,11293,1,,,1286,,81
2026-06-05T15:02:05.104000+00:00,11293,1,,,1286,,55
2026-06-05T15:10:08.926000+00:00,11293,7,,38.0,1286,38.0,1
2026-06-05T15:11:04.651000+00:00,11293,1,,,1286,,6
2026-06-05T15:12:20.267000+00:00,11293,8,,20.9,1286,20.9,12
2026-06-05T15:14:23.542000+00:00,11293,10,,31.6,1286,31.6,5
2026-06-05T15:16:09.847000+00:00,11293,10,,19.8,1286,19.8,55
2026-06-05T15:16:55.039000+00:00,11293,9,,188.4,1286,188.4,14
2026-06-05T15:19:31.133000+00:00,11293,10,,336.5,1286,336.5,10
2026-06-05T15:21:09.694000+00:00,11293,4,,284.9,1286,284.9,6
2026-06-05T15:22:07.869000+00:00,11293,11,,474.6,1286,474.6,3
2026-06-05T15:22:13.291000+00:00,11293,11,,452.1,1286,452.1,27
2026-06-05T15:22:47.193000+00:00,11293,11,,311.5,1286,311.5,12
2026-06-05T15:23:00.461000+00:00,11293,12,,348.1,1286,348.1,63
2026-06-05T15:23:34.190000+00:00,11293,9,,569.7,1286,569.7,81
2026-06-05T15:23:51.707000+00:00,11293,12,,370.6,1286,370.6,5
2026-06-05T15:24:28.021000+00:00,11293,10,,583.1,1286,583.1,77
2026-06-05T15:24:36.025000+00:00,11293,11,,520.8,1286,520.8,43
2026-06-05T15:24:52.356000+00:00,11293,15,,199.3,1286,199.3,41
2026-06-05T15:26:29.005000+00:00,11293,15,,231.2,1286,231.2,87
2026-06-05T15:26:34.769000+00:00,11293,18,,31.6,1286,31.6,23
2026-06-05T15:26:40.435000+00:00,11293,16,,231.4,1286,231.4,30
2026-06-05T15:26:53.809000+00:00,11293,15,,239.6,1286,239.6,11
2026-06-05T15:27:37.769000+00:00,11293,16,,218.9,1286,218.9,31
2026-06-05T15:28:29.022000+00:00,11293,12,,41.3,1286,41.3,81
2026-06-05T15:29:09.189000+00:00,11293,15,,358.5,1286,358.5,55
2026-06-05T15:29:12.610000+00:00,11293,17,,290.4,1286,290.4,16
2026-06-05T15:31:26.465000+00:00,11293,16,,442.2,1286,442.2,18
2026-06-05T15:32:56.133000+00:00,11293,20,,209.2,1286,209.2,44
2026-06-05T15:35:48.463000+00:00,11293,16,,545.6,1286,545.6,14
2026-06-05T15:39:03.277000+00:00,11293,12,,407.1,1286,407.1,6
2026-06-05T15:40:18.354000+00:00,11293,21,,288.7,1286,288.7,3
2026-06-05T15:42:07.099000+00:00,11293,21,,350.1,1286,350.1,27
2026-06-05T15:43:46.644000+00:00,11293,27,,43.4,1286,43.4,44
2026-06-05T15:44:43.457000+00:00,11293,24,,308.0,1286,308.0,11
2026-06-05T15:45:02.871000+00:00,11293,21,,282.9,1286,282.9,77
2026-06-05T15:45:07.693000+00:00,11293,20,,320.0,1286,320.0,81
2026-06-05T15:46:08.645000+00:00,11293,26,,234.6,1286,234.6,87
2026-06-05T15:46:19.779000+00:00,11293,26,,249.1,1286,249.1,10
2026-06-05T15:46:31.592000+00:00,11293,25,,25.8,1286,25.8,11
2026-06-05T15:47:22.850000+00:00,11293,21,,476.9,1286,476.9,43
2026-06-05T15:48:09.880000+00:00,11293,26,,303.4,1286,303.4,63
2026-06-05T15:48:43.849000+00:00,11293,30,,319.4,1286,319.4,23
2026-06-05T15:50:19.860000+00:00,11293,27,,460.7,1286,460.7,31
2026-06-05T15:50:23.079000+00:00,11293,27,,264.3,1286,264.3,55
2026-06-05T15:50:37.344000+00:00,11293,27,,291.2,1286,291.2,12
2026-06-05T15:51:17.050000+00:00,11293,28,,287.6,1286,287.6,5
2026-06-05T15:51:24.738000+00:00,11293,24,,276.0,1286,276.0,14
2026-06-05T15:51:43.342000+00:00,11293,30,,312.4,1286,312.4,41
2026-06-05T15:52:08.163000+00:00,11293,29,,421.4,1286,421.4,30
2026-06-05T15:53:40.128000+00:00,11293,31,,29.9,1286,29.9,3
2026-06-05T15:54:08.206000+00:00,11293,31,,283.2,1286,283.2,44
2026-06-05T15:54:35.775000+00:00,11293,31,,301.4,1286,301.4,16
2026-06-05T15:54:52.807000+00:00,11293,20,,303.6,1286,303.6,6
2026-06-05T15:58:03.469000+00:00,11293,33,,952.8,1286,952.8,10
2026-06-05T15:58:06.271000+00:00,11293,32,,512.0,1286,512.0,16
2026-06-05T15:58:08.287000+00:00,11293,31,,698.8,1286,698.8,5
2026-06-05T15:58:10.856000+00:00,11293,31,,931.7,1286,931.7,31
2026-06-05T15:58:14.033000+00:00,11293,33,,960.0,1286,960.0,87
2026-06-05T15:58:16.024000+00:00,11293,35,,891.5,1286,891.5,23
2026-06-05T15:58:17.082000+00:00,11293,32,,532.0,1286,532.0,44
2026-06-05T15:58:18.543000+00:00,11293,33,,707.6,1286,707.6,41
2026-06-05T15:58:25.124000+00:00,11293,31,,1328.1,1286,1328.1,27
2026-06-05T15:58:28.587000+00:00,11293,27,,1142.6,1286,1142.6,43
2026-06-05T15:58:30.887000+00:00,11293,32,,804.0,1286,804.0,30
2026-06-05T15:58:32.888000+00:00,11293,31,,766.8,1286,766.8,12
2026-06-05T15:58:33.853000+00:00,11293,31,,755.0,1286,755.0,55
2026-06-05T15:58:36.924000+00:00,11293,28,,1129.2,1286,1129.2,81
2026-06-05T15:58:40.267000+00:00,11293,27,,711.6,1286,711.6,14
2026-06-05T15:58:44.509000+00:00,11293,32,,938.1,1286,938.1,63
2026-06-05T15:58:54.547000+00:00,11293,32,,344.4,1286,344.4,3
2026-06-05T15:59:12.944000+00:00,11293,21,,563.8,1286,563.8,6
