date,session_key,meeting_key,pit_duration,lap_number,stop_duration,driver_number,lane_duration
2026-06-06T10:30:22.595000+00:00,11294,1286,,1,,44,
2026-06-06T10:30:27.957000+00:00,11294,1286,,1,,77,
2026-06-06T10:30:37.909000+00:00,11294,1286,,1,,16,
2026-06-06T10:30:44.469000+00:00,11294,1286,,1,,18,
2026-06-06T10:31:06.452000+00:00,11294,1286,,1,,30,
2026-06-06T10:31:29.804000+00:00,11294,1286,,1,,14,
2026-06-06T10:34:03.904000+00:00,11294,1286,,1,,11,
2026-06-06T10:34:53.324000+00:00,11294,1286,,1,,43,
2026-06-06T10:36:01.561000+00:00,11294,1286,,1,,1,
2026-06-06T10:36:04.795000+00:00,11294,1286,,1,,41,
2026-06-06T10:36:32.014000+00:00,11294,1286,,1,,31,
2026-06-06T10:36:52.343000+00:00,11294,1286,,1,,5,
2026-06-06T10:38:31.474000+00:00,11294,1286,,1,,87,
2026-06-06T10:38:42.206000+00:00,11294,1286,,1,,55,
2026-06-06T10:39:14.522000+00:00,11294,1286,,1,,27,
2026-06-06T10:39:44.006000+00:00,11294,1286,,1,,10,
2026-06-06T10:39:54.022000+00:00,11294,1286,33.2,7,,30,33.2
2026-06-06T10:40:25.038000+00:00,11294,1286,,1,,3,
2026-06-06T10:40:34.100000+00:00,11294,1286,,1,,6,
2026-06-06T10:40:38.803000+00:00,11294,1286,,1,,63,
2026-06-06T10:41:38.193000+00:00,11294,1286,,1,,12,
2026-06-06T10:42:04.287000+00:00,11294,1286,,1,,23,
2026-06-06T10:42:21.662000+00:00,11294,1286,33.2,5,,41,33.2
2026-06-06T10:42:41.154000+00:00,11294,1286,,1,,81,
2026-06-06T10:46:02.792000+00:00,11294,1286,574.9,5,,77,574.9
2026-06-06T10:47:13.152000+00:00,11294,1286,28.3,8,,5,28.3
2026-06-06T10:47:37.872000+00:00,11294,1286,43.6,9,,1,43.6
2026-06-06T10:47:48.654000+00:00,11294,1286,28.2,6,,6,28.2
2026-06-06T10:48:29.060000+00:00,11294,1286,366.3,9,,18,366.3
2026-06-06T10:49:24.482000+00:00,11294,1286,320.9,10,,30,320.9
2026-06-06T10:50:44.555000+00:00,11294,1286,29.4,7,,12,29.4
2026-06-06T10:52:19.732000+00:00,11294,1286,313.3,6,,3,313.3
2026-06-06T10:53:19.318000+00:00,11294,1286,901.0,4,,11,901.0
2026-06-06T10:54:37.802000+00:00,11294,1286,26.9,18,,44,26.9
2026-06-06T10:55:38.585000+00:00,11294,1286,39.2,18,,16,39.2
2026-06-06T10:56:37.206000+00:00,11294,1286,587.1,12,,14,587.1
2026-06-06T10:56:46.448000+00:00,11294,1286,76.8,11,,63,76.8
2026-06-06T10:57:40.636000+00:00,11294,1286,45.5,11,,81,45.5
2026-06-06T10:59:03.800000+00:00,11294,1286,274.6,13,,41,274.6
2026-06-06T11:04:11.674000+00:00,11294,1286,31.5,20,,30,31.5
2026-06-06T11:05:43.736000+00:00,11294,1286,415.8,8,,11,415.8
2026-06-06T11:06:50.652000+00:00,11294,1286,478.7,13,,12,478.7
2026-06-06T11:06:57.746000+00:00,11294,1286,353.8,14,,63,353.8
2026-06-06T11:07:14.324000+00:00,11294,1286,681.0,13,,87,681.0
2026-06-06T11:07:23.261000+00:00,11294,1286,373.0,22,,16,373.0
2026-06-06T11:07:38.558000+00:00,11294,1286,695.9,14,,18,695.9
2026-06-06T11:07:43.793000+00:00,11294,1286,401.5,16,,6,401.5
2026-06-06T11:07:46.824000+00:00,11294,1286,757.3,14,,31,757.3
2026-06-06T11:07:52.152000+00:00,11294,1286,761.7,12,,27,761.7
2026-06-06T11:08:15.808000+00:00,11294,1286,457.4,22,,44,457.4
2026-06-06T11:08:18.043000+00:00,11294,1286,421.9,18,,5,421.9
2026-06-06T11:09:51.141000+00:00,11294,1286,376.3,18,,55,376.3
2026-06-06T11:09:59.022000+00:00,11294,1286,326.2,15,,3,326.2
2026-06-06T11:10:10.688000+00:00,11294,1286,693.6,17,,1,693.6
2026-06-06T11:11:32.953000+00:00,11294,1286,332.4,17,,23,332.4
2026-06-06T11:13:21.344000+00:00,11294,1286,332.0,20,,14,332.0
2026-06-06T11:13:25.141000+00:00,11294,1286,731.9,16,,10,731.9
2026-06-06T11:13:30.687000+00:00,11294,1286,364.7,19,,41,364.7
2026-06-06T11:13:36.688000+00:00,11294,1286,31.1,20,,6,31.1
2026-06-06T11:13:43.078000+00:00,11294,1286,535.7,16,,81,535.7
2026-06-06T11:14:40.064000+00:00,11294,1286,389.9,23,,30,389.9
2026-06-06T11:26:03.161000+00:00,11294,1286,1635.2,15,,11,1635.2
2026-06-06T11:26:07.426000+00:00,11294,1286,1722.8,13,,77,1722.8
2026-06-06T11:26:08.583000+00:00,11294,1286,1652.5,17,,43,1652.5
2026-06-06T11:26:11.005000+00:00,11294,1286,1497.7,18,,10,1497.7
2026-06-06T11:26:18.567000+00:00,11294,1286,1868.2,18,,27,1868.2
2026-06-06T11:26:25.536000+00:00,11294,1286,1509.4,23,,5,1509.4
2026-06-06T11:26:28.177000+00:00,11294,1286,1878.6,20,,31,1878.6
2026-06-06T11:26:37.286000+00:00,11294,1286,1127.6,22,,14,1127.6
2026-06-06T11:26:41.317000+00:00,11294,1286,1838.7,20,,18,1838.7
2026-06-06T11:26:47.583000+00:00,11294,1286,1161.6,20,,41,1161.6
2026-06-06T11:26:56.567000+00:00,11294,1286,1256.0,20,,23,1256.0
2026-06-06T11:26:57.833000+00:00,11294,1286,1403.0,22,,55,1403.0
2026-06-06T11:27:00.273000+00:00,11294,1286,1549.9,28,,16,1549.9
2026-06-06T11:27:02.487000+00:00,11294,1286,1349.8,19,,3,1349.8
2026-06-06T11:27:11.081000+00:00,11294,1286,845.4,21,,6,845.4
2026-06-06T11:27:15.893000+00:00,11294,1286,1145.8,24,,30,1145.8
2026-06-06T11:27:24.034000+00:00,11294,1286,1580.2,20,,63,1580.2
2026-06-06T11:27:31.831000+00:00,11294,1286,1613.4,27,,44,1613.4
2026-06-06T11:27:36.334000+00:00,11294,1286,1739.3,21,,1,1739.3
2026-06-06T11:27:39.409000+00:00,11294,1286,1372.1,17,,81,1372.1
2026-06-06T11:29:49.772000+00:00,11294,1286,1857.8,20,,12,1857.8
