position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,12,78,25.0,False,False,False,8611.243,0.0,1286,11299
2.0,44,78,18.0,False,False,False,8617.514,6.271,1286,11299
3.0,10,78,15.0,False,False,False,8631.612,20.369,1286,11299
4.0,6,78,12.0,False,False,False,8634.637,23.394,1286,11299
5.0,81,78,10.0,False,False,False,8635.504,24.261,1286,11299
6.0,30,78,8.0,False,False,False,8637.796,26.553,1286,11299
7.0,41,78,6.0,False,False,False,8640.253,29.01,1286,11299
8.0,23,78,4.0,False,False,False,8644.656,33.413,1286,11299
9.0,31,78,2.0,False,False,False,8648.383,37.14,1286,11299
10.0,14,78,1.0,False,False,False,8653.142,41.899,1286,11299
11.0,5,78,0.0,False,False,False,8653.991,42.748,1286,11299
12.0,63,78,0.0,False,False,False,8654.596,43.353,1286,11299
13.0,27,78,0.0,False,False,False,8655.345,44.102,1286,11299
14.0,43,78,0.0,False,False,False,8660.207,48.964,1286,11299
15.0,11,78,0.0,False,False,False,8660.396,49.153,1286,11299
16.0,55,70,0.0,True,False,False,,,1286,11299
,16,64,0.0,True,False,False,,,1286,11299
,18,56,0.0,True,False,False,,,1286,11299
,1,43,0.0,True,False,False,,,1286,11299
,87,27,0.0,True,False,False,,,1286,11299
,77,15,0.0,True,False,False,,,1286,11299
,3,0,0.0,True,False,False,,,1286,11299
