date,session_key,lap_number,stop_duration,lane_duration,driver_number,meeting_key,pit_duration
2026-06-12T11:30:03.205000+00:00,11300,1,,,43,1287,
2026-06-12T11:30:08.913000+00:00,11300,1,,,67,1287,
2026-06-12T11:30:09.835000+00:00,11300,1,,,87,1287,
2026-06-12T11:30:12.695000+00:00,11300,1,,,25,1287,
2026-06-12T11:30:41.244000+00:00,11300,1,,,77,1287,
2026-06-12T11:30:46.640000+00:00,11300,1,,,31,1287,
2026-06-12T11:30:52.095000+00:00,11300,1,,,36,1287,
2026-06-12T11:30:57.741000+00:00,11300,1,,,38,1287,
2026-06-12T11:30:58.832000+00:00,11300,1,,,97,1287,
2026-06-12T11:31:02.571000+00:00,11300,1,,,41,1287,
2026-06-12T11:31:04.909000+00:00,11300,1,,,10,1287,
2026-06-12T11:31:09.639000+00:00,11300,1,,,30,1287,
2026-06-12T11:31:13.197000+00:00,11300,1,,,16,1287,
2026-06-12T11:31:22.608000+00:00,11300,1,,,5,1287,
2026-06-12T11:31:24.080000+00:00,11300,1,,,3,1287,
2026-06-12T11:31:40.843000+00:00,11300,1,,,14,1287,
2026-06-12T11:31:52.347000+00:00,11300,1,,,81,1287,
2026-06-12T11:31:56.692000+00:00,11300,1,,,18,1287,
2026-06-12T11:32:31.350000+00:00,11300,2,,33.7,67,1287,33.7
2026-06-12T11:32:35.052000+00:00,11300,1,,,72,1287,
2026-06-12T11:33:28.910000+00:00,11300,1,,,63,1287,
2026-06-12T11:35:00.125000+00:00,11300,3,,44.0,67,1287,44.0
2026-06-12T11:35:12.590000+00:00,11300,1,,,55,1287,
2026-06-12T11:37:02.646000+00:00,11300,3,,149.1,10,1287,149.1
2026-06-12T11:37:08.366000+00:00,11300,2,,157.7,72,1287,157.7
2026-06-12T11:37:12.897000+00:00,11300,4,,27.8,67,1287,27.8
2026-06-12T11:38:21.057000+00:00,11300,5,,16.6,30,1287,16.6
2026-06-12T11:39:19.700000+00:00,11300,3,,341.9,87,1287,341.9
2026-06-12T11:39:30.189000+00:00,11300,5,,36.8,67,1287,36.8
2026-06-12T11:39:38.660000+00:00,11300,6,,16.8,41,1287,16.8
2026-06-12T11:40:35.948000+00:00,11300,6,,31.6,18,1287,31.6
2026-06-12T11:40:39.652000+00:00,11300,6,,81.0,3,1287,81.0
2026-06-12T11:41:33.393000+00:00,11300,3,,427.1,5,1287,427.1
2026-06-12T11:41:35.455000+00:00,11300,7,,36.3,31,1287,36.3
2026-06-12T11:41:40.177000+00:00,11300,7,,28.9,16,1287,28.9
2026-06-12T11:42:00.831000+00:00,11300,2,,307.6,55,1287,307.6
2026-06-12T11:42:22.668000+00:00,11300,4,,404.0,36,1287,404.0
2026-06-12T11:42:26.405000+00:00,11300,2,,595.4,77,1287,595.4
2026-06-12T11:42:40.439000+00:00,11300,3,,566.4,43,1287,566.4
2026-06-12T11:43:36.015000+00:00,11300,8,,16.6,30,1287,16.6
2026-06-12T11:45:16.834000+00:00,11300,9,,39.6,81,1287,39.6
2026-06-12T11:45:20.775000+00:00,11300,9,,33.0,41,1287,33.0
2026-06-12T11:46:47.554000+00:00,11300,6,,26.2,5,1287,26.2
2026-06-12T11:48:19.239000+00:00,11300,5,,51.1,77,1287,51.1
2026-06-12T11:48:48.933000+00:00,11300,3,,849.2,97,1287,849.2
2026-06-12T11:49:01.673000+00:00,11300,6,,468.2,67,1287,468.2
2026-06-12T11:51:24.239000+00:00,11300,7,,322.9,72,1287,322.9
2026-06-12T11:51:26.973000+00:00,11300,9,,35.2,87,1287,35.2
2026-06-12T11:52:03.679000+00:00,11300,9,,17.0,5,1287,17.0
2026-06-12T11:52:22.515000+00:00,11300,9,,434.5,16,1287,434.5
2026-06-12T11:52:40.201000+00:00,11300,12,,26.7,10,1287,26.7
2026-06-12T11:52:53.915000+00:00,11300,10,,543.2,38,1287,543.2
2026-06-12T11:53:07.152000+00:00,11300,9,,441.8,18,1287,441.8
2026-06-12T11:53:09.664000+00:00,11300,8,,610.1,14,1287,610.1
2026-06-12T11:54:13.476000+00:00,11300,9,,29.3,43,1287,29.3
2026-06-12T11:55:54.924000+00:00,11300,10,,25.0,55,1287,25.0
2026-06-12T11:57:27.161000+00:00,11300,12,,17.0,5,1287,17.0
2026-06-12T11:57:32.662000+00:00,11300,12,,29.2,16,1287,29.2
2026-06-12T11:57:54.865000+00:00,11300,10,,658.0,30,1287,658.0
2026-06-12T11:58:08.566000+00:00,11300,11,,550.5,3,1287,550.5
2026-06-12T11:58:12.538000+00:00,11300,12,,483.1,41,1287,483.1
2026-06-12T12:00:28.478000+00:00,11300,6,,879.8,36,1287,879.8
2026-06-12T12:01:23.751000+00:00,11300,7,,630.7,67,1287,630.7
2026-06-12T12:01:24.954000+00:00,11300,10,,727.0,63,1287,727.0
2026-06-12T12:03:18.218000+00:00,11300,12,,795.9,25,1287,795.9
2026-06-12T12:03:30.854000+00:00,11300,15,,518.5,81,1287,518.5
2026-06-12T12:03:34.600000+00:00,11300,14,,37.7,3,1287,37.7
2026-06-12T12:05:23.889000+00:00,11300,12,,507.1,87,1287,507.1
2026-06-12T12:05:28.288000+00:00,11300,16,,382.1,10,1287,382.1
2026-06-12T12:05:33.519000+00:00,11300,13,,796.9,31,1287,796.9
2026-06-12T12:05:43.657000+00:00,11300,13,,297.0,55,1287,297.0
2026-06-12T12:06:10.882000+00:00,11300,12,,402.9,43,1287,402.9
2026-06-12T12:06:26.405000+00:00,11300,15,,228.8,16,1287,228.8
2026-06-12T12:06:49.056000+00:00,11300,15,,213.7,41,1287,213.7
2026-06-12T12:08:47.082000+00:00,11300,18,,37.6,81,1287,37.6
2026-06-12T12:08:53.468000+00:00,11300,13,,479.2,14,1287,479.2
2026-06-12T12:09:07.088000+00:00,11300,13,,542.8,18,1287,542.8
2026-06-12T12:09:24.360000+00:00,11300,15,,28.9,25,1287,28.9
2026-06-12T12:10:25.801000+00:00,11300,14,,567.0,5,1287,567.0
2026-06-12T12:11:14.376000+00:00,11300,13,,305.5,63,1287,305.5
2026-06-12T12:11:20.468000+00:00,11300,15,,32.2,87,1287,32.2
2026-06-12T12:11:23.069000+00:00,11300,19,,16.6,10,1287,16.6
2026-06-12T12:11:29.946000+00:00,11300,15,,343.8,30,1287,343.8
2026-06-12T12:11:31.468000+00:00,11300,12,,435.1,97,1287,435.1
2026-06-12T12:11:56.192000+00:00,11300,18,,26.5,16,1287,26.5
2026-06-12T12:12:08.467000+00:00,11300,15,,19.1,43,1287,19.1
2026-06-12T12:12:19.341000+00:00,11300,16,,289.4,72,1287,289.4
2026-06-12T12:13:27.884000+00:00,11300,11,,888.0,77,1287,888.0
2026-06-12T12:14:21.757000+00:00,11300,16,,32.0,14,1287,32.0
2026-06-12T12:14:59.884000+00:00,11300,17,,392.8,3,1287,392.8
2026-06-12T12:15:15.769000+00:00,11300,19,,451.2,38,1287,451.2
2026-06-12T12:15:33.254000+00:00,11300,18,,238.8,41,1287,238.8
2026-06-12T12:15:45.920000+00:00,11300,17,,16.9,5,1287,16.9
