meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1287,11300,2026-06-12T11:17:16+00:00,,,Other,,,,,BLUE HEAD PADDING MATERIAL MUST BE USED
1287,11300,2026-06-12T11:30:00.071000+00:00,,,SessionStatus,,,,,SESSION STARTED
1287,11300,2026-06-12T11:30:00+00:00,,,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1287,11300,2026-06-12T11:30:54+00:00,,,Other,,,,,YELLOW IN PIT LANE
1287,11300,2026-06-12T11:34:30+00:00,,,Other,,,,,PIT LANE CLEAR
1287,11300,2026-06-12T11:46:56+00:00,,,Other,,,,,CAR 72 (VES) LAP DELETED - TRACK LIMITS AT TURN 1 LAP 7 13:44:33 (PIT)
1287,11300,2026-06-12T11:49:40+00:00,,,Other,,,,,TURN 10 INCIDENT INVOLVING CARS 55 (SAI) AND 30 (LAW) NOTED - IMPEDING (13:46:25)
1287,11300,2026-06-12T11:52:28+00:00,,,Other,,,,,CAR 77 (BOT) TIME 1:21.196 DELETED - TRACK LIMITS AT TURN 9 LAP 4 13:44:59
1287,11300,2026-06-12T11:53:55+00:00,,,Other,,,,,FIA STEWARDS: TURN 10 INCIDENT INVOLVING CARS 55 (SAI) AND 30 (LAW) REVIEWED NO FURTHER INVESTIGATION - IMPEDING (13:46:25)
1287,11300,2026-06-12T12:00:00+00:00,,,Flag,YELLOW,Sector,8.0,,YELLOW IN TRACK SECTOR 8
1287,11300,2026-06-12T12:00:02+00:00,,,Flag,YELLOW,Sector,9.0,,YELLOW IN TRACK SECTOR 9
1287,11300,2026-06-12T12:00:04+00:00,,,Flag,CLEAR,Sector,8.0,,CLEAR IN TRACK SECTOR 8
1287,11300,2026-06-12T12:00:05+00:00,,,Flag,CLEAR,Sector,9.0,,CLEAR IN TRACK SECTOR 9
1287,11300,2026-06-12T12:01:22+00:00,,,Other,,,,,CAR 5 (BOR) LAP DELETED - TRACK LIMITS AT TURN 8 LAP 14 13:59:55 (PIT)
1287,11300,2026-06-12T12:15:39+00:00,,,Other,,,,,CAR 5 (BOR) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 17 14:13:41 (PIT)
1287,11300,2026-06-12T12:25:46+00:00,,,Other,,,,,CAR 5 (BOR) TIME 1:22.802 DELETED - TRACK LIMITS AT TURN 2 LAP 23 14:24:26
1287,11300,2026-06-12T12:30:00.045000+00:00,,,SessionStatus,,,,,SESSION FINISHED
1287,11300,2026-06-12T12:30:00+00:00,,,Flag,CHEQUERED,Track,,,CHEQUERED FLAG
1287,11300,2026-06-12T12:30:18+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 67 (FOR)
1287,11300,2026-06-12T12:38:47+00:00,,,Flag,YELLOW,Sector,5.0,,YELLOW IN TRACK SECTOR 5
1287,11300,2026-06-12T12:38:49+00:00,,,Flag,YELLOW,Sector,12.0,,YELLOW IN TRACK SECTOR 12
1287,11300,2026-06-12T12:39:02+00:00,,,Flag,YELLOW,Sector,16.0,,YELLOW IN TRACK SECTOR 16
1287,11300,2026-06-12T12:39:13+00:00,,,Flag,YELLOW,Sector,9.0,,YELLOW IN TRACK SECTOR 9
1287,11300,2026-06-12T12:39:40+00:00,,,Flag,YELLOW,Sector,13.0,,YELLOW IN TRACK SECTOR 13
1287,11300,2026-06-12T12:46:01+00:00,,,Other,,,,,RISK OF RAIN FOR F3 QUALIFYING IS 0%
