meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1287,11300,1,10,1,2,MEDIUM,0
1287,11300,1,72,1,1,MEDIUM,0
1287,11300,1,30,1,4,MEDIUM,0
1287,11300,1,87,1,2,HARD,0
1287,11300,1,41,1,5,MEDIUM,0
1287,11300,1,67,1,1,MEDIUM,0
1287,11300,2,67,2,2,MEDIUM,0
1287,11300,3,67,3,3,MEDIUM,0
1287,11300,1,3,1,5,MEDIUM,0
1287,11300,4,67,4,4,MEDIUM,0
1287,11300,1,5,1,2,MEDIUM,0
1287,11300,1,31,1,6,HARD,0
1287,11300,1,16,1,6,MEDIUM,0
1287,11300,1,55,1,1,MEDIUM,0
1287,11300,1,36,1,3,MEDIUM,0
1287,11300,1,77,1,1,MEDIUM,0
1287,11300,1,43,1,2,MEDIUM,0
1287,11300,1,18,1,5,MEDIUM,0
1287,11300,2,30,5,7,MEDIUM,0
1287,11300,1,81,1,8,MEDIUM,0
1287,11300,2,41,6,8,MEDIUM,0
1287,11300,2,77,2,4,MEDIUM,1
1287,11300,1,97,1,2,SOFT,0
1287,11300,5,67,5,5,MEDIUM,0
1287,11300,2,87,3,8,HARD,2
1287,11300,2,72,2,6,MEDIUM,1
1287,11300,3,5,6,8,MEDIUM,0
1287,11300,2,5,3,5,MEDIUM,0
1287,11300,2,16,7,8,MEDIUM,6
1287,11300,2,10,3,11,MEDIUM,2
1287,11300,1,38,1,9,MEDIUM,0
1287,11300,2,18,6,8,MEDIUM,0
1287,11300,1,14,1,7,MEDIUM,0
1287,11300,2,43,3,8,MEDIUM,2
1287,11300,2,55,2,9,MEDIUM,1
1287,11300,4,5,9,11,MEDIUM,8
1287,11300,3,16,9,11,MEDIUM,8
1287,11300,3,30,8,9,MEDIUM,0
1287,11300,2,3,6,10,MEDIUM,5
1287,11300,3,41,9,11,MEDIUM,0
1287,11300,2,36,4,5,MEDIUM,3
1287,11300,6,67,6,6,MEDIUM,5
1287,11300,1,63,1,9,MEDIUM,0
1287,11300,1,25,1,11,SOFT,0
1287,11300,2,81,9,14,MEDIUM,8
1287,11300,3,3,11,13,SOFT,0
1287,11300,3,87,9,11,HARD,0
1287,11300,3,10,12,15,MEDIUM,11
1287,11300,2,31,7,12,HARD,0
1287,11300,3,55,10,12,MEDIUM,9
1287,11300,3,43,9,11,MEDIUM,0
1287,11300,4,16,12,14,MEDIUM,11
1287,11300,4,41,12,14,SOFT,0
1287,11300,3,81,15,17,SOFT,0
1287,11300,2,14,8,12,MEDIUM,7
1287,11300,3,18,9,12,MEDIUM,8
1287,11300,2,25,12,14,SOFT,0
1287,11300,5,5,12,13,MEDIUM,11
1287,11300,2,63,10,12,SOFT,0
1287,11300,4,10,16,18,SOFT,0
1287,11300,4,87,12,14,HARD,0
1287,11300,4,30,10,14,MEDIUM,9
1287,11300,2,97,3,11,SOFT,2
1287,11300,5,16,15,17,SOFT,0
1287,11300,4,43,12,14,SOFT,0
1287,11300,3,72,7,15,SOFT,0
1287,11300,3,77,5,10,MEDIUM,4
1287,11300,3,14,13,15,SOFT,0
1287,11300,4,3,14,16,SOFT,3
1287,11300,2,38,10,18,MEDIUM,0
1287,11300,5,41,15,17,SOFT,0
1287,11300,6,5,14,16,SOFT,0
1287,11300,3,31,13,15,SOFT,0
1287,11300,4,55,13,16,SOFT,0
1287,11300,7,67,7,12,MEDIUM,0
1287,11300,5,30,15,18,SOFT,0
1287,11300,3,25,15,17,SOFT,3
1287,11300,5,10,19,20,SOFT,3
1287,11300,7,5,17,19,SOFT,0
1287,11300,3,36,6,14,MEDIUM,5
1287,11300,4,18,13,18,SOFT,0
1287,11300,5,87,15,17,HARD,0
1287,11300,4,81,18,20,SOFT,3
1287,11300,6,16,18,20,SOFT,0
1287,11300,3,97,12,17,SOFT,0
1287,11300,6,10,21,23,MEDIUM,15
1287,11300,4,31,16,20,HARD,12
1287,11300,5,3,17,22,MEDIUM,10
1287,11300,5,18,19,21,SOFT,6
1287,11300,4,14,16,18,SOFT,3
1287,11300,6,30,19,19,MEDIUM,14
1287,11300,5,43,15,23,SOFT,0
1287,11300,6,41,18,25,SOFT,6
1287,11300,3,63,13,24,SOFT,3
1287,11300,4,72,16,25,SOFT,9
1287,11300,5,81,21,25,SOFT,6
1287,11300,4,97,18,24,SOFT,6
1287,11300,4,36,15,21,SOFT,0
1287,11300,8,67,13,22,SOFT,0
1287,11300,6,43,24,28,MEDIUM,0
1287,11300,4,77,11,23,SOFT,0
1287,11300,4,25,18,27,SOFT,6
1287,11300,4,63,25,27,MEDIUM,9
1287,11300,7,30,20,24,SOFT,4
1287,11300,5,14,19,23,SOFT,6
1287,11300,6,87,18,25,SOFT,0
1287,11300,5,55,17,27,SOFT,4
1287,11300,5,31,21,27,HARD,0
1287,11300,8,5,20,28,SOFT,6
1287,11300,7,41,26,29,MEDIUM,0
1287,11300,5,72,26,28,SOFT,19
1287,11300,3,38,19,30,SOFT,0
1287,11300,6,3,23,29,SOFT,6
1287,11300,7,16,21,29,MEDIUM,14
1287,11300,6,81,26,29,MEDIUM,14
