date,session_key,lane_duration,stop_duration,meeting_key,driver_number,lap_number,pit_duration
2026-07-03T11:30:02.156000+00:00,11316,,,1289,44,1,
2026-07-03T11:30:06.746000+00:00,11316,,,1289,27,1,
2026-07-03T11:30:11.777000+00:00,11316,,,1289,41,1,
2026-07-03T11:30:17.809000+00:00,11316,,,1289,43,1,
2026-07-03T11:30:19.293000+00:00,11316,,,1289,5,1,
2026-07-03T11:30:23.949000+00:00,11316,,,1289,30,1,
2026-07-03T11:30:31.340000+00:00,11316,,,1289,16,1,
2026-07-03T11:30:39.715000+00:00,11316,,,1289,1,1,
2026-07-03T11:30:46.137000+00:00,11316,,,1289,12,1,
2026-07-03T11:30:49.949000+00:00,11316,,,1289,81,1,
2026-07-03T11:30:59.730000+00:00,11316,,,1289,31,1,
2026-07-03T11:31:03.915000+00:00,11316,,,1289,11,1,
2026-07-03T11:31:08.615000+00:00,11316,,,1289,87,1,
2026-07-03T11:31:13.971000+00:00,11316,,,1289,77,1,
2026-07-03T11:31:16.984000+00:00,11316,,,1289,18,1,
2026-07-03T11:31:23.609000+00:00,11316,,,1289,6,1,
2026-07-03T11:31:29.687000+00:00,11316,,,1289,23,1,
2026-07-03T11:31:31.890000+00:00,11316,,,1289,14,1,
2026-07-03T11:31:37.984000+00:00,11316,,,1289,55,1,
2026-07-03T11:31:39.718000+00:00,11316,,,1289,10,1,
2026-07-03T11:31:57.125000+00:00,11316,,,1289,63,1,
2026-07-03T11:34:09.061000+00:00,11316,32.3,,1289,10,2,32.3
2026-07-03T11:34:13.653000+00:00,11316,,,1289,3,1,
2026-07-03T11:41:39.525000+00:00,11316,46.1,,1289,23,6,46.1
2026-07-03T11:42:02.701000+00:00,11316,60.0,,1289,55,6,60.0
2026-07-03T11:45:31.328000+00:00,11316,49.9,,1289,31,8,49.9
2026-07-03T11:45:34.891000+00:00,11316,31.7,,1289,63,8,31.7
2026-07-03T11:46:24.047000+00:00,11316,36.8,,1289,43,9,36.8
2026-07-03T11:50:22.459000+00:00,11316,447.8,,1289,18,7,447.8
2026-07-03T11:51:42.741000+00:00,11316,340.4,,1289,30,9,340.4
2026-07-03T11:53:11.106000+00:00,11316,32.3,,1289,23,12,32.3
2026-07-03T11:53:46.665000+00:00,11316,314.1,,1289,87,10,314.1
2026-07-03T11:53:51.790000+00:00,11316,171.7,,1289,41,12,171.7
2026-07-03T11:54:36.599000+00:00,11316,570.0,,1289,6,8,570.0
2026-07-03T11:55:07.849000+00:00,11316,271.4,,1289,63,11,271.4
2026-07-03T11:55:38.299000+00:00,11316,563.0,,1289,81,9,563.0
2026-07-03T11:55:51.237000+00:00,11316,508.8,,1289,1,10,508.8
2026-07-03T11:56:05.315000+00:00,11316,407.8,,1289,3,9,407.8
2026-07-03T11:56:26.799000+00:00,11316,30.5,,1289,55,14,30.5
2026-07-03T11:56:59.274000+00:00,11316,470.3,,1289,27,11,470.3
2026-07-03T11:57:36.602000+00:00,11316,256.8,,1289,12,13,256.8
2026-07-03T11:57:51.211000+00:00,11316,280.5,,1289,16,13,280.5
2026-07-03T11:58:51.264000+00:00,11316,440.8,,1289,5,12,440.8
2026-07-03T11:58:59.545000+00:00,11316,486.0,,1289,31,11,486.0
2026-07-03T11:59:09.952000+00:00,11316,650.5,,1289,43,10,650.5
2026-07-03T11:59:18.764000+00:00,11316,563.9,,1289,14,11,563.9
2026-07-03T12:00:15.211000+00:00,11316,278.3,,1289,44,14,278.3
2026-07-03T12:02:47.708000+00:00,11316,33.5,,1289,5,14,33.5
2026-07-03T12:02:57.473000+00:00,11316,213.8,,1289,18,12,213.8
2026-07-03T12:03:00.395000+00:00,11316,607.7,,1289,10,12,607.7
2026-07-03T12:03:33.313000+00:00,11316,56.1,,1289,16,16,56.1
2026-07-03T12:05:46.617000+00:00,11316,59.7,,1289,14,14,59.7
2026-07-03T12:05:55.726000+00:00,11316,36.5,,1289,44,17,36.5
2026-07-03T12:06:52.324000+00:00,11316,32.9,,1289,10,14,32.9
2026-07-03T12:07:46.163000+00:00,11316,572.3,,1289,11,16,572.3
2026-07-03T12:10:49.252000+00:00,11316,394.3,,1289,30,17,394.3
2026-07-03T12:11:18.428000+00:00,11316,281.4,,1289,41,20,281.4
2026-07-03T12:12:15.429000+00:00,11316,965.6,,1289,77,15,965.6
2026-07-03T12:12:35.835000+00:00,11316,28.8,,1289,27,20,28.8
2026-07-03T12:16:06.828000+00:00,11316,630.6,,1289,81,15,630.6
2026-07-03T12:16:49.655000+00:00,11316,278.6,,1289,63,22,278.6
2026-07-03T12:17:29.431000+00:00,11316,267.3,,1289,55,24,267.3
2026-07-03T12:17:34.495000+00:00,11316,257.6,,1289,12,23,257.6
2026-07-03T12:17:43.050000+00:00,11316,297.7,,1289,16,22,297.7
2026-07-03T12:17:56.094000+00:00,11316,275.3,,1289,43,19,275.3
2026-07-03T12:17:59.056000+00:00,11316,383.4,,1289,31,19,383.4
2026-07-03T12:18:06.257000+00:00,11316,371.9,,1289,6,19,371.9
2026-07-03T12:18:12.625000+00:00,11316,447.6,,1289,23,22,447.6
2026-07-03T12:18:16.891000+00:00,11316,621.5,,1289,87,19,621.5
2026-07-03T12:18:47.800000+00:00,11316,522.0,,1289,1,19,522.0
2026-07-03T12:19:22.314000+00:00,11316,500.8,,1289,14,17,500.8
2026-07-03T12:19:31.442000+00:00,11316,293.7,,1289,18,18,293.7
2026-07-03T12:20:09.497000+00:00,11316,198.4,,1289,44,24,198.4
2026-07-03T12:20:42.219000+00:00,11316,399.5,,1289,27,21,399.5
2026-07-03T12:21:00.084000+00:00,11316,413.6,,1289,5,21,413.6
2026-07-03T12:21:49.500000+00:00,11316,505.1,,1289,3,20,505.1
2026-07-03T12:21:56.094000+00:00,11316,499.5,,1289,10,18,499.5
2026-07-03T12:23:07.831000+00:00,11316,31.1,,1289,55,27,31.1
2026-07-03T12:24:25.475000+00:00,11316,141.9,,1289,41,26,141.9
2026-07-03T12:24:34.261000+00:00,11316,32.4,,1289,23,25,32.4
2026-07-03T12:24:41.559000+00:00,11316,32.9,,1289,1,22,32.9
2026-07-03T12:25:21.771000+00:00,11316,219.6,,1289,30,23,219.6
2026-07-03T12:25:56.760000+00:00,11316,92.3,,1289,87,22,92.3
2026-07-03T12:26:26.274000+00:00,11316,782.7,,1289,11,19,782.7
2026-07-03T12:26:36.374000+00:00,11316,23.8,,1289,5,24,23.8
2026-07-03T12:26:57.640000+00:00,11316,578.0,,1289,77,18,578.0
2026-07-03T12:27:34.693000+00:00,11316,31.3,,1289,81,21,31.3
2026-07-03T12:29:10.015000+00:00,11316,73.2,,1289,63,28,73.2
2026-07-03T12:29:15.484000+00:00,11316,56.2,,1289,55,30,56.2
2026-07-03T12:29:19.812000+00:00,11316,29.8,,1289,43,25,29.8
2026-07-03T12:29:28.146000+00:00,11316,395.3,,1289,12,26,395.3
2026-07-03T12:29:32.596000+00:00,11316,32.0,,1289,10,22,32.0
