date,session_key,driver_number,stop_duration,pit_duration,lap_number,meeting_key,lane_duration
2026-07-25T10:32:10.838000+00:00,11337,43,,,1,1291,
2026-07-25T10:37:28.301000+00:00,11337,18,,,1,1291,
2026-07-25T10:38:35.540000+00:00,11337,77,,,1,1291,
2026-07-25T10:40:03.858000+00:00,11337,27,,,1,1291,
2026-07-25T10:43:38.116000+00:00,11337,81,,,1,1291,
2026-07-25T10:44:10.103000+00:00,11337,14,,,1,1291,
2026-07-25T10:44:26.286000+00:00,11337,16,,,1,1291,
2026-07-25T10:44:33.716000+00:00,11337,5,,,1,1291,
2026-07-25T10:44:40.765000+00:00,11337,44,,,1,1291,
2026-07-25T10:44:43.747000+00:00,11337,77,,65.5,4,1291,65.5
2026-07-25T10:45:12.780000+00:00,11337,30,,,1,1291,
2026-07-25T10:45:32.510000+00:00,11337,27,,19.0,4,1291,19.0
2026-07-25T10:46:35.089000+00:00,11337,1,,,1,1291,
2026-07-25T10:46:57.874000+00:00,11337,6,,,1,1291,
2026-07-25T10:47:46.775000+00:00,11337,23,,,1,1291,
2026-07-25T10:49:07.287000+00:00,11337,10,,,1,1291,
2026-07-25T10:49:23.775000+00:00,11337,11,,,1,1291,
2026-07-25T10:49:46.824000+00:00,11337,16,,18.3,4,1291,18.3
2026-07-25T10:50:11.625000+00:00,11337,5,,25.0,4,1291,25.0
2026-07-25T10:56:04.786000+00:00,11337,10,,,2,1291,
2026-07-25T10:56:08.551000+00:00,11337,12,,,1,1291,
2026-07-25T10:56:14.190000+00:00,11337,63,,,1,1291,
2026-07-25T10:56:19.521000+00:00,11337,31,,,1,1291,
2026-07-25T10:56:27.702000+00:00,11337,3,,,1,1291,
2026-07-25T10:56:34.973000+00:00,11337,87,,,1,1291,
2026-07-25T10:56:43.285000+00:00,11337,1,,,4,1291,
2026-07-25T10:56:46.947000+00:00,11337,18,,456.6,8,1291,456.6
2026-07-25T10:56:50.775000+00:00,11337,30,,,5,1291,
2026-07-25T10:56:52.650000+00:00,11337,5,,426.0,5,1291,426.0
2026-07-25T10:57:03.227000+00:00,11337,23,,,3,1291,
2026-07-25T10:57:08.145000+00:00,11337,16,,459.7,5,1291,459.7
2026-07-25T10:57:14.390000+00:00,11337,44,,434.0,4,1291,434.0
2026-07-25T10:57:19.611000+00:00,11337,55,,,1,1291,
2026-07-25T10:57:25.633000+00:00,11337,27,,732.2,7,1291,732.2
2026-07-25T10:57:28.423000+00:00,11337,6,,,4,1291,
2026-07-25T10:57:33.397000+00:00,11337,81,,,6,1291,
2026-07-25T10:58:04.952000+00:00,11337,14,,,5,1291,
2026-07-25T10:58:16.929000+00:00,11337,43,,,11,1291,
2026-07-25T11:01:44.757000+00:00,11337,77,,797.0,6,1291,797.0
2026-07-25T11:02:32.727000+00:00,11337,16,,18.1,8,1291,18.1
2026-07-25T11:02:48.333000+00:00,11337,23,,26.6,6,1291,26.6
2026-07-25T11:02:52.215000+00:00,11337,55,,18.6,4,1291,18.6
2026-07-25T11:03:39.300000+00:00,11337,12,,59.2,5,1291,59.2
2026-07-25T11:03:41.574000+00:00,11337,63,,36.5,5,1291,36.5
2026-07-25T11:03:47.789000+00:00,11337,5,,16.6,9,1291,16.6
2026-07-25T11:04:48.437000+00:00,11337,44,,32.2,8,1291,32.2
2026-07-25T11:05:34.918000+00:00,11337,30,,40.1,10,1291,40.1
2026-07-25T11:07:32.210000+00:00,11337,77,,39.6,9,1291,39.6
2026-07-25T11:10:02.572000+00:00,11337,55,,24.7,8,1291,24.7
2026-07-25T11:11:35.259000+00:00,11337,63,,277.8,7,1291,277.8
2026-07-25T11:12:14.286000+00:00,11337,12,,244.9,8,1291,244.9
2026-07-25T11:12:24.397000+00:00,11337,81,,313.2,12,1291,313.2
2026-07-25T11:12:35.674000+00:00,11337,1,,272.0,11,1291,272.0
