id,season,round,race_id,driver_id,constructor_id,aggressive_tendency_score,tyre_management_score,early_pit_bias_score,late_pit_bias_score,racecraft_proxy_score,confidence_score,source_label
2026-07-catalunya|alonso,2026,7,2026-07-catalunya,alonso,aston_martin,0.960522,0.15133,0.627831,0.376647,0.964912,0.68566,strategy_lab_driver_profile_v1
2026-07-catalunya|bearman,2026,7,2026-07-catalunya,bearman,haas,0.828427,0.164308,0.616572,0.391804,0.789474,0.720264,strategy_lab_driver_profile_v1
2026-07-catalunya|bortoleto,2026,7,2026-07-catalunya,bortoleto,audi,0.766271,0.200082,0.612213,0.403385,0.754386,0.718807,strategy_lab_driver_profile_v1
2026-07-catalunya|bottas,2026,7,2026-07-catalunya,bottas,cadillac,0.638597,0.661599,0.589242,0.48538,0.912281,0.529294,strategy_lab_driver_profile_v1
2026-07-catalunya|colapinto,2026,7,2026-07-catalunya,colapinto,alpine,0.801587,0.175824,0.61564,0.396215,0.77193,0.712626,strategy_lab_driver_profile_v1
2026-07-catalunya|gasly,2026,7,2026-07-catalunya,gasly,alpine,0.755307,0.171296,0.606911,0.400164,0.684211,0.696391,strategy_lab_driver_profile_v1
2026-07-catalunya|lawson,2026,7,2026-07-catalunya,lawson,rb,0.614035,0.721112,0.596129,0.496763,0.877193,0.574502,strategy_lab_driver_profile_v1
2026-07-catalunya|leclerc,2026,7,2026-07-catalunya,leclerc,ferrari,0.588543,0.168977,0.592776,0.416492,0.438596,0.685888,strategy_lab_driver_profile_v1
2026-07-catalunya|arvid_lindblad,2026,7,2026-07-catalunya,arvid_lindblad,rb,0.677362,0.165181,0.61385,0.407041,0.596491,0.701252,strategy_lab_driver_profile_v1
2026-07-catalunya|ocon,2026,7,2026-07-catalunya,ocon,haas,0.90605,0.148778,0.627622,0.381712,0.894737,0.685544,strategy_lab_driver_profile_v1
2026-07-catalunya|piastri,2026,7,2026-07-catalunya,piastri,mclaren,0.563456,0.173631,0.593329,0.419699,0.421053,0.689011,strategy_lab_driver_profile_v1
2026-07-catalunya|russell,2026,7,2026-07-catalunya,russell,mercedes,0.430802,0.171014,0.584097,0.432572,0.22807,0.682359,strategy_lab_driver_profile_v1
2026-07-catalunya|sainz,2026,7,2026-07-catalunya,sainz,williams,0.912511,0.176886,0.623648,0.385282,0.929825,0.692467,strategy_lab_driver_profile_v1
2026-07-catalunya|stroll,2026,7,2026-07-catalunya,stroll,aston_martin,0.938509,0.152616,0.624295,0.379041,0.929825,0.699213,strategy_lab_driver_profile_v1
2026-07-catalunya|max_verstappen,2026,7,2026-07-catalunya,max_verstappen,red_bull,0.434395,0.176044,0.578922,0.432967,0.22807,0.680657,strategy_lab_driver_profile_v1
2026-07-catalunya|albon,2026,7,2026-07-catalunya,albon,williams,0.726353,0.157977,0.606765,0.401061,0.631579,0.67273,strategy_lab_driver_profile_v1
2026-07-catalunya|antonelli,2026,7,2026-07-catalunya,antonelli,mercedes,0.747896,0.177512,0.607465,0.401837,0.684211,0.613415,strategy_lab_driver_profile_v1
2026-07-catalunya|hadjar,2026,7,2026-07-catalunya,hadjar,red_bull,0.752099,0.161778,0.606406,0.399057,0.666667,0.625547,strategy_lab_driver_profile_v1
2026-07-catalunya|hamilton,2026,7,2026-07-catalunya,hamilton,ferrari,0.802249,0.162448,0.610597,0.394142,0.736842,0.596009,strategy_lab_driver_profile_v1
2026-07-catalunya|hulkenberg,2026,7,2026-07-catalunya,hulkenberg,audi,0.64311,0.167244,0.600443,0.410776,0.526316,0.587532,strategy_lab_driver_profile_v1
2026-07-catalunya|norris,2026,7,2026-07-catalunya,norris,mclaren,0.284525,0.157146,0.571975,0.445119,0.0,0.563052,strategy_lab_driver_profile_v1
2026-07-catalunya|perez,2026,7,2026-07-catalunya,perez,cadillac,0.977672,0.165154,0.626928,0.377006,1.0,0.581152,strategy_lab_driver_profile_v1
