id,season,round,race_id,driver_id,constructor_id,scenario_code,stop_number,window_start_lap,window_end_lap,compound_in,compound_out,source_label
2026-10-spa|russell|defensive_1_stop|1,2026,10,2026-10-spa,russell,mercedes,defensive_1_stop,1,18,22,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|russell|balanced_1_stop|1,2026,10,2026-10-spa,russell,mercedes,balanced_1_stop,1,14,18,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|russell|attack_2_stop|1,2026,10,2026-10-spa,russell,mercedes,attack_2_stop,1,9,13,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|russell|attack_2_stop|2,2026,10,2026-10-spa,russell,mercedes,attack_2_stop,2,25,29,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|russell|balanced_2_stop|1,2026,10,2026-10-spa,russell,mercedes,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|russell|balanced_2_stop|2,2026,10,2026-10-spa,russell,mercedes,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|hamilton|defensive_1_stop|1,2026,10,2026-10-spa,hamilton,ferrari,defensive_1_stop,1,18,22,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|hamilton|balanced_1_stop|1,2026,10,2026-10-spa,hamilton,ferrari,balanced_1_stop,1,14,18,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|hamilton|attack_2_stop|1,2026,10,2026-10-spa,hamilton,ferrari,attack_2_stop,1,9,13,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|hamilton|attack_2_stop|2,2026,10,2026-10-spa,hamilton,ferrari,attack_2_stop,2,25,29,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|hamilton|balanced_2_stop|1,2026,10,2026-10-spa,hamilton,ferrari,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|hamilton|balanced_2_stop|2,2026,10,2026-10-spa,hamilton,ferrari,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|norris|defensive_1_stop|1,2026,10,2026-10-spa,norris,mclaren,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|norris|balanced_1_stop|1,2026,10,2026-10-spa,norris,mclaren,balanced_1_stop,1,14,18,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|norris|attack_2_stop|1,2026,10,2026-10-spa,norris,mclaren,attack_2_stop,1,9,13,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|norris|attack_2_stop|2,2026,10,2026-10-spa,norris,mclaren,attack_2_stop,2,25,29,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|norris|balanced_2_stop|1,2026,10,2026-10-spa,norris,mclaren,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|norris|balanced_2_stop|2,2026,10,2026-10-spa,norris,mclaren,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|leclerc|defensive_1_stop|1,2026,10,2026-10-spa,leclerc,ferrari,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|leclerc|balanced_1_stop|1,2026,10,2026-10-spa,leclerc,ferrari,balanced_1_stop,1,14,18,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|leclerc|attack_2_stop|1,2026,10,2026-10-spa,leclerc,ferrari,attack_2_stop,1,9,13,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|leclerc|attack_2_stop|2,2026,10,2026-10-spa,leclerc,ferrari,attack_2_stop,2,25,29,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|leclerc|balanced_2_stop|1,2026,10,2026-10-spa,leclerc,ferrari,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|leclerc|balanced_2_stop|2,2026,10,2026-10-spa,leclerc,ferrari,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|hadjar|defensive_1_stop|1,2026,10,2026-10-spa,hadjar,red_bull,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|hadjar|balanced_1_stop|1,2026,10,2026-10-spa,hadjar,red_bull,balanced_1_stop,1,14,18,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|hadjar|attack_2_stop|1,2026,10,2026-10-spa,hadjar,red_bull,attack_2_stop,1,9,13,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|hadjar|attack_2_stop|2,2026,10,2026-10-spa,hadjar,red_bull,attack_2_stop,2,25,29,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|hadjar|balanced_2_stop|1,2026,10,2026-10-spa,hadjar,red_bull,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|hadjar|balanced_2_stop|2,2026,10,2026-10-spa,hadjar,red_bull,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|piastri|defensive_1_stop|1,2026,10,2026-10-spa,piastri,mclaren,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|piastri|balanced_1_stop|1,2026,10,2026-10-spa,piastri,mclaren,balanced_1_stop,1,14,18,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|piastri|attack_2_stop|1,2026,10,2026-10-spa,piastri,mclaren,attack_2_stop,1,9,13,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|piastri|attack_2_stop|2,2026,10,2026-10-spa,piastri,mclaren,attack_2_stop,2,25,29,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|piastri|balanced_2_stop|1,2026,10,2026-10-spa,piastri,mclaren,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|piastri|balanced_2_stop|2,2026,10,2026-10-spa,piastri,mclaren,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|max_verstappen|balanced_1_stop|1,2026,10,2026-10-spa,max_verstappen,red_bull,balanced_1_stop,1,14,18,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|max_verstappen|defensive_1_stop|1,2026,10,2026-10-spa,max_verstappen,red_bull,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|max_verstappen|attack_2_stop|1,2026,10,2026-10-spa,max_verstappen,red_bull,attack_2_stop,1,9,13,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|max_verstappen|attack_2_stop|2,2026,10,2026-10-spa,max_verstappen,red_bull,attack_2_stop,2,25,29,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|max_verstappen|balanced_2_stop|1,2026,10,2026-10-spa,max_verstappen,red_bull,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|max_verstappen|balanced_2_stop|2,2026,10,2026-10-spa,max_verstappen,red_bull,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|antonelli|balanced_1_stop|1,2026,10,2026-10-spa,antonelli,mercedes,balanced_1_stop,1,14,18,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|antonelli|defensive_1_stop|1,2026,10,2026-10-spa,antonelli,mercedes,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|antonelli|attack_2_stop|1,2026,10,2026-10-spa,antonelli,mercedes,attack_2_stop,1,9,13,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|antonelli|attack_2_stop|2,2026,10,2026-10-spa,antonelli,mercedes,attack_2_stop,2,25,29,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|antonelli|balanced_2_stop|1,2026,10,2026-10-spa,antonelli,mercedes,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|antonelli|balanced_2_stop|2,2026,10,2026-10-spa,antonelli,mercedes,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|lawson|balanced_1_stop|1,2026,10,2026-10-spa,lawson,rb,balanced_1_stop,1,14,18,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|lawson|defensive_1_stop|1,2026,10,2026-10-spa,lawson,rb,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|lawson|attack_2_stop|1,2026,10,2026-10-spa,lawson,rb,attack_2_stop,1,9,13,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|lawson|attack_2_stop|2,2026,10,2026-10-spa,lawson,rb,attack_2_stop,2,25,29,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|lawson|balanced_2_stop|1,2026,10,2026-10-spa,lawson,rb,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|lawson|balanced_2_stop|2,2026,10,2026-10-spa,lawson,rb,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|arvid_lindblad|balanced_1_stop|1,2026,10,2026-10-spa,arvid_lindblad,rb,balanced_1_stop,1,14,18,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|arvid_lindblad|defensive_1_stop|1,2026,10,2026-10-spa,arvid_lindblad,rb,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|arvid_lindblad|attack_2_stop|1,2026,10,2026-10-spa,arvid_lindblad,rb,attack_2_stop,1,9,13,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|arvid_lindblad|attack_2_stop|2,2026,10,2026-10-spa,arvid_lindblad,rb,attack_2_stop,2,25,29,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|arvid_lindblad|balanced_2_stop|1,2026,10,2026-10-spa,arvid_lindblad,rb,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|arvid_lindblad|balanced_2_stop|2,2026,10,2026-10-spa,arvid_lindblad,rb,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|gasly|balanced_1_stop|1,2026,10,2026-10-spa,gasly,alpine,balanced_1_stop,1,14,18,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|gasly|defensive_1_stop|1,2026,10,2026-10-spa,gasly,alpine,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|gasly|attack_2_stop|1,2026,10,2026-10-spa,gasly,alpine,attack_2_stop,1,9,13,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|gasly|attack_2_stop|2,2026,10,2026-10-spa,gasly,alpine,attack_2_stop,2,25,29,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|gasly|balanced_2_stop|1,2026,10,2026-10-spa,gasly,alpine,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|gasly|balanced_2_stop|2,2026,10,2026-10-spa,gasly,alpine,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|bortoleto|balanced_1_stop|1,2026,10,2026-10-spa,bortoleto,audi,balanced_1_stop,1,14,18,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|bortoleto|defensive_1_stop|1,2026,10,2026-10-spa,bortoleto,audi,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|bortoleto|attack_2_stop|1,2026,10,2026-10-spa,bortoleto,audi,attack_2_stop,1,9,13,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|bortoleto|attack_2_stop|2,2026,10,2026-10-spa,bortoleto,audi,attack_2_stop,2,25,29,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|bortoleto|balanced_2_stop|1,2026,10,2026-10-spa,bortoleto,audi,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|bortoleto|balanced_2_stop|2,2026,10,2026-10-spa,bortoleto,audi,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|colapinto|balanced_1_stop|1,2026,10,2026-10-spa,colapinto,alpine,balanced_1_stop,1,14,18,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|colapinto|defensive_1_stop|1,2026,10,2026-10-spa,colapinto,alpine,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|colapinto|attack_2_stop|1,2026,10,2026-10-spa,colapinto,alpine,attack_2_stop,1,9,13,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|colapinto|attack_2_stop|2,2026,10,2026-10-spa,colapinto,alpine,attack_2_stop,2,25,29,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|colapinto|balanced_2_stop|1,2026,10,2026-10-spa,colapinto,alpine,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|colapinto|balanced_2_stop|2,2026,10,2026-10-spa,colapinto,alpine,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|bearman|defensive_1_stop|1,2026,10,2026-10-spa,bearman,haas,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|bearman|balanced_1_stop|1,2026,10,2026-10-spa,bearman,haas,balanced_1_stop,1,13,17,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|bearman|balanced_2_stop|1,2026,10,2026-10-spa,bearman,haas,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|bearman|balanced_2_stop|2,2026,10,2026-10-spa,bearman,haas,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|bearman|attack_2_stop|1,2026,10,2026-10-spa,bearman,haas,attack_2_stop,1,8,12,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|bearman|attack_2_stop|2,2026,10,2026-10-spa,bearman,haas,attack_2_stop,2,23,27,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|ocon|defensive_1_stop|1,2026,10,2026-10-spa,ocon,haas,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|ocon|balanced_1_stop|1,2026,10,2026-10-spa,ocon,haas,balanced_1_stop,1,13,17,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|ocon|balanced_2_stop|1,2026,10,2026-10-spa,ocon,haas,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|ocon|balanced_2_stop|2,2026,10,2026-10-spa,ocon,haas,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|ocon|attack_2_stop|1,2026,10,2026-10-spa,ocon,haas,attack_2_stop,1,8,12,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|ocon|attack_2_stop|2,2026,10,2026-10-spa,ocon,haas,attack_2_stop,2,23,27,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|hulkenberg|defensive_1_stop|1,2026,10,2026-10-spa,hulkenberg,audi,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|hulkenberg|balanced_1_stop|1,2026,10,2026-10-spa,hulkenberg,audi,balanced_1_stop,1,13,17,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|hulkenberg|balanced_2_stop|1,2026,10,2026-10-spa,hulkenberg,audi,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|hulkenberg|balanced_2_stop|2,2026,10,2026-10-spa,hulkenberg,audi,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|hulkenberg|attack_2_stop|1,2026,10,2026-10-spa,hulkenberg,audi,attack_2_stop,1,8,12,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|hulkenberg|attack_2_stop|2,2026,10,2026-10-spa,hulkenberg,audi,attack_2_stop,2,23,27,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|sainz|defensive_1_stop|1,2026,10,2026-10-spa,sainz,williams,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|sainz|balanced_1_stop|1,2026,10,2026-10-spa,sainz,williams,balanced_1_stop,1,13,17,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|sainz|balanced_2_stop|1,2026,10,2026-10-spa,sainz,williams,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|sainz|balanced_2_stop|2,2026,10,2026-10-spa,sainz,williams,balanced_2_stop,2,29,33,hard,soft,strategy_lab_pit_window_v1
2026-10-spa|sainz|attack_2_stop|1,2026,10,2026-10-spa,sainz,williams,attack_2_stop,1,8,12,soft,medium,strategy_lab_pit_window_v1
2026-10-spa|sainz|attack_2_stop|2,2026,10,2026-10-spa,sainz,williams,attack_2_stop,2,23,27,medium,soft,strategy_lab_pit_window_v1
2026-10-spa|perez|defensive_1_stop|1,2026,10,2026-10-spa,perez,cadillac,defensive_1_stop,1,17,21,hard,medium,strategy_lab_pit_window_v1
2026-10-spa|perez|balanced_1_stop|1,2026,10,2026-10-spa,perez,cadillac,balanced_1_stop,1,13,17,medium,hard,strategy_lab_pit_window_v1
2026-10-spa|perez|balanced_2_stop|1,2026,10,2026-10-spa,perez,cadillac,balanced_2_stop,1,12,16,medium,hard,strategy_lab_pit_window_v1
