id,season,round,race_id,driver_id,constructor_id,baseline_strategy_code,baseline_total_time_s,projected_finish,finish_band_low,finish_band_high,win_probability,podium_probability,confidence_score,source_label
2026-14-madring|norris,2026,14,2026-14-madring,norris,mclaren,balanced_1_stop,4877.6,1,1,4,30,70,0.289442,strategy_lab_projection_v1
2026-14-madring|antonelli,2026,14,2026-14-madring,antonelli,mercedes,balanced_1_stop,4860.6,2,1,5,30,70,0.267861,strategy_lab_projection_v1
2026-14-madring|russell,2026,14,2026-14-madring,russell,mercedes,balanced_1_stop,4893.1,4,1,7,25,60,0.231708,strategy_lab_projection_v1
2026-14-madring|hamilton,2026,14,2026-14-madring,hamilton,ferrari,balanced_1_stop,4889.9,3,1,6,30,65,0.291634,strategy_lab_projection_v1
2026-14-madring|max_verstappen,2026,14,2026-14-madring,max_verstappen,red_bull,balanced_1_stop,5485.1,14,10,18,10,25,0.213976,strategy_lab_projection_v1
2026-14-madring|leclerc,2026,14,2026-14-madring,leclerc,ferrari,balanced_1_stop,4930.0,5,2,8,25,55,0.240674,strategy_lab_projection_v1
2026-14-madring|piastri,2026,14,2026-14-madring,piastri,mclaren,balanced_1_stop,4863.8,8,4,12,20,45,0.213768,strategy_lab_projection_v1
2026-14-madring|gasly,2026,14,2026-14-madring,gasly,alpine,balanced_1_stop,4946.1,7,4,10,20,50,0.287365,strategy_lab_projection_v1
2026-14-madring|lawson,2026,14,2026-14-madring,lawson,red_bull,balanced_1_stop,4948.6,6,3,9,25,55,0.28197,strategy_lab_projection_v1
2026-14-madring|arvid_lindblad,2026,14,2026-14-madring,arvid_lindblad,rb,balanced_1_stop,4980.8,9,6,12,20,40,0.278793,strategy_lab_projection_v1
2026-14-madring|hulkenberg,2026,14,2026-14-madring,hulkenberg,audi,balanced_1_stop,4956.1,13,10,16,10,25,0.270872,strategy_lab_projection_v1
2026-14-madring|bortoleto,2026,14,2026-14-madring,bortoleto,audi,balanced_1_stop,4960.5,10,7,13,15,40,0.252881,strategy_lab_projection_v1
2026-14-madring|tsunoda,2026,14,2026-14-madring,tsunoda,rb,balanced_1_stop,5323.8,12,8,16,15,30,0.215221,strategy_lab_projection_v1
2026-14-madring|colapinto,2026,14,2026-14-madring,colapinto,alpine,balanced_1_stop,4979.8,11,8,14,15,35,0.241726,strategy_lab_projection_v1
2026-14-madring|alonso,2026,14,2026-14-madring,alonso,aston_martin,balanced_1_stop,4993.3,15,11,19,10,20,0.202311,strategy_lab_projection_v1
2026-14-madring|sainz,2026,14,2026-14-madring,sainz,williams,balanced_1_stop,4988.3,16,13,19,10,15,0.268284,strategy_lab_projection_v1
2026-14-madring|ocon,2026,14,2026-14-madring,ocon,haas,balanced_1_stop,4965.0,17,14,20,5,10,0.265633,strategy_lab_projection_v1
2026-14-madring|albon,2026,14,2026-14-madring,albon,williams,balanced_1_stop,5017.6,20,17,22,5,10,0.274425,strategy_lab_projection_v1
2026-14-madring|bearman,2026,14,2026-14-madring,bearman,haas,balanced_1_stop,5332.5,22,19,22,5,10,0.296316,strategy_lab_projection_v1
2026-14-madring|stroll,2026,14,2026-14-madring,stroll,aston_martin,balanced_1_stop,5002.0,19,16,22,5,10,0.222404,strategy_lab_projection_v1
2026-14-madring|perez,2026,14,2026-14-madring,perez,cadillac,balanced_1_stop,5043.2,18,14,22,5,10,0.213784,strategy_lab_projection_v1
2026-14-madring|bottas,2026,14,2026-14-madring,bottas,cadillac,balanced_1_stop,5050.7,21,18,22,5,10,0.249237,strategy_lab_projection_v1
