id,season,round,race_id,driver_id,constructor_id,nominal_race_laps,base_race_pace_s,base_quali_pace_s,pace_evolution_s_per_lap,pit_loss_s,fuel_correction_s_per_lap,traffic_sensitivity_score,weather_grip_sensitivity_score,energy_deployment_proxy_score,corner_speed_strength,braking_strength,throttle_pickup_strength,traction_exit_strength,straight_line_strength,energy_deployment_proxy_strength,lift_and_coast_tendency,clipping_risk_proxy,overtaking_attack_score,defending_strength_score,tyre_stress_proxy,undercut_suitability_score,high_degradation_risk_score,track_archetype,track_position_sensitivity_score,telemetry_proxy_confidence,baseline_stop_count,baseline_strategy_code,baseline_pit_window_start_lap,baseline_pit_window_end_lap,compound_delta_soft_s,compound_delta_medium_s,compound_delta_hard_s,degradation_soft_s_per_lap,degradation_medium_s_per_lap,degradation_hard_s_per_lap,stint_length_soft_laps,stint_length_medium_laps,stint_length_hard_laps,source_label
2026-06-monaco|antonelli,2026,6,2026-06-monaco,antonelli,mercedes,76,88.24,80.12,0.0255,22.5,0.035,0.598581,0.0,0.422319,0.205833,0.180977,0.581911,0.68457,0.323893,0.300059,0.001196,0.385694,0.260738,0.381869,0.502452,0.56856,0.38317,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.3861,0.0,0.3747,0.1276,0.0834,0.0561,19,28,34,strategy_lab_features_v2
2026-06-monaco|hamilton,2026,6,2026-06-monaco,hamilton,ferrari,76,88.48,80.24,0.0255,22.5,0.035,0.588784,0.0,0.432684,0.2075,0.167363,0.593861,0.711126,0.325785,0.311256,0.000521,0.331948,0.26091,0.389432,0.493325,0.567504,0.385551,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.399,0.0,0.3805,0.1297,0.0845,0.0567,19,28,33,strategy_lab_features_v2
2026-06-monaco|leclerc,2026,6,2026-06-monaco,leclerc,ferrari,76,88.72,80.36,0.0255,22.5,0.035,0.602165,0.0,0.428245,0.147262,0.159537,0.59199,0.706968,0.3245,0.307307,0.001042,0.346668,0.245679,0.385772,0.493209,0.566113,0.392438,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.3949,0.0,0.3819,0.1302,0.0848,0.0569,19,27,33,strategy_lab_features_v2
2026-06-monaco|max_verstappen,2026,6,2026-06-monaco,max_verstappen,red_bull,76,88.96,80.48,0.0255,22.5,0.035,0.611806,0.0,0.427672,0.157381,0.165495,0.580083,0.680508,0.326708,0.299714,0.001282,0.407362,0.248213,0.379347,0.494834,0.564691,0.400195,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.3899,0.0,0.3828,0.1307,0.0851,0.057,19,27,33,strategy_lab_features_v2
2026-06-monaco|piastri,2026,6,2026-06-monaco,piastri,mclaren,76,89.2,80.6,0.0255,22.5,0.035,0.658634,0.0,0.430775,0.318095,0.165944,0.575106,0.669448,0.325557,0.29467,0.001976,0.432642,0.278962,0.37514,0.470961,0.557068,0.395203,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.36,0.0,0.3832,0.13,0.0846,0.0567,19,27,33,strategy_lab_features_v2
2026-06-monaco|norris,2026,6,2026-06-monaco,norris,mclaren,76,89.44,80.72,0.0255,22.5,0.035,0.649855,0.0,0.424008,0.290595,0.146531,0.579778,0.679831,0.322222,0.290074,0.000641,0.405554,0.266658,0.372222,0.466078,0.55551,0.399706,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.367,0.0,0.3838,0.1301,0.0846,0.0567,19,27,33,strategy_lab_features_v2
2026-06-monaco|russell,2026,6,2026-06-monaco,russell,mercedes,76,89.68,80.84,0.0255,22.5,0.035,0.639154,0.0,0.43119,0.158571,0.176649,0.5872,0.696325,0.328932,0.310384,0.001389,0.401945,0.254231,0.38829,0.493038,0.565694,0.42013,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.3757,0.0,0.3854,0.1316,0.0856,0.0573,18,27,33,strategy_lab_features_v2
2026-06-monaco|colapinto,2026,6,2026-06-monaco,colapinto,alpine,76,89.92,80.96,0.0255,22.5,0.035,0.585688,0.0,0.4222,0.189286,0.181097,0.581199,0.682989,0.326333,0.296581,0.001931,0.414587,0.257522,0.381552,0.514841,0.572616,0.437976,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.4085,0.0,0.3886,0.1337,0.0868,0.058,18,27,33,strategy_lab_features_v2
2026-06-monaco|gasly,2026,6,2026-06-monaco,gasly,alpine,76,90.16,81.08,0.0255,22.5,0.035,0.608627,0.0,0.425411,0.094405,0.168139,0.584914,0.691244,0.32569,0.29526,0.003228,0.437362,0.234926,0.380912,0.49241,0.563656,0.433705,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.3996,0.0,0.3893,0.1332,0.0864,0.0578,18,27,33,strategy_lab_features_v2
2026-06-monaco|lawson,2026,6,2026-06-monaco,lawson,rb,76,90.4,81.2,0.0255,22.5,0.035,0.598623,0.0,0.427414,0.139762,0.170295,0.589124,0.700599,0.322849,0.298064,0.002308,0.407777,0.244166,0.383152,0.498786,0.567383,0.443837,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.405,0.0,0.3906,0.1339,0.0869,0.058,18,27,33,strategy_lab_features_v2
2026-06-monaco|sainz,2026,6,2026-06-monaco,sainz,williams,76,90.64,81.32,0.0255,22.5,0.035,0.563714,0.0,0.421215,0.187857,0.184959,0.586093,0.693864,0.324893,0.296335,0.000833,0.410417,0.257619,0.384203,0.535797,0.581157,0.469287,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.4235,0.0,0.3921,0.1358,0.088,0.0587,18,27,33,strategy_lab_features_v2
2026-06-monaco|hadjar,2026,6,2026-06-monaco,hadjar,red_bull,76,90.88,81.44,0.0255,22.5,0.035,0.638541,0.0,0.425273,0.148571,0.162993,0.573762,0.666462,0.329531,0.307898,0.001042,0.410415,0.248611,0.378556,0.485776,0.560341,0.451221,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.3831,0.0,0.3919,0.134,0.0869,0.058,18,27,33,strategy_lab_features_v2
2026-06-monaco|ocon,2026,6,2026-06-monaco,ocon,haas,76,91.12,81.56,0.0255,22.5,0.035,0.59264,0.0,0.424922,0.084286,0.1801,0.589224,0.700823,0.32387,0.301427,0.002316,0.371945,0.236511,0.385949,0.538431,0.58119,0.484493,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.4106,0.0,0.3932,0.1364,0.0884,0.0589,18,27,32,strategy_lab_features_v2
2026-06-monaco|hulkenberg,2026,6,2026-06-monaco,hulkenberg,audi,76,91.36,81.68,0.0255,22.5,0.035,0.638099,0.0,0.427169,0.1675,0.18252,0.588647,0.699539,0.32851,0.316664,0.0,0.38639,0.258664,0.391356,0.496939,0.567777,0.470692,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.3824,0.0,0.3931,0.1349,0.0874,0.0583,18,27,32,strategy_lab_features_v2
2026-06-monaco|bortoleto,2026,6,2026-06-monaco,bortoleto,audi,76,92.4479,81.8,0.0255,22.5,0.035,0.595439,0.0,0.426432,0.241905,0.18443,0.591291,0.705425,0.329383,0.315028,0.001492,0.395416,0.273941,0.392995,0.515756,0.57584,0.487045,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.4046,0.0,0.394,0.1359,0.088,0.0587,18,27,32,strategy_lab_features_v2
2026-06-monaco|bearman,2026,6,2026-06-monaco,bearman,haas,76,92.3778,81.92,0.0255,22.5,0.035,0.573875,0.0,0.42684,0.232738,0.168976,0.585895,0.693424,0.328477,0.306273,0.002309,0.375418,0.266164,0.385215,0.533477,0.580677,0.50285,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.4182,0.0,0.3951,0.137,0.0887,0.0591,18,27,32,strategy_lab_features_v2
2026-06-monaco|arvid_lindblad,2026,6,2026-06-monaco,arvid_lindblad,rb,76,92.08,82.04,0.0255,22.5,0.035,0.565052,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.568126,0.493056,braking-heavy,0.626758,0.0,1,balanced_1_stop,16,24,-0.3921,0.0,0.395,0.1358,0.0879,0.0586,18,27,32,strategy_lab_features_v2
2026-06-monaco|albon,2026,6,2026-06-monaco,albon,williams,76,92.32,82.16,0.0255,22.5,0.035,0.604069,0.0,0.425492,0.202381,0.182377,0.571296,0.660983,0.326012,0.305374,0.003802,0.423615,0.262273,0.37847,0.510212,0.569279,0.505106,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.402,0.0,0.3956,0.1364,0.0882,0.0588,18,27,32,strategy_lab_features_v2
2026-06-monaco|perez,2026,6,2026-06-monaco,perez,cadillac,76,92.56,82.28,0.0255,22.5,0.035,0.569954,0.0,0.420121,0.140952,0.165901,0.572195,0.66299,0.322305,0.291177,0.001162,0.395,0.241649,0.371574,0.49212,0.561892,0.503004,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.4238,0.0,0.3957,0.1358,0.0878,0.0585,18,27,32,strategy_lab_features_v2
2026-06-monaco|stroll,2026,6,2026-06-monaco,stroll,aston_martin,76,92.8,82.4,0.0255,22.5,0.035,0.581968,0.0,0.417884,0.031905,0.178057,0.569932,0.657961,0.321557,0.279192,0.006384,0.420555,0.219866,0.369166,0.500135,0.562476,0.513956,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.42,0.0,0.3962,0.1362,0.0881,0.0587,18,27,32,strategy_lab_features_v2
2026-06-monaco|bottas,2026,6,2026-06-monaco,bottas,cadillac,76,93.04,82.52,0.0255,22.5,0.035,0.581526,0.0,0.41636,0.039762,0.15513,0.583924,0.689045,0.321565,0.28684,0.001869,0.333613,0.217621,0.374797,0.508561,0.568338,0.525114,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.4206,0.0,0.3967,0.1367,0.0884,0.0589,18,27,32,strategy_lab_features_v2
2026-06-monaco|alonso,2026,6,2026-06-monaco,alonso,aston_martin,76,93.8092,82.64,0.0255,22.5,0.035,0.589821,0.0,0.418876,0.234286,0.172921,0.572243,0.663087,0.326455,0.297264,0.002335,0.435973,0.264751,0.375675,0.511556,0.570236,0.533556,braking-heavy,0.626758,0.55,1,balanced_1_stop,16,24,-0.4096,0.0,0.3971,0.137,0.0886,0.059,18,27,32,strategy_lab_features_v2
